year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,26.37837837837833,57.685470085470115,0.31666666666666643,-1.24825399129179,0.4512132352941176,5613,22.490581078279547,254.01252883816778,100.0,42.672
1961,27.971550497866247,58.35350427350431,0.3249999999999993,-0.9440568456701612,0.45782058823529503,5544,22.04582850357724,248.67186932849472,100.0,43.498999999999995
1962,29.564722617354164,59.02153846153851,0.33333333333333215,-0.6398597000484187,0.4644279411764707,6508,21.601075928875048,339.5,100.0,44.31100000000001
1963,31.15789473684208,59.68957264957271,0.34166666666666856,-0.33566255442678994,0.4710352941176481,6622,21.15632335417274,324.7,100.0,45.11
1964,32.75106685633,60.35760683760691,0.3500000000000014,0.016,0.47764264705882375,6459,20.711570779470435,309.8,100.0,45.896
1965,34.344238975817916,61.02564102564111,0.3583333333333343,0.048,0.4842500000000012,6325,20.26681820476813,296.1,100.0,46.665
1966,35.93741109530583,61.693675213675306,0.36666666666666714,0.047,0.4908573529411768,6484,5.204463598999999,282.5,100.0,47.413000000000004
1967,37.53058321479375,62.361709401709504,0.375,0.212,0.49746470588235425,10505,66.21908378,269.0,100.0,48.141000000000005
1968,39.12375533428121,63.0297435897437,0.38333333333333286,0.235,0.5040720588235299,18579,81.88779671,255.6,100.0,48.858000000000004
1969,40.71692745376913,63.6977777777779,0.3916666666666657,0.32799999999999996,0.5106794117647073,22716,25.66616882,242.0,100.0,49.574
1970,42.31009957325705,64.3658119658121,0.40000000000000213,0.318,0.517286764705883,22812,13.89509644,229.0,100.0,50.31
1971,43.903271692744966,65.0338461538463,0.408333333333335,2.79,0.5238941176470604,22318,0.898225086,216.2,100.0,51.086999999999996
1972,45.49644381223288,65.7018803418805,0.41666666666666785,2.6919999999999997,0.530501470588236,23628,9.82522417,203.4,100.0,51.92
1973,47.0896159317208,66.36991452991447,0.4250000000000007,2.615,0.5371088235294117,19691,16.708797607149904,191.1,100.0,52.81100000000001
1974,48.68278805120872,67.03794871794867,0.43333333333333357,2.767,0.5437161764705891,21268,11.49880648,178.9,100.0,53.76
1975,50.275960170696635,67.70598290598286,0.44166666666666643,8.22,0.5503235294117648,25626,24.43350274,166.9,100.0,54.755
1976,51.86913229018455,68.37401709401706,0.4499999999999993,8.971,0.5569308823529422,27609,20.54012292,154.9,100.0,55.781000000000006
1977,53.46230440967247,69.04205128205126,0.4583333333333357,8.693,0.5635382352941178,26365,1.00721833,143.1,100.0,56.813
1978,55.05547652916039,69.71008547008546,0.46666666666666856,7.542999999999999,0.5701455882352953,24537,14.485034733638486,131.6,100.0,57.82899999999999
1979,56.648648648648305,70.37811965811966,0.4750000000000014,7.071000000000001,0.5767529411764709,24287,4.331741541,120.4,100.0,58.813
1980,18,71.04615384615386,0.4833333333333343,5.232,0.5833602941176483,24454,6.035444115,109.7,100.0,59.758
1981,19,71.71418803418806,0.49166666666666714,4.9239999999999995,0.589967647058824,27163,17.04707839,99.6,100.0,60.659
1982,24,72.38222222222225,0.5,4.441,0.5965750000000014,28828,11.5698374,89.9,100.0,61.523
1983,31,73.05025641025645,0.5083333333333329,5.532,0.6031823529411771,32107,16.66667073,80.8,100.0,62.356
1984,45,73.71829059829065,0.5166666666666657,5.625,0.6097897058823527,35889,16.71159399,72.4,100.0,63.153
1985,60,74.38632478632485,0.5250000000000021,5.773,0.6163970588235301,39306,14.00719711,64.9,100.0,63.915
1986,82,75.05435897435905,0.533333333333335,6.322,0.6230044117647058,38689,2.002159781,58.2,100.0,64.638
1987,89,75.72239316239325,0.5416666666666679,5.84,0.6296117647058832,40311,10.482261561317955,52.4,100.0,65.324
1988,90,76.39042735042744,0.5500000000000007,6.305,0.6362191176470589,40060,5.964027641,47.3,100.0,65.975
1989,98,77.05846153846164,0.5583333333333336,5.778,0.6428264705882363,40284,11.75686184,42.7,100.0,66.593
1990,98,79,0.5666666666666664,6.28,0.6494338235294119,38910,9.14800383721115,38.7,100.0,67.18
1991,95,79,0.5749999999999993,6.21,0.6560411764705893,39483,6.0740785079999995,35.1,100.0,67.73899999999999
1992,99,79,0.5833333333333357,6.086,0.662648529411765,40903,8.413883633,31.8,100.0,68.273
1993,97,80,0.5916666666666686,6.4910000000000005,0.6692558823529424,41555,6.042960275,28.9,100.0,68.786
1994,97,80,0.6000000000000014,7.117000000000001,0.6758632352941181,41620,3.875774308,26.3,100.0,69.283
1995,99,80,0.6083333333333343,7.204,0.6824705882352955,42525,4.996819663,24.1,100.0,69.77
1996,99,81,0.6166666666666671,6.747000000000001,0.6890779411764711,43120,3.045940005,22.1,100.0,70.25
1997,99,82,0.625,6.876,0.6956852941176468,45517,6.0335123070000005,20.4,100.0,70.726
1998,99,83,0.6333333333333329,7.349,0.7022926470588242,46704,2.642337974,18.9,100.0,71.197
1999,99,83,0.6416666666666657,9.175,0.7088999999999999,46796,5.145230664890619,17.6,100.0,71.664
2000,99,84,0.6500000000000021,9.647,0.705,49573,5.401372717,16.4,100.0,72.126
2001,99,85,0.6,8.833,0.7142,51191,4.4824540960000006,15.4,100.0,72.58
2002,99,86,0.7,10.902999999999999,0.7234,49771,3.810972940783813,14.6,100.0,73.02199999999999
2003,99,86,0.7,13.567,0.7326,47408,3.3662203660815067,13.8,100.0,73.447
2004,99,87,0.7,11.437000000000001,0.7418,46851,1.292112564,13.3,100.0,73.851
2005,99,88,0.7,11.894,0.7509999999999999,46746,2.49045836,12.8,100.0,74.23
2006,98,89,0.7,15.319,0.7602,47890,5.3720682989999995,12.5,100.0,74.577
2007,99,89,0.7,16.397000000000002,0.7694,48524,4.4526943039999995,12.2,100.0,74.893
2008,99,90,0.7,15.466,0.7786,50671,8.199695813,12.0,100.0,75.179
2009,98,91,0.7250000000000014,14.245999999999999,0.7878,51457,6.112453761,11.8,100.0,75.44
2010,99,92,0.7333333333333343,15.578,0.797,49729,4.803333796,11.7,100.0,75.682
2011,99,93,0.7416666666666671,16.678,0.797,47920,-0.19180023153671755,11.6,100.0,75.916
2012,98,93,0.75,17.061,0.7959999999999999,48851,9.331575255,11.4,100.0,76.149
2013,98,93,0.7583333333333329,16.524,0.7959999999999999,47929,4.373319338,11.3,100.0,76.388
2014,99,93,0.7666666666666657,15.431,0.795,45550,2.541561464,11.2,100.0,76.634
2015,99,93,0.7750000000000021,15.572000000000001,0.7959999999999999,44960,5.652702754,11.2,100.0,76.887
2016,99,95.09538461538455,0.783333333333335,15.09,0.8212250000000001,44799,-2.415563105048136,11.3,100.0,77.142
2017,117.18918918918916,95.76341880341874,0.7916666666666679,16.090983309143667,0.8278323529411775,42359,-2.8603156797504425,11.3,100.0,77.393
2018,118.78236130867708,96.43145299145294,0.8000000000000007,16.395180454765296,0.8344397058823532,41509,-3.305068254452749,11.4,100.0,77.633
2019,120.375533428165,97.09948717948714,0.8083333333333336,16.699377600386924,0.8410470588235306,42104,-3.7498208291550554,11.4,100.0,82.65688603156059
