year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,64.38738738738743,72.95384615384614,0.483,0.538095726495726,4.2,5.1888315649655965,77.2,-1.447935136630349,60.81100000000001,17.951770396270263
1961,65.0919867235657,73.3938461538462,0.418,0.5416201709401705,4.312,3.517582004,73.9,0.4542241415465469,61.172,17.645592773892645
1962,65.79658605974396,73.83384615384614,0.546,0.5451446153846149,4.4239999999999995,3.606102141,70.9,2.356383419723443,61.478,17.339415151515027
1963,66.50118539592222,74.2738461538462,0.55,0.5486690598290602,4.5360000000000005,6.358771974,68.2,4.258542697900339,61.74100000000001,17.03323752913741
1964,67.20578473210048,74.71384615384613,0.955,0.5521935042735047,4.648,4.877280731,65.8,6.160701976077235,61.967,16.72705990675979
1965,67.91038406827874,75.15384615384619,0.733,0.5557179487179491,4.76,4.863952956415872,63.8,8.06286125425413,62.157,16.420882284382174
1966,68.614983404457,75.59384615384624,0.672,0.5592423931623935,4.814,5.3258,62.0,9.965020532431026,62.302,16.114704662004556
1967,69.31958274063527,76.03384615384618,0.738,0.562766837606838,4.868,13.35182833,60.5,11.867179810607922,62.401,15.808527039626938
1968,70.02418207681376,76.47384615384624,0.802,0.5662912820512824,4.922,7.916221557999999,59.3,13.769339088784818,62.456,15.50234941724932
1969,70.72878141299202,76.91384615384618,0.8440000000000001,0.5698157264957269,4.976,2.596410512,58.3,15.671498366961714,62.481,15.196171794871702
1970,71.43338074917028,77.35384615384623,0.9990000000000001,0.5733401709401713,5.03,12.70271113,57.6,17.57365764513861,62.492,14.889994172494085
1971,72.13798008534854,77.79384615384618,1.035,0.5768646153846158,5.126,6.888986665,57.0,19.475816923315506,62.512,14.583816550116467
1972,72.8425794215268,78.23384615384623,1.069,0.5803890598290602,5.222,7.485276672,56.4,21.3779762014924,62.555,14.277638927738849
1973,73.54717875770507,78.67384615384617,1.137,0.5839135042735046,5.318,11.6128685,55.8,23.280135479669752,62.633,13.971461305361231
1974,74.25177809388333,79.11384615384623,1.185,0.5874379487179491,5.414,2.60114991,55.0,25.18229475784665,62.751999999999995,13.665283682983613
1975,74.9563774300616,79.55384615384617,1.075,0.5909623931623935,5.51,0.530211189,53.8,27.084454036023544,62.913000000000004,13.359106060605995
1976,75.66097676623986,79.99384615384622,0.8170000000000001,0.594486837606838,5.608,2.736163248,52.4,28.98661331420044,63.11,13.052928438228378
1977,76.36557610241812,80.43384615384616,1.287,0.5980112820512824,5.706,5.904011843999999,50.7,30.888772592377336,63.327,12.74675081585076
1978,77.07017543859638,80.87384615384622,1.165,0.6015357264957268,5.803999999999999,1.8634014509999999,48.7,32.79093187055423,63.552,12.440573193473142
1979,77.77477477477487,81.31384615384616,1.351,0.6050601709401713,5.902,12.22481977,46.5,34.69309114873113,63.776,12.134395571095524
1980,68,81.75384615384621,1.2590000000000001,0.6085846153846157,6.0,3.889317130766699,44.3,36.595250426908024,63.997,11.828217948717906
1981,70,82.19384615384615,1.659,0.6121090598290602,6.0760000000000005,6.329990548,42.1,38.49740970508492,64.217,11.522040326340289
