year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,102.56620553359684,100.0,5.4433333333333,7.652,0.5826136752136755,-7309.542857142864,7.827624547493201,22.06813186813224,27.134278002699034,100.0,69.92365854,0.29736842105263156
1961,102.47826086956525,100.0,5.366904761904749,8.193,0.5874114529914536,-6616.752380952472,7.742748278887547,23.22271062271102,26.734703103913603,100.0,70.25085366,0.2975438596491228
1962,102.39031620553362,100.0,5.29047619047617,8.623,0.5922092307692317,-5923.961904761847,7.657872010281892,24.3772893772898,26.33512820512817,100.0,70.47229268,0.29771929824561405
1963,102.302371541502,100.0,5.214047619047591,8.966000000000001,0.5970070085470098,-5231.171428571455,7.5729957416762375,25.531868131868123,25.935553306342854,100.0,70.59492683,0.29789473684210527
1964,102.21442687747037,100.0,5.137619047619012,9.235,0.6018047863247862,-4538.38095238083,7.488119473070583,26.6864468864469,25.535978407557423,100.0,70.63278049,0.2980701754385965
1965,102.12648221343875,100.0,5.061190476190461,8.915,0.6066025641025643,-3845.5904761904385,7.403243204464928,27.84102564102568,25.13640350877199,100.0,70.60336585,0.2982456140350877
1966,102.03853754940712,100.0,4.984761904761882,8.795,0.6114003418803424,-3152.8000000000466,7.318366935859274,28.99560439560446,24.73682860998656,100.0,70.5252439,0.298421052631579
1967,101.9505928853755,100.0,4.908333333333303,8.717,0.6161981196581205,-2460.009523809422,7.233490667253619,30.15018315018324,24.33725371120113,100.0,70.41853659,0.2985964912280702
1968,101.8626482213439,100.0,4.831904761904724,9.064,0.6209958974358987,-1767.2190476190299,7.148614398647965,31.304761904762017,23.937678812415697,100.0,70.30682927,0.2987719298245614
1969,101.77470355731228,100.0,4.755476190476173,9.56,0.625793675213675,-1074.428571428638,7.06373813004231,32.459340659340796,23.538103913630266,100.0,70.20570732,0.29894736842105263
1970,101.68675889328065,100.0,4.679047619047594,10.882,0.6305914529914531,-381.6380952380132,6.9788618614366555,33.613919413919575,23.138529014844835,100.0,70.1342439,0.29912280701754385
1971,101.59881422924903,100.0,4.602619047619015,11.323,0.6353892307692313,311.15238095237873,6.893985592831001,34.768498168498354,22.738954116059404,100.0,70.0994878,0.2992982456140351
1972,101.5108695652174,100.0,4.5261904761904646,11.331,0.6401870085470094,1003.9428571427707,6.809109324225375,35.92307692307713,22.339379217273972,100.0,70.09892683,0.29947368421052634
1973,101.42292490118578,100.0,4.4497619047618855,11.272,0.6449847863247875,1696.7333333333954,6.72423305561972,37.07765567765591,21.93980431848854,100.0,70.12507317,0.29964912280701755
1974,101.33498023715416,100.0,4.373333333333306,11.294,0.6497825641025639,2389.5238095237873,6.639356787014066,38.23223443223469,21.54022941970311,100.0,70.17590244,0.29982456140350877
1975,101.24703557312256,100.0,4.296904761904727,11.700999999999999,0.654580341880342,3082.314285714412,6.554480518408411,39.38681318681347,21.14065452091768,100.0,70.24487805,0.3
1976,101.15909090909093,100.0,4.220476190476177,12.033,0.6593781196581201,3775.104761904804,6.469604249802757,40.54139194139225,20.741079622132247,100.0,70.32246341,0.30017543859649126
1977,101.07114624505931,100.0,4.144047619047598,12.265999999999998,0.6641758974358982,4467.895238095196,6.384727981197102,41.69597069597103,20.341504723346816,100.0,70.39860976,0.3003508771929825
1978,100.98320158102769,100.0,4.067619047619019,12.251,0.6689736752136763,5160.685714285821,6.2998517125914475,42.850549450549806,19.941929824561385,100.0,70.4652439,0.3005263157894737
1979,100.89525691699606,100.0,3.9911904761904395,11.818,0.6737714529914527,5853.476190476213,6.214975443985793,44.005128205128585,19.542354925775953,100.0,70.51990244,0.3007017543859649
1980,100.80731225296444,100.0,3.914761904761889,11.852,0.6785692307692308,6546.266666666605,6.130099175380138,45.159706959707364,19.142780026990522,100.0,70.40853659,0.30087719298245613
1981,100.71936758893281,100.0,3.83833333333331,11.630999999999998,0.6833670085470089,7239.057142857229,6.045222906774484,46.31428571428614,21.6,100.0,70.62926829,0.3010526315789474
1982,100.63142292490122,100.0,3.7619047619047308,11.435,0.6881647863247871,7931.847619047621,5.960346638168829,47.46886446886447,20.7,100.0,70.68902439,0.3012280701754386
1983,100.54347826086959,100.0,3.68547619047618,11.379000000000001,0.6929625641025652,8624.638095238013,5.875470369563203,48.623443223443246,19.8,100.0,70.47902439,0.30140350877192984
