year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,64.21176470588216,64.91282051282042,0.414,0.38607692307692254,2490,0.69,6.978639352157074,103.60000000000002,204.87028822787488,70.5350812123229,42.021,25.88974358974349
1961,64.92941176470572,65.53025641025647,0.418,0.3925615384615373,2663,0.746,6.901600857682041,103.14999999999998,200.86950998185057,71.12577024171537,42.656000000000006,25.397504273504182
1962,65.64705882352928,66.1476923076923,0.418,0.39904615384615383,2558,0.802,6.824562363207036,102.70000000000005,269.7,71.71645927110762,43.351000000000006,24.905264957264876
1963,66.36470588235284,66.76512820512812,0.445,0.4055307692307686,2885,0.858,6.747523868732003,102.25,257.2,72.30714830049988,44.11,24.41302564102557
1964,67.0823529411764,67.38256410256417,0.619,0.41201538461538334,2947,0.914,6.67048537425697,101.80000000000007,245.3,72.89783732989213,44.931999999999995,23.920786324786263
1965,67.79999999999995,68.0,0.541,0.41849999999999987,3065,0.97,6.593446879781965,101.35000000000002,233.7,73.4885263592846,45.821000000000005,23.428547008546957
1966,68.51764705882351,68.61743589743583,0.621,0.42498461538461463,3068,1.046,3.4548678930000003,100.89999999999998,222.1,74.07921538867686,46.78,22.93630769230765
1967,69.23529411764707,69.23487179487165,0.652,0.4314692307692294,2977,1.122,0.161952472,100.45000000000005,210.6,74.66990441806911,47.803999999999995,22.444068376068344
1968,69.9529411764704,69.8523076923077,0.741,0.4379538461538459,3218,1.198,10.40972858,100.0,199.6,75.26059344746136,48.882,21.951829059829038
1969,70.67058823529396,70.46974358974353,0.778,0.44443846153846067,3264,1.274,4.747815408999999,99.55000000000007,188.9,75.85128247685384,50.001000000000005,21.45958974358973
1970,71.38823529411752,71.08717948717936,0.7390000000000001,0.4509230769230772,3388,1.35,4.669631776,99.10000000000002,179.0,76.44197150624609,51.145,20.967350427350425
1971,72.10588235294108,71.70461538461541,0.8140000000000001,0.45740769230769196,3676,1.4580000000000002,10.56019747,98.64999999999998,169.6,77.03266053563834,52.299,20.47511111111112
1972,72.82352941176464,72.32205128205123,0.895,0.4638923076923067,4241,1.5659999999999998,17.74271827,98.20000000000005,160.5,77.6233495650306,53.452,19.9828717948717
