year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,41.288288288288186,87.79487179487182,19.216666666666583,2.366,0.5621350427350418,10620,4.84,3.007078057620131,67.5753706660413,71.58606334841625,79.47039659924621,56.21126468888906,65.055,-1.132470168067215
1961,42.37031768610723,88.00512820512819,18.923095238095243,2.441,0.5671875213675204,11198,4.878,5.42784288,67.92526892120077,70.38162895927599,79.85704029473072,55.22691808888885,65.176,-1.0152991596638685
1962,43.452347083925815,88.21538461538461,18.62952380952379,2.52,0.572239999999999,10845,4.916,2.9782575019851336,68.27516717636024,69.17719457013573,80.24368399021535,54.24257148888887,65.26899999999999,-0.8981281512604937
1963,44.53437648174486,88.42564102564103,18.335952380952335,2.314,0.5772924786324776,10422,4.954,2.9638472241676332,68.62506543151972,67.97276018099546,80.63032768569997,53.25822488888889,65.348,-0.7809571428571473
1964,45.6164058795639,88.63589743589745,18.04238095238088,2.536,0.5823449572649562,11321,4.992,10.13029766,68.97496368667919,66.7683257918552,81.01697138118459,52.27387828888891,65.426,-0.6637861344537725
1965,46.69843527738249,88.84615384615387,17.74880952380954,2.64,0.5873974358974348,12170,5.03,10.56943334,69.32486194183866,65.56389140271494,81.40361507666921,51.28953168888893,65.518,-0.5466151260504262
1966,47.78046467520153,89.05641025641023,17.455238095238087,2.7910000000000004,0.5924499145299134,12074,5.08,2.9206163907151392,69.67476019699814,64.35945701357468,81.79025877215383,50.30518508888895,65.64,-0.42944411764705137
1967,48.862494073020116,89.26666666666665,17.161666666666633,2.8560000000000003,0.597502393162392,12224,5.13,3.191996623,70.02465845215761,63.15502262443442,82.17690246763846,49.32083848888897,65.796,-0.312273109243705
1968,49.94452347083916,89.47692307692307,16.86809523809518,2.968,0.6025548717948723,12565,5.18,4.822500782,70.37455670731708,61.95058823529416,82.56354616312308,48.336491888888986,65.98899999999999,-0.1951021008403302
1969,51.0265528686582,89.68717948717949,16.574523809523726,3.273,0.6076073504273509,13443,5.23,9.679526008,70.72445496247656,72.5,82.9501898586077,47.352145288889005,66.219,-0.07793109243698382
1970,52.10858226647679,89.89743589743591,16.280952380952385,3.448,0.6126598290598295,13949,5.28,3.045643319,71.07435321763603,71.8,83.33683355409232,46.367798688889025,66.483,0.03923991596639098
1971,53.19061166429583,90.10769230769233,15.987380952380931,3.647,0.6177123076923081,14384,5.33,5.658131083,71.4242514727955,70.8,83.72347724957694,45.383452088889044,66.774,0.15641092436973736
1972,54.27264106211442,90.3179487179487,15.693809523809477,3.635,0.6227647863247867,14584,5.38,1.628416516,71.77414972795498,69.6,84.11012094506157,44.39910548888906,67.078,0.27358193277311216
1973,55.35467045993346,90.52820512820512,15.400238095238024,3.728,0.6278172649572653,15210,5.43,2.8117540410000004,72.12404798311445,68.1,84.49676464054619,43.414758888888855,67.383,0.39075294117645853
1974,56.4366998577525,90.73846153846154,15.106666666666683,3.7239999999999998,0.6328697435897439,15921,5.48,5.533804395,72.47394623827392,66.0,84.88340833603081,42.430412288888874,67.686,0.5079239495798333
1975,57.51872925557109,90.94871794871796,14.81309523809523,3.639,0.6379222222222225,15516,5.53,2.7909238903576536,72.8238444934334,63.3,85.27005203151543,41.44606568888889,67.985,0.6250949579832081
1976,58.60075865339013,91.15897435897438,14.519523809523776,3.766,0.6429747008547011,15216,5.572,2.776513612540157,73.17374274859287,59.8,85.65669572700006,40.46171908888891,68.283,0.7422659663865545
1977,59.68278805120917,91.3692307692308,14.225952380952322,3.747,0.6480271794871797,15864,5.614,6.934147755,73.52364100375235,55.7,86.04333942248456,39.47737248888893,68.585,0.8594369747899293
1978,60.76481744902776,91.57948717948716,13.932380952380868,3.76,0.6530796581196583,14914,5.656000000000001,2.7476930569051596,73.87353925891182,51.2,86.42998311796919,38.49302588888895,68.891,0.9766079831932757
1979,61.8468468468468,91.78974358974358,13.638809523809527,3.995,0.6581321367521369,15716,5.6979999999999995,10.22276346,74.22343751407129,46.8,86.81662681345381,37.50867928888897,69.197,1.0937789915966505
1980,44,92.0,13.345238095238074,3.866,0.6631846153846155,15676,5.74,4.151762342,74.57333576923077,42.8,87.20327050893843,36.52433268888899,69.49600000000001,0.5
1981,49,92.21025641025642,13.05166666666662,3.572,0.6682370940170941,14531,5.784,2.7044622234526656,77.0,39.4,87.58991420442305,35.53998608888901,69.777,0.5545
