year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,75.11122994652406,68.77435897435907,133.42500000000018,5.605,0.5710683760683759,8349,3.49,4.603842430688957,71.46921886936593,118.37616404563687,15.64950582861593,48.406000000000006,68.53368421052619
1961,75.08235294117647,69.21948717948726,131.36647058823564,5.699,0.5725649572649574,8486,3.49,3.844751462,71.53607891520244,117.00653715695353,17.01857363867748,48.777,67.54973684210518
1962,75.05347593582889,69.66461538461544,129.30794117647065,5.742999999999999,0.5740615384615384,8725,3.49,6.177883095,71.60293896103894,115.63691026827019,18.387641448739032,49.141999999999996,66.56578947368416
1963,75.02459893048129,70.10974358974363,127.24941176470611,5.807,0.5755581196581199,9116,3.49,7.373612785,71.66979900687548,114.26728337958684,19.75670925880013,49.50899999999999,65.58184210526315
1964,74.9957219251337,70.55487179487181,125.19088235294157,6.159,0.5770547008547009,9470,3.49,7.939781668999999,71.73665905271199,112.8976564909035,21.12577706886168,49.888000000000005,64.59789473684191
1965,74.9668449197861,71.00000000000011,123.13235294117658,6.4270000000000005,0.5785512820512819,9770,3.49,6.1227608270000005,71.80351909854849,111.52802960222061,22.49484487892323,50.284,63.613947368420895
1966,74.9379679144385,71.4451282051283,121.07382352941204,6.26,0.5800478632478634,9923,3.51,4.438308267,71.87037914438503,110.15840271353727,23.863912688984783,50.705,62.62999999999988
1967,74.9090909090909,71.89025641025648,119.0152941176475,6.357,0.5815444444444444,10322,3.53,7.196575941,71.93723919022153,108.78877582485393,25.232980499046334,51.148,61.64605263157887
1968,74.88021390374331,72.33538461538467,116.9567647058825,6.381,0.5830410256410254,10483,3.55,4.153444813999999,72.00409923605804,107.41914893617059,26.602048309107886,51.615,60.662105263157855
1969,74.85133689839572,72.78051282051285,114.89823529411797,6.443,0.5845376068376069,10832,3.57,4.715830609,72.07095928189457,106.04952204748724,27.971116119169437,52.106,59.67815789473684
1970,74.82245989304812,73.22564102564104,112.83970588235297,6.5520000000000005,0.5860341880341879,11104,3.59,5.248674135,72.13781932773108,104.6798951588039,29.34018392923099,52.62,58.6942105263156
1971,74.79358288770054,73.67076923076934,110.78117647058843,7.172000000000001,0.5875307692307694,11350,3.642,4.278970429,72.20467937356761,103.31026827012056,30.70925173929254,53.157,57.71026315789459
1972,74.76470588235294,74.11589743589752,108.7226470588239,7.106,0.5890273504273504,11280,3.694,1.654762041,72.27153941940412,101.94064138143722,32.07831954935409,53.713,56.726315789473574
1973,74.73582887700535,74.56102564102571,106.6641176470589,6.983,0.5905239316239315,11461,3.7460000000000004,4.571997811,72.33839946524063,100.57101449275387,33.44738735941564,54.281000000000006,55.74236842105256
1974,74.70695187165775,75.0061538461539,104.60558823529436,6.92,0.5920205128205129,11802,3.798,6.111054461,72.40525951107716,128.6,34.816455169477194,54.856,54.75842105263155
1975,74.67807486631017,75.45128205128208,102.54705882352982,7.06,0.593517094017094,11723,3.85,1.6954481769999998,72.47211955691367,121.7,36.185522979538746,55.428000000000004,53.774473684210534
1976,74.64919786096257,75.89641025641026,100.48852941176483,7.172000000000001,0.595013675213675,11713,3.908,2.249904054,72.53897960275017,115.0,37.5545907896003,55.99,52.79052631578929
1977,74.62032085561498,76.34153846153856,98.43000000000029,7.239,0.5965102564102565,11406,3.966,3.679508580642036,72.60583964858671,108.7,38.92365859966185,56.538000000000004,51.80657894736828
1978,74.59144385026738,76.78666666666675,96.37147058823575,7.136,0.5980068376068375,11458,4.024,3.0145489660000004,72.67269969442322,102.8,40.2927264097234,57.071000000000005,50.82263157894727
1979,74.56256684491979,77.23179487179493,94.31294117647076,7.537999999999999,0.599503418803419,11616,4.082,3.790503812,72.73955974025972,97.3,41.66179421978495,57.59,49.83868421052625
1980,74.53368983957219,77.67692307692312,92.25441176470622,7.67,0.601,12050,4.14,6.620585081000001,72.80641978609626,92.2,43.0308620298465,58.107,48.85473684210524
1981,74.5048128342246,78.1220512820513,90.19588235294123,8.422,0.602496581196581,12299,4.158,5.3607374189999994,80.4,87.4,44.399929839908054,58.637,47.870789473684226
1982,74.475935828877,78.56717948717949,88.13735294117669,8.954,0.6039931623931625,11866,4.176,3.407645683569413,79.3154,82.9,45.768997649969606,59.191,46.886842105262986
1983,74.0,79.01230769230779,86.07882352941215,9.085,0.6054897435897435,11287,4.194,3.353273104154894,78.2308,78.7,47.13806546003116,59.766000000000005,45.90289473684197
1984,75.0,79.45743589743597,84.02029411764715,9.583,0.606986324786325,11490,4.212,5.09911491,77.1462,74.8,48.50713327009271,60.353,44.91894736842096
1985,75.0,79.90256410256416,81.96176470588262,9.604,0.608482905982906,10998,4.23,3.244527945325842,76.0615,71.1,49.87620108015426,60.946000000000005,43.934999999999945
