year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1990,94,95,25.044,0.745,42573,4.4379971760000005,23.0,100.0,72.39
1991,99,95,23.285,0.7499,42364,11.22999878,22.6,100.0,72.598
1992,94,95,20.819000000000003,0.7548,44226,6.689998367,22.0,100.0,72.803
1993,94,95,27.284000000000002,0.7597,46424,12.87000667,21.0,100.0,73.006
1994,96,95,26.893,0.7646,46749,3.7397457552767435,19.6,100.0,73.209
1995,95,96,26.273000000000003,0.7695,46456,3.929991545,18.1,100.0,73.413
1996,96,97,26.976,0.7744,46725,4.110006115,16.6,100.0,73.619
1997,98,97,29.096,0.7793,46514,3.0929997869999997,15.2,100.0,73.82600000000001
1998,98,98,29.965999999999998,0.7842,47278,4.790002789,14.0,100.0,74.033
1999,97,98,28.278000000000002,0.7891,48304,4.29999896,13.2,100.0,74.23899999999999
2000,97,99,28.031,0.794,49510,5.299994794,12.5,100.0,74.44
2001,99,99,19.956,0.7958,48348,2.491033565,12.0,100.0,74.635
2002,98,100,21.343000000000004,0.7976,47411,3.6141482889999996,11.6,100.0,74.822
2003,97,100,21.136999999999997,0.7994,47577,6.0239511960000005,11.3,100.0,74.999
2004,98,100,21.088,0.8012,47762,6.980946984,11.0,100.0,75.167
2005,98,100,21.581999999999997,0.8029999999999999,47593,6.768939709,10.6,100.0,75.32600000000001
2006,98,100,19.625999999999998,0.8048,47010,6.468567672000001,10.2,100.0,75.47800000000001
2007,97,100,25.891,0.8066,47101,8.292443822000001,9.8,100.0,75.625
2008,97,100,26.682,0.8084,46508,6.245128341,9.3,100.0,75.77
2009,98,100,23.788,0.8102,44855,2.539772469,8.9,100.0,75.913
2010,99,100,23.564,0.812,44695,4.334407088,8.5,100.0,76.057
2011,99,100,22.397,0.812,44247,1.983823256,8.2,100.0,76.2
2012,99,100,20.497,0.815,45122,3.7322515210000002,8.0,100.0,76.342
2013,99,100,23.787,0.82,47017,5.416503715,7.8,100.0,76.484
2014,98,100,23.429000000000002,0.823,48292,4.34984233,7.7,100.0,76.624
2015,98,100,24.871,0.8240000000000001,48394,2.861967825,7.6,100.0,76.762
2016,99,101.63999999999999,24.509,0.83227076923077,48198,6.003932502754623,7.4,100.0,76.899
2017,103.14864864864865,101.87829059829062,29.164204887218034,0.8352381196581202,47772,6.106850082185446,7.3,100.0,77.032
2018,103.60881934566146,102.1165811965812,29.46560396681366,0.8382054700854704,46336,6.20976766161624,7.1,100.0,77.163
2019,104.06899004267427,102.35487179487177,29.767003046409172,0.8411728205128206,45859,6.312685241047063,6.9,100.0,80.7987375803624
2020,104.52916073968709,102.5931623931624,30.068402126004685,0.8441401709401717,50595.08305084746,6.415602820477886,-26.2811299435034,100.0,81.1610158386909
