year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,58.504504504504666,72.44273504273508,-13.987499999999955,0.883,0.5221982905982898,3.83,5.773449700069481,90.2,49.18041250060014,12.74097296853148,60.864,28.257408724513994
1961,59.12280701754389,72.8567521367521,-13.35308823529408,0.943,0.5270252991452988,3.838,10.92659484,87.6,49.96566336690012,12.606589706293676,61.38,27.848150782361245
1962,59.741109530583344,73.27076923076925,-12.718676470588207,0.99,0.5318523076923078,3.846,8.244736818,84.9,50.75091423320009,12.472206444055928,61.88,27.43889284020861
1963,60.35941204362257,73.68478632478639,-12.084264705882333,0.953,0.5366793162393169,3.8539999999999996,8.538788802000001,82.4,51.53616509950007,12.33782318181818,62.36,27.029634898055974
1964,60.97771455666202,74.09880341880341,-11.44985294117646,0.972,0.5415063247863241,3.862,4.432130368999999,80.0,52.32141596580004,12.203439919580433,62.824,26.620376955903225
1965,61.596017069701475,74.51282051282055,-10.815441176470586,1.1640000000000001,0.5463333333333331,3.87,9.16003626,77.7,53.10666683210002,12.069056657342628,63.275,26.21111901375059
1966,62.2143195827407,74.92683760683758,-10.181029411764712,1.226,0.5511603418803421,3.898,7.581401884,75.5,53.89191769839999,11.93467339510488,63.718,25.801861071597955
1967,62.83262209578015,75.34085470085472,-9.546617647058838,1.22,0.5559873504273511,3.926,8.552931177,73.3,54.67716856469997,11.800290132867133,64.16,25.392603129445206
1968,63.45092460881938,75.75487179487186,-8.912205882352964,1.4080000000000001,0.5608143589743584,3.9539999999999997,6.977388626000001,71.1,55.462419430999944,11.665906870629385,64.607,24.98334518729257
1969,64.06922712185883,76.16888888888889,-8.27779411764709,1.3880000000000001,0.5656413675213674,3.9819999999999998,8.441389168999999,68.6,56.24767029730015,11.53152360839158,65.063,24.574087245139822
1970,64.68752963489806,76.58290598290603,-7.643382352941217,1.4480000000000002,0.5704683760683764,4.01,6.959226107,65.9,57.03292116360012,11.397140346153833,65.532,24.164829302987187
1971,65.30583214793751,76.99692307692305,-7.008970588235343,1.663,0.5752953846153837,4.07,9.616137579,62.9,57.8181720299001,11.262757083916085,66.018,23.75557136083455
1972,65.92413466097696,77.4109401709402,-6.374558823529469,1.7409999999999999,0.5801223931623927,4.13,4.582812505,59.8,58.60342289620007,11.12837382167828,66.515,23.346313418681802
1973,66.54243717401619,77.82495726495733,-5.740147058823595,1.96,0.5849494017094017,4.19,5.364310215,56.8,59.38867376250005,10.993990559440533,67.02,22.937055476529167
1974,67.16073968705564,78.23897435897436,-5.105735294117721,1.777,0.5897764102564107,4.25,2.448319564,54.0,60.17392462880002,10.859607297202786,67.527,22.52779753437642
1975,67.77904220009486,78.6529914529915,-4.471323529411848,2.097,0.5946034188034179,4.31,1.74091944,51.5,60.9591754951,10.725224034965038,68.027,22.118539592223783
1976,68.39734471313432,79.06700854700853,-3.836911764705974,2.015,0.599430427350427,4.374,1.6644613590000001,49.4,61.744426361399974,10.590840772727233,68.513,21.709281650071148
