year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-68.49019607843093,5.666666666666515,0.309,0.04784957264957512,0.37,1.7801662762032464,391.7,25.675819110246152,120.33032285714262,31.566,82.96086956521731
1961,-65.55005159958728,6.702564102563883,0.125,0.05465401709401796,0.396,1.80904355,386.3,25.441704000230743,118.87237428571416,31.925,82.3760869565217
1962,-62.60990712074272,7.738461538461479,0.14,0.06145846153846257,0.42200000000000004,4.540967064,380.2,25.20758889021539,117.4144257142857,32.302,81.7913043478261
1963,-59.66976264189907,8.774358974358847,0.154,0.06826290598290718,0.44799999999999995,1.6997151730000002,374.3,24.97347378019998,115.95647714285724,32.705,81.2065217391305
1964,-56.72961816305451,9.810256410256216,0.12300000000000001,0.0750673504273518,0.474,6.685238791000001,368.5,24.739358670184572,114.49852857142878,33.134,80.62173913043489
1965,-53.78947368420995,10.846153846153811,0.113,0.08187179487179641,0.5,7.180155792000001,362.5,24.50524356016922,113.04057999999986,33.59,80.03695652173906
1966,-50.8493292053663,11.88205128205118,0.11900000000000001,0.08867623931624102,0.524,1.699999998,356.6,24.27112845015381,111.5826314285714,34.071999999999996,79.45217391304345
1967,-47.909184726521744,12.917948717948548,0.098,0.09548068376068564,0.5479999999999999,0.036281553,350.4,24.037013340138458,110.12468285714294,34.571999999999996,78.86739130434785
1968,-44.969040247678095,13.953846153845916,0.146,0.10228512820513025,0.5720000000000001,2.019923833,344.4,23.80289823012305,108.66673428571448,35.08,78.28260869565224
1969,-42.028895768833536,14.989743589743512,0.42,0.10908957264957486,0.596,8.525446802000001,338.6,23.568783120107696,107.20878571428557,35.59,77.69782608695641
1970,-39.08875128998989,16.02564102564088,0.32299999999999995,0.11589401709401947,0.62,8.62049324,332.9,23.334668010092287,105.75083714285711,36.098,77.1130434782608
1971,-36.14860681114533,17.061538461538248,0.29100000000000004,0.12269846153846231,0.66,3.465916492,327.6,23.100552900076934,104.29288857142865,36.599000000000004,76.5282608695652
1972,-33.20846233230077,18.097435897435844,0.243,0.12950290598290692,0.7,0.90023465,322.5,22.866437790061525,102.83494000000019,37.092,75.9434782608696
1973,-30.26831785345712,19.133333333333212,0.18899999999999997,0.13630735042735154,0.74,2.25661825,317.6,22.632322680046116,101.37699142857127,37.571999999999996,75.35869565217399
1974,-27.32817337461256,20.16923076923058,0.17800000000000002,0.14311179487179615,0.78,3.49982832,312.8,22.398207570030763,99.91904285714281,38.032,74.77391304347816
1975,-24.38802889576891,21.20512820512795,0.174,0.14991623931624076,0.82,1.669216524,308.1,22.164092460015354,98.46109428571435,38.468,74.18913043478256
1976,-21.447884416924353,22.241025641025544,0.147,0.15672068376068538,0.862,2.3043690868761217,303.3,21.92997735,97.00314571428589,38.881,73.60434782608695
1977,-18.507739938080704,23.276923076922913,0.163,0.16352512820513,0.904,0.04667581,298.8,21.695862239984592,95.54519714285698,39.268,73.01956521739135
1978,-15.567595459236145,24.312820512820508,0.221,0.1703295726495746,0.946,2.406332166,294.3,21.46174712996924,94.08724857142852,39.623000000000005,72.43478260869574
1979,-12.627450980391586,25.348717948717876,0.207,0.1771340170940192,0.988,4.5112656069999995,290.1,21.22763201995383,92.62930000000006,39.936,71.84999999999991
1980,-9.687306501547937,26.384615384615245,0.18100000000000002,0.18393846153846383,1.03,4.8435037560000005,286.4,20.99351690993842,91.1713514285716,40.194,71.2652173913043
1981,-6.747162022703378,27.420512820512613,0.2,0.19074290598290844,1.078,2.881428565,282.8,20.75940179992307,89.71340285714268,40.385999999999996,70.6804347826087
1982,-3.807017543859729,28.45641025640998,0.156,0.19754735042735128,1.126,4.781755535,279.5,20.52528668990766,88.25545428571422,40.504,70.0956521739131
1983,-0.8668730650151701,29.49230769230735,0.191,0.2043517948717959,1.1740000000000002,2.533707816545487,276.3,20.291171579892307,86.79750571428576,40.545,69.51086956521749
1984,2.073271413828479,30.528205128205173,0.168,0.2111562393162405,1.222,4.093034267,273.2,20.057056469876898,85.3395571428573,40.506,68.92608695652166
