year,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,share-of-peopleNotFilledFilled
1960,1.11,2380,2.52,84.43717865612646
1961,1.1320000000000001,2459,2.5660000000000003,84.52058735177866
1962,1.237,2567,2.612,84.60399604743083
1963,1.2770000000000001,2717,2.658,84.687404743083
1964,1.382,2953,2.7039999999999997,84.77081343873516
1965,1.411,3184,2.75,84.85422213438736
1966,1.49,3369,2.872,84.93763083003952
1967,1.629,3642,2.9939999999999998,85.02103952569169
1968,1.736,3845,3.116,85.10444822134386
1969,1.838,4106,3.238,85.18785691699603
1970,1.9569999999999999,4462,3.36,85.27126561264822
1971,2.095,4932,3.46,85.35467430830039
1972,2.338,5476,3.56,85.43808300395256
1973,2.573,6065,3.66,85.52149169960472
1974,2.468,6019,3.76,85.60490039525692
1975,2.679,6194,3.86,85.68830909090909
1976,3.397,6892,3.95,85.77171778656125
1977,3.636,7450,4.04,85.85512648221342
1978,4.151,8296,4.13,85.93853517786562
1979,4.352,8790,4.22,86.02194387351778
1980,4.717,9252,4.31,86.10535256916995
1981,4.171,9654,4.376,86.18876126482212
1982,4.123,9833,4.442,86.27216996047432
1983,4.477,10516,4.508,86.35557865612648
1984,4.503,11470,4.574,86.43898735177865
1985,4.433,11894,4.64,86.52239604743082
1986,4.87,13152,4.696000000000001,86.60580474308298
1987,5.005,15123,4.752,86.68921343873518
1988,5.697,15650,4.808,86.77262213438735
1989,6.132000000000001,16776,4.864,86.85603083003951
1990,6.085,17481,4.92,86.93943952569168
1991,6.569,18753,4.982,87.02284822134388
1992,7.015,20116,5.044,87.10625691699605
1993,7.513,21288,5.106,87.18966561264821
1994,7.779,22686,5.167999999999999,87.27307430830038
1995,8.206,23958,5.23,87.35648300395258
1996,8.536,25239,5.28,87.43989169960474
1997,9.139,26513,5.33,87.52330039525691
1998,9.248,27395,5.38,87.60670909090908
1999,9.532,29020,5.43,90.6
2000,10.021,30627,5.48,90.05
2001,10.369000000000002,30067,5.526,89.5
2002,10.732000000000001,31581,5.572,88.95
2003,11.044,32760,5.617999999999999,88.4
2004,11.593,34762,5.664,87.85
2005,11.467,36515,5.71,87.3
2006,11.744000000000002,38388,5.74,86.75
2007,12.162,40745,5.77,86.2
2008,11.4,40891,5.8,85.65
2009,10.788,40106,5.83,85.1
2010,11.677999999999999,44289,5.86,86.06
2011,11.600999999999999,45850,6.265623529411755,87.02
2012,11.087,46613,6.335839819004519,87.98
2013,11.149000000000001,47521,6.406056108597284,88.94
2014,11.269,49306,6.476272398190048,89.9
2015,11.145999999999999,49580,6.546488687782812,90.0333
2016,12.842868181818176,50227,6.616704977375576,90.1667
2017,13.073640498974726,51706,6.686921266968312,90.3
2018,13.304412816131276,52994,6.7571375565610765,90.4333
2019,13.535185133287769,53760,6.827353846153841,90.5667
2020,13.765957450444319,50253.113559321966,6.897570135746605,90.7
