year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1960,43.90990990990986,87.58461538461535,-118.82727272727243,3.0410000000000004,0.5246940170940171,8665,5.09,3.7392332459188395,67.6,59.523034570184564,7.233435714285719,62.222
1961,44.94642010431471,87.72923076923075,-115.63636363636306,5.316,0.5295193162393161,8831,5.127999999999999,14.03707086,65.2,60.311168726922915,7.150100000000009,62.652
1962,45.982930298719566,87.87384615384616,-112.4454545454546,8.216000000000001,0.5343446153846152,9029,5.166,2.742463144,63.0,61.09930288366127,7.066764285714299,63.036
1963,47.01944049312465,88.01846153846151,-109.25454545454522,1.4680000000000002,0.5391699145299143,9313,5.204,5.604597247,60.9,61.887437040399846,6.98342857142859,63.373000000000005
1964,48.0559506875295,88.16307692307691,-106.06363636363585,4.196000000000001,0.5439952136752133,9427,5.242000000000001,7.630499772,59.1,62.6755711971382,6.90009285714288,63.663000000000004
1965,49.09246088193436,88.30769230769232,-102.87272727272648,5.688,0.5488205128205124,9745,5.28,0.693850282,57.5,63.463705353876776,6.8167571428571705,63.908
1966,50.12897107633944,88.45230769230767,-99.68181818181802,4.4030000000000005,0.5536458119658114,10028,5.334,4.0568215610000005,56.0,64.25183951061513,6.733421428571432,64.112
1967,51.165481270744294,88.59692307692308,-96.49090909090864,5.0,0.5584711111111105,10156,5.388,2.042514316,54.7,65.0399736673537,6.650085714285723,64.282
1968,52.20199146514915,88.74153846153843,-93.29999999999927,4.337,0.5632964102564095,10651,5.442,5.215148392,53.6,65.82810782409206,6.566750000000013,64.43
1969,53.23850165955423,88.88615384615383,-90.10909090909081,4.158,0.5681217094017086,10946,5.496,2.730681521,52.5,66.61624198083064,6.483414285714304,64.565
1970,54.275011853959086,89.03076923076924,-86.91818181818144,9.503,0.5729470085470076,11427,5.55,3.533636514,51.4,67.40437613756899,6.400078571428594,64.7
1971,55.31152204836394,89.17538461538459,-83.72727272727207,8.47,0.5777723076923067,11466,5.61,1.0403324090000001,50.4,68.19251029430757,6.316742857142884,64.844
1972,56.34803224276902,89.32,-80.5363636363636,8.506,0.5825976068376058,11960,5.67,5.780347376,49.3,68.98064445104592,6.233407142857146,65.003
1973,57.38454243717388,89.4646153846154,-77.34545454545423,9.556000000000001,0.5874229059829048,12039,5.73,1.6564261930000002,48.2,69.7687786077845,6.150071428571437,65.17699999999999
1974,58.42105263157873,89.60923076923075,-74.15454545454486,10.07,0.5922482051282039,12549,5.79,3.8076021680000003,47.1,70.55691276452285,6.066735714285727,65.368
1975,59.457562825983814,89.75384615384615,-70.9636363636364,9.501,0.5970735042735029,12639,5.85,1.477963393,45.8,71.34504692126143,5.983400000000017,65.572
1976,60.49407302038867,89.8984615384615,-67.77272727272702,15.512,0.601898803418802,13650,5.904,6.405148859,44.5,72.13318107799978,5.900064285714308,65.782
1977,61.53058321479352,90.04307692307691,-64.58181818181765,15.542,0.6067241025641028,14272,5.957999999999999,9.121791551,43.2,72.92131523473836,5.816728571428598,65.987
1978,62.56709340919838,90.18769230769232,-61.39090909090828,14.534,0.6115494017094019,15689,6.0120000000000005,10.01647569,41.9,73.70944939147671,5.73339285714286,66.182
1979,63.60360360360323,90.33230769230767,-58.19999999999982,15.628,0.6163747008547009,16148,6.066,3.5993707460000004,40.6,74.49758354821529,5.65005714285715,66.36399999999999
1980,26,90.47692307692307,-55.009090909090446,15.59,0.6212,17161,6.12,3.255300456639958,39.3,75.28571770495364,5.566721428571441,66.533
1981,62,90.62153846153842,-51.818181818181074,15.645,0.626025299145299,17651,6.178,4.215727998999999,38.1,76.07385186169222,5.483385714285731,66.694
1982,54,90.76615384615383,-48.62727272727261,16.429000000000002,0.6308505982905981,16323,6.236000000000001,3.809242916,36.9,76.86198601843057,5.4000500000000216,66.854
1983,60,90.91076923076923,-45.43636363636324,14.306,0.6356758974358971,14768,6.294,3.1827105382481236,35.8,77.65012017516915,5.316714285714312,67.015
1984,65,91.05538461538458,-42.24545454545387,15.16,0.6405011965811962,15376,6.352,3.1585138987841788,34.8,78.4382543319075,5.233378571428574,67.179
1985,75,91.19999999999999,-39.054545454545405,17.712,0.6453264957264953,14498,6.41,3.134317259320241,33.8,79.22638848864608,5.150042857142864,67.344
1986,70,91.3446153846154,-35.86363636363603,14.67,0.6501517948717943,13802,6.444,3.1101206198562963,33.0,80.01452264538443,5.066707142857155,67.507
1987,79,91.48923076923074,-32.67272727272666,14.65,0.6549770940170934,12982,6.478,3.0859239803923515,32.2,80.80265680212301,4.983371428571445,67.666
1988,82,91.63384615384615,-29.4818181818182,13.155,0.6598023931623924,12347,6.5120000000000005,3.0617273409284067,31.5,81.59079095886136,4.900035714285735,67.816
1989,77,91.7784615384615,-26.290909090908826,13.290999999999999,0.6646276923076915,12148,6.546,3.037530701464462,30.9,82.37892511559994,4.816700000000026,67.957
