year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,63.67492753623196,97.48717948717947,40.762500000000045,8.399,0.5555675213675197,-2569.433958724141,19.80291026193072,25.977080688876185,33.82962476547846,100.0,67.90290244,1.5017704517704544
1961,64.2871014492755,97.52820512820512,40.03544117647061,8.566,0.5612437606837606,-1981.600187617354,19.461163306560593,26.931033145115634,33.26488742964352,100.0,68.36080488,1.494139194139196
1962,64.8992753623188,97.56923076923076,39.30838235294118,8.891,0.5669199999999996,-1393.7664165103342,19.119416351190466,27.884985601355083,32.70015009380859,100.0,68.74102439,1.4865079365079392
1963,65.51144927536234,97.6102564102564,38.58132352941175,9.419,0.5725962393162387,-805.9326454033144,18.77766939582034,28.838938057594532,32.135412757973654,100.0,69.05356098,1.4788766788766807
1964,66.12362318840587,97.65128205128204,37.854264705882315,9.895,0.5782724786324778,-218.09887429652736,18.435922440450213,29.792890513833754,31.57067542213872,100.0,69.30992683,1.471245421245424
1965,66.7357971014494,97.69230769230768,37.12720588235288,10.377,0.5839487179487168,369.7348968104925,18.094175485080086,30.746842970073203,31.005938086303786,100.0,69.51763415,1.4636141636141655
1966,67.34797101449271,97.73333333333332,36.40014705882345,10.835,0.5896249572649559,957.5686679175124,17.75242852970996,31.700795426312652,30.44120075046908,100.0,69.68119512,1.4559829059829088
1967,67.96014492753625,97.77435897435896,35.67308823529402,11.203,0.595301196581195,1545.4024390242994,17.410681574339833,32.6547478825521,29.876463414634145,100.0,69.80212195,1.4483516483516503
1968,68.57231884057978,97.8153846153846,34.94602941176481,11.401,0.6009774358974358,2133.2362101313192,17.068934618969706,33.60870033879155,29.31172607879921,100.0,69.88292683,1.4407203907203918
1969,69.18449275362332,97.85641025641024,34.21897058823538,11.754000000000001,0.6066536752136749,2721.069981238339,16.72718766359958,34.562652795031,28.746988742964277,100.0,69.92809756,1.433089133089135
1970,69.79666666666662,97.89743589743588,33.49191176470595,12.241,0.6123299145299139,3308.903752345126,16.385440708229453,35.51660525127045,28.182251407129343,100.0,69.93709756,1.4254578754578766
1971,70.40884057971016,97.93846153846152,32.764852941176514,12.867,0.618006153846153,3896.737523452146,16.043693752859326,36.47055770750967,27.61751407129441,100.0,69.90534146,1.41782661782662
1972,71.0210144927537,97.97948717948717,32.03779411764708,13.419,0.623682393162392,4484.571294558933,15.7019467974892,37.42451016374912,27.052776735459474,100.0,69.83282927,1.4101953601953614
1973,71.63318840579723,98.0205128205128,31.31073529411765,13.857999999999999,0.6293586324786311,5072.405065665953,15.360199842119073,38.37846261998857,26.488039399624768,100.0,69.72458537,1.4025641025641047
1974,72.24536231884053,98.06153846153845,30.583676470588216,14.272,0.6350348717948702,5660.238836772973,15.018452886748946,39.33241507622802,25.923302063789833,100.0,69.59021951,1.3949328449328462
1975,72.85753623188407,98.10256410256409,29.856617647058783,14.88,0.640711111111111,6248.07260787976,14.67670593137882,40.286367532467466,25.3585647279549,100.0,69.44131707,1.3873015873015895
1976,73.4697101449276,98.14358974358973,29.12955882352935,15.337,0.6463873504273501,6835.90637898678,14.334958976008693,41.240319988706915,24.793827392119965,100.0,69.29002439,1.379670329670331
1977,74.08188405797114,98.18461538461537,28.402499999999918,15.735,0.6520635897435891,7423.7401500937995,13.993212020638566,42.19427244494614,24.22909005628503,100.0,69.14695122,1.3720390720390743
1978,74.69405797101444,98.22564102564101,27.675441176470486,16.166,0.6577398290598282,8011.5739212005865,13.65146506526844,43.148224901185586,23.664352720450097,100.0,69.02626829,1.3644078144078158
1979,75.30623188405798,98.26666666666665,26.94838235294128,16.184,0.6634160683760673,8599.407692307606,13.309718109898313,44.102177357425035,23.09961538461539,100.0,68.93858537,1.356776556776559
1980,75.91840579710151,98.30769230769229,26.221323529411848,16.711,0.6690923076923063,13285.0,12.967971154528186,45.056129813664484,22.5,100.0,68.90563415,1.3491452991453006
