year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,48.05405405405418,80.94188034188028,3.0655011655011677,0.515,0.48021538461538427,3620,2.39,7.640766233111037,140.1286967365968,92.6,85.44616196832317,59.99100000000001,4.615172957264946
1961,49.09957325746791,81.26632478632473,3.0455710955710984,0.557,0.48607230769230725,3767,2.464,7.597993999,139.25783379953396,86.3,85.72323968251544,60.515,4.519235658119669
1962,50.1450924608821,81.59076923076918,3.025641025641029,0.55,0.491929230769232,3872,2.5380000000000003,6.421029609,138.3869708624709,80.5,86.00031739670771,61.012,4.423298358974364
1963,51.19061166429583,81.91521367521364,3.00571095571096,0.65,0.497786153846155,3949,2.612,7.3388035270000005,137.51610792540805,75.3,86.2773951109001,61.486000000000004,4.327361059829059
1964,52.23613086771002,82.23965811965809,2.9857808857808905,0.8,0.503643076923078,4087,2.6860000000000004,5.358962909,136.6452449883452,70.6,86.55447282509238,61.943000000000005,4.231423760683754
1965,53.28165007112375,82.56410256410254,2.965850815850814,0.88,0.509500000000001,4268,2.76,7.684863475,135.77438205128215,66.5,86.83155053928465,62.39,4.135486461538449
1966,54.32716927453794,82.888547008547,2.945920745920745,1.005,0.5153569230769239,4368,2.8739999999999997,7.816711026,134.9035191142193,63.0,87.10862825347692,62.833,4.039549162393172
1967,55.37268847795167,83.21299145299145,2.9259906759906755,1.008,0.5212138461538469,4330,2.988,3.857146492,134.03265617715624,60.0,87.38570596766931,63.277,3.9436118632478667
1968,56.41820768136586,83.5374358974359,2.9060606060606062,1.023,0.5270707692307699,4594,3.102,7.9779946420000005,133.1617932400934,57.4,87.66278368186158,63.718999999999994,3.8476745641025616
1969,57.46372688477959,83.86188034188035,2.886130536130537,0.866,0.5329276923076929,4744,3.216,4.8885336530000005,132.29093030303034,55.2,87.93986139605386,64.161,3.7517372649572565
1970,58.50924608819332,84.1863247863248,2.8662004662004676,1.35,0.5387846153846159,4918,3.33,5.98653863,131.4200673659675,53.3,88.21693911024624,64.595,3.6557999658119513
1971,59.55476529160751,84.51076923076926,2.8462703962703984,1.506,0.5446415384615388,5158,3.3960000000000004,5.753434907000001,130.54920442890443,51.3,88.49401682443852,65.013,3.5598626666666746
1972,60.60028449502124,84.8352136752136,2.826340326340329,1.581,0.5504984615384618,5416,3.4619999999999997,9.381914532,129.6783414918416,49.4,88.77109453863079,65.407,3.4639253675213695
1973,61.64580369843543,85.15965811965805,2.8064102564102598,1.51,0.5563553846153848,6056,3.528,11.71420245,128.80747855477875,47.2,89.04817225282318,65.775,3.3679880683760643
1974,62.69132290184916,85.4841025641025,2.7864801864801905,1.6030000000000002,0.5622123076923078,6359,3.594,8.309625735,127.93661561771569,44.9,89.32524996701545,66.117,3.272050769230759
1975,63.73684210526335,85.80854700854695,2.766550116550121,1.598,0.5680692307692308,6265,3.66,0.8016699820000001,127.06575268065285,42.4,89.60232768120773,66.442,3.176113470085454
1976,64.78236130867708,86.1329914529914,2.7466200466200448,1.9140000000000001,0.5739261538461538,6885,3.738,11.56383629,126.19488974358978,39.9,89.8794053954,66.76100000000001,3.0801761709401774
1977,65.82788051209127,86.45743589743586,2.7266899766899755,1.766,0.5797830769230767,7277,3.8160000000000003,7.756474315,125.32402680652694,37.3,90.15648310959239,67.085,2.9842388717948722
1978,66.873399715505,86.78188034188031,2.706759906759906,1.7690000000000001,0.5856399999999997,7737,3.8939999999999997,6.652034722000001,124.45316386946388,34.9,90.43356082378466,67.42,2.888301572649567
1979,67.91891891891919,87.10632478632476,2.686829836829837,2.025,0.5914969230769227,8177,3.972,9.349101415,123.58230093240104,32.5,90.71063853797693,67.766,2.792364273504262
1980,67,87.43076923076922,2.6668997668997676,2.0269999999999997,0.5973538461538457,8651,4.05,7.444233707,122.7114379953382,30.2,90.98771625216932,68.117,2.6964269743589853
1981,66,87.75521367521367,2.6469696969696983,2.1790000000000003,0.6032107692307704,9046,4.126,6.941952381,121.84057505827514,28.2,91.2647939663616,68.461,2.60048967521368
1982,73,88.07965811965812,2.627039627039629,2.1109999999999998,0.6090676923076934,9354,4.202,5.940926805,120.9697121212123,26.2,91.54187168055387,68.788,2.504552376068375
1983,58,88.40410256410257,2.6071095571095597,2.56,0.6149246153846164,9689,4.2780000000000005,6.250251454,120.09884918414923,24.5,91.81894939474626,69.09,2.40861507692307
1984,54,88.72854700854703,2.5871794871794904,2.282,0.6207815384615394,10190,4.354,7.761925328999999,119.22798624708639,23.0,92.09602710893853,69.366,2.9
1985,57,89.05299145299148,2.567249417249421,2.3209999999999997,0.6266384615384624,9833,4.43,6.476952769385818,118.35712331002333,21.6,92.3731048231308,69.62100000000001,2.6333
1986,62,89.37743589743582,2.547319347319352,2.49,0.6324953846153853,9710,4.498,1.152508867,117.48626037296049,20.3,92.65018253732308,69.866,2.3667
1987,69,89.70188034188027,2.5273892773892754,2.465,0.6383523076923083,9979,4.566,5.388645244,116.61539743589765,19.2,92.92726025151546,70.11,2.1
1988,68,90.02632478632472,2.507459207459206,2.5069999999999997,0.6442092307692313,10602,4.6339999999999995,9.937724197,115.74453449883458,18.2,93.20433796570774,70.358,1.85
1989,84,90.35076923076917,2.487529137529137,2.842,0.6500661538461543,11330,4.702,9.058481052000001,114.87367156177174,17.4,93.48141567990001,70.612,1.6
1990,90,90,2.4675990675990676,3.135,0.643,12137,4.77,9.009649272,114.00280862470868,16.6,93.4461441,70.865,1.5
1991,92,91,2.4476689976689983,3.699,0.6512,12938,4.82,9.545464867,113.13194568764584,15.8,93.8021698,71.10600000000001,1.4
1992,94,91,2.427738927738929,3.957,0.6594,13725,4.87,8.885115936,112.26108275058277,15.1,94.15775299,71.32600000000001,1.3
1993,91,92,2.4078088578088597,4.7010000000000005,0.6676,14712,4.92,9.894946828,111.39021981351993,14.4,94.51063538,71.51899999999999,1.4667
1994,95,92,2.3878787878787904,4.7,0.6758,15665,4.97,9.212042786,110.51935687645687,13.9,94.85810089,71.687,1.6333
1995,98,92,1.9,5.905,0.684,16778,5.02,9.82908212,109.64849393939403,13.4,95.19744109999999,71.834,1.8
1996,97,93,2.1,5.959,0.6922,17998,5.064,10.00270109,108.77763100233119,12.9,95.52597046,71.972,1.1
1997,98,93,2.5,5.7829999999999995,0.7004,18820,5.1080000000000005,7.3227429520000005,107.90676806526812,12.4,95.84096527,72.11,0.4
1998,97,93,2.8,5.159,0.7086,16983,5.152,5.871769768248697,107.03590512820529,11.7,96.13972473,72.257,0.4
1999,97,94,2.6,4.76,0.7168,17564,5.196000000000001,6.137609886,106.16504219114222,11.0,96.42064667,72.418,0.4
2000,98,94,2.4,5.417999999999999,0.725,18594,5.24,8.858868086000001,105.29417925407938,10.2,96.68652344,72.594,0.4
2001,96,94,2.3,5.718,0.7299,18229,5.27,0.517675306,104.42331631701632,9.5,96.94126129,72.782,0.4
2002,94,95,2.2,5.522,0.7348,18780,5.3,5.390988339,103.55245337995348,8.9,97.18875122,72.976,0.4
2003,96,95,2.1,6.405,0.7397,19390,5.33,5.7884992770000006,102.68159044289064,8.5,97.43289948,73.17,0.4
2004,95,95,2.0,6.502000000000001,0.7446,20221,5.36,6.783437723,101.81072750582757,8.3,97.67759705,73.36399999999999,0.4
2005,96,96,1.9,6.794,0.7495,20825,5.39,5.332139139,100.93986456876473,8.2,97.92674255,73.555,0.4333
2006,95,96,2.3,6.41,0.7544,21602,5.4239999999999995,5.584847075,100.06900163170167,8.1,98.19210815,73.744,0.4667
