year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1972,61.26199056199084,82.36341880341882,1.485,0.44949230769230764,3587,2.6260000000000003,8.329774728,267.89999999999964,112.8,25.209221919938386,57.32899999999999
1973,61.89570999571015,82.24683760683763,1.619,0.44985384615384605,3609,2.6639999999999997,2.604714697,263.39999999999964,112.3,25.484130870353738,57.50899999999999
1974,62.52942942942968,82.13025641025641,1.528,0.4502153846153846,3597,2.702,6.625153618,258.89999999999964,112.1,25.759039820769203,57.688
1975,63.16314886314899,82.01367521367521,1.359,0.450576923076923,3533,2.74,4.231816542503992,254.39999999999964,112.3,26.033948771184555,57.891999999999996
1976,63.796868296868524,81.89709401709402,1.722,0.4509384615384615,3420,2.772,0.464838906,249.89999999999964,112.3,26.308857721599907,58.15
1977,64.43058773058783,81.78051282051283,1.429,0.4512999999999999,3076,2.804,4.041643224908171,245.39999999999964,112.4,26.583766672015372,58.47
1978,65.06430716430737,81.66393162393163,1.386,0.45166153846153834,3105,2.8360000000000003,3.946556566110246,240.89999999999964,111.7,26.858675622430724,58.85
1979,65.69802659802667,81.54735042735044,1.364,0.45202307692307686,3051,2.8680000000000003,3.297035399,236.39999999999964,110.0,27.133584572846075,59.273999999999994
1980,66.3317460317462,81.43076923076924,1.344,0.4523846153846153,3265,2.9,14.4206839,231.89999999999964,107.2,27.408493523261427,59.731
1981,39.0,81.31418803418805,1.2690000000000001,0.4527461538461538,3546,2.964,12.52542486,227.39999999999964,103.0,27.683402473676892,60.203
1982,46.0,81.19760683760686,1.14,0.4531076923076922,3540,3.028,2.634297144,222.89999999999964,97.8,27.958311424092244,60.65
1983,53.0,81.08102564102566,1.3019999999999998,0.45346923076923074,3464,3.092,1.585305459,218.39999999999964,92.0,28.233220374507596,61.025
1984,60.0,80.96444444444447,1.188,0.45383076923076915,3268,3.156,3.3760366133227535,213.89999999999964,86.2,28.50812932492306,61.28
1985,63.0,80.84786324786327,1.185,0.45419230769230756,3365,3.22,6.944387766,209.39999999999964,81.0,28.783038275338413,61.356
