year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,88.39639639639637,100.0,6.668181818181836,9.919,0.7247589743589744,13656,5.63,4.59702891314285,33.8,100.0,69.70195122,-0.3690909090909109
1961,88.56235182550972,100.0,6.5690909090909315,10.051,0.7280456410256404,14247,5.622000000000001,4.978423063,32.4,100.0,70.52097561,-0.35818181818181927
1962,88.72830725462302,100.0,6.470000000000027,10.561,0.7313323076923073,14896,5.614,5.212003509,31.2,100.0,70.2195122,-0.3472727272727276
1963,88.89426268373637,100.0,6.370909090909123,11.315999999999999,0.7346189743589742,15444,5.606,4.351584282,30.0,100.0,70.05146341,-0.336363636363636
1964,89.06021811284967,100.0,6.271818181818219,11.026,0.737905641025641,16384,5.598,6.9566847329999995,28.9,100.0,70.75512195,-0.3254545454545479
1965,89.22617354196302,100.0,6.172727272727286,11.155,0.7411923076923079,16813,5.59,3.56065984,27.9,100.0,70.62536585,-0.31454545454545624
1966,89.39212897107632,100.0,6.073636363636382,11.078,0.7444789743589739,17239,5.6,3.155894982,27.0,100.0,70.70634146,-0.3036363636363646
1967,89.55808440018967,100.0,5.974545454545478,11.269,0.7477656410256408,17820,5.61,3.868146947,26.2,100.0,71.01292683,-0.29272727272727295
1968,89.72403982930297,100.0,5.8754545454545735,12.384,0.7510523076923077,18495,5.62,4.194129625,25.5,100.0,70.69317073,-0.2818181818181813
1969,89.88999525841632,100.0,5.776363636363669,12.867,0.7543389743589746,19679,5.63,6.629799795,24.8,100.0,70.76487805,-0.2709090909090932
1970,90.05595068752962,100.0,5.677272727272765,13.030999999999999,0.7576256410256406,20843,5.64,5.95693974,24.0,100.0,70.97195122,-0.26000000000000156
1971,90.22190611664297,100.0,5.578181818181832,12.565999999999999,0.7609123076923074,21548,5.622000000000001,3.985827304,23.1,100.0,71.0604878,-0.24909090909090992
1972,90.38786154575627,100.0,5.479090909090928,13.487,0.7641989743589743,22595,5.604,5.2956044339999995,21.9,100.0,71.40512195,-0.23818181818181827
1973,90.55381697486962,100.0,5.380000000000024,14.275,0.7674856410256412,23906,5.586,6.381702073,20.8,100.0,71.63536585,-0.22727272727272663
1974,90.71977240398292,100.0,5.28090909090912,13.862,0.7707723076923072,24835,5.568,4.56525808,19.6,100.0,71.98585366,-0.21636363636363853
1975,90.88572783309627,100.0,5.181818181818215,12.485,0.7740589743589741,24438,5.55,3.569114418227457,18.5,100.0,71.97121951,-0.2054545454545469
1976,91.05168326220956,100.0,5.082727272727283,13.262,0.777345641025641,25776,5.5520000000000005,5.652745847,17.6,100.0,72.1197561,-0.19454545454545524
1977,91.21763869132292,100.0,4.9836363636363785,12.883,0.7806323076923078,25909,5.553999999999999,0.626154812,16.7,100.0,72.77390244,-0.1836363636363636
1978,91.38359412043621,100.0,4.884545454545474,13.799000000000001,0.7839189743589738,26624,5.556,2.841896595,15.9,100.0,72.69804878,-0.17272727272727195
1979,91.54954954954957,100.0,4.78545454545457,14.219000000000001,0.7872056410256407,27227,5.558,2.341072999,15.2,100.0,73.19365854,-0.16181818181818386
