year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,26.666666666666515,51.78803418803409,-86.08626373626339,0.304,0.35978803418803373,1.7,4.811351814587667,208.1,19.33957606056947,-2.628706818181854,46.273999999999994,53.8826210826212
1961,28.16903745851141,52.51247863247863,-82.9780219780223,0.353,0.36472786324786277,1.732,1.8556593209999999,201.1,20.540092875746268,-2.404833636363662,46.953,53.181094831094924
1962,29.671408250355853,53.236923076923176,-79.8697802197803,0.325,0.3696676923076918,1.764,5.764846041,194.5,21.740609690923066,-2.1809604545454704,47.625,52.47956857956865
1963,31.173779042200294,53.96136752136749,-76.7615384615383,0.32,0.37460752136752085,1.796,3.580436708,188.0,22.941126506100318,-1.9570872727272786,48.285,51.778042328042375
1964,32.676149834044736,54.685811965812036,-73.65329670329629,0.316,0.3795473504273499,1.828,5.416645571,181.7,24.141643321277115,-1.7332140909090867,48.926,51.0765160765161
1965,34.17852062588918,55.41025641025635,-70.5450549450552,0.32,0.3844871794871789,1.86,9.037156489,175.5,25.342160136453913,-1.5093409090909518,49.548,50.37498982499005
1966,35.68089141773362,56.134700854700895,-67.4368131868132,0.335,0.38942700854700796,1.8980000000000001,5.373842271,169.4,26.54267695163071,-1.28546772727276,50.151,49.67346357346378
1967,37.18326220957806,56.85914529914521,-64.3285714285712,0.354,0.394366837606837,1.936,5.977542858,163.3,27.743193766807963,-1.061594545454568,50.742,48.9719373219375
1968,38.6856330014225,57.583589743589755,-61.2203296703301,0.47600000000000003,0.39930666666666603,1.974,6.598183245,157.3,28.94371058198476,-0.8377213636363763,51.33,48.27041107041123
1969,40.188003793266944,58.30803418803407,-58.1120879120881,0.447,0.40424649572649507,2.012,0.655438847,151.5,30.144227397161558,-0.6138481818181845,51.92100000000001,47.56888481888495
1970,41.690374585111385,59.032478632478615,-55.0038461538461,0.512,0.4091863247863241,2.05,3.62672094,145.8,31.34474421233881,-0.38997499999999263,52.522,46.86735856735868
1971,43.19274537695583,59.75692307692316,-51.895604395604096,0.475,0.41412615384615314,2.104,3.9950036069999997,140.2,32.54526102751561,-0.16610181818185765,53.14,46.165832315832404
1972,44.69511616880027,60.481367521367474,-48.787362637363,0.534,0.4190659829059822,2.158,5.7623048820000005,134.7,33.745777842692405,0.05777136363633417,53.778,45.46430606430613
1973,46.19748696064471,61.20581196581202,-45.679120879121,0.509,0.4240058119658112,2.2119999999999997,7.869852503,129.3,34.9462946578692,0.281644545454526,54.43899999999999,44.762779812779854
1974,47.69985775248915,61.930256410256334,-42.570879120879,0.51,0.42894564102564026,2.266,4.404474722676177,124.0,36.146811473046455,0.5055177272727178,55.123999999999995,44.06125356125358
1975,49.20222854433405,62.65470085470088,-39.462637362637,0.53,0.4338854700854693,2.32,2.130681763,118.8,37.34732828822325,0.7293909090909096,55.833999999999996,43.35972730972753
1976,50.70459933617849,63.37914529914519,-36.354395604395904,0.547,0.43882529914529833,2.458,10.50069306,113.7,38.54784510340005,0.9532640909091015,56.567,42.65820105820126
1977,52.20697012802293,64.10358974358974,-33.2461538461539,0.597,0.44376512820512737,2.596,10.38388909,108.8,39.7483619185773,1.1771372727272365,57.317,41.95667480667498
1978,53.70934091986737,64.82803418803428,-30.1379120879119,0.593,0.4487049572649564,2.734,10.00570129,104.0,40.9488787337541,1.4010104545454283,58.08,41.25514855514871
1979,55.211711711711814,65.5524786324786,-27.029670329670807,0.541,0.45364478632478544,2.872,4.66442082,99.3,42.1493955489309,1.62488363636362,58.851000000000006,40.55362230362243
1980,28,66.27692307692314,-23.921428571428805,0.56,0.4585846153846145,3.01,0.668480796,94.7,43.349912364107695,1.848756818181812,59.632,39.85209605209616
1981,34,67.00136752136746,-20.813186813186803,0.48,0.4635244444444435,3.122,2.53320223,90.3,44.55042917928495,2.0726300000000037,60.427,39.15056980056988
1982,46,67.725811965812,-17.7049450549448,0.45,0.46846427350427255,3.234,4.171973527298192,86.0,45.750945994461745,2.2965031818181956,61.236000000000004,38.44904354904361
1983,52,68.45025641025632,-14.596703296703708,0.496,0.4734041025641016,3.346,4.142910877875941,81.9,46.95146280963854,2.5203763636363306,62.05,37.747517297517334
1984,41,69.17470085470086,-11.488461538461706,0.479,0.47834393162393063,3.458,4.345691194,77.9,48.15197962481534,2.7442495454545224,62.858999999999995,37.04599104599106
1985,58,69.8991452991454,-8.380219780219704,0.446,0.48328376068375967,3.57,4.188233695,74.1,49.35249643999259,2.968122727272714,63.643,36.34446479446501
1986,62,70.62358974358972,-5.271978021977702,0.419,0.4882235897435887,3.634,0.722676854,70.5,50.55301325516939,3.191995909090906,64.382,35.64293854293874
1987,58,71.34803418803426,-2.1637362637366095,0.478,0.49316341880341774,3.698,6.03139002,67.1,51.75353007034619,3.415869090909098,65.062,34.94141229141246
1988,74,72.07247863247858,0.9445054945053926,0.535,0.4981032478632468,3.762,4.609852686,63.9,52.95404688552344,3.639742272727233,65.679,34.23988603988619
1989,85,72.79692307692312,4.052747252747395,0.5670000000000001,0.5030430769230758,3.826,4.325852759,60.9,54.15456370070024,3.8636154545454247,66.229,38.6
1990,84,73,7.160989010989397,0.523,0.507,3.89,0.096880396,58.0,55.10711288,4.0874886363636165,66.723,44.3
1991,94,74,10.26923076923049,0.529,0.512,3.9419999999999997,3.2520338189999998,55.3,54.781937,4.311361818181808,67.175,33.4
1992,93,75,13.377472527472491,0.585,0.517,3.9939999999999998,5.624295813,52.9,58.913112,4.535235,67.605,28.7
1993,94,76,16.485714285714494,0.528,0.522,4.046,6.230032036,50.5,61.100156000000005,4.759108181818192,68.028,23.6
1994,94,76,19.593956043955586,0.6,0.527,4.098,3.823221734231204,48.3,64.733947,4.982981363636327,68.45,26.7
1995,94,77,22.70219780219759,0.68,0.532,4.15,4.062976116000001,46.3,66.122022,5.206854545454519,68.87100000000001,27.7
1996,94,78,25.81043956043959,0.675,0.537,4.202,3.595249724,44.3,61.68111999999999,5.430727727272711,69.28399999999999,30.4
1997,95,79,28.918681318681593,0.688,0.542,4.254,4.993718608,42.4,64.794754,5.654600909090902,69.676,21.2
1998,97,79,32.026923076922685,0.7509999999999999,0.547,4.306,2.901585416,58.3,66.85951899999999,5.878474090909094,70.041,25.9
1999,95,80,42.1,0.746,0.552,4.3580000000000005,3.677908487119957,38.8,67.394103,6.102347272727286,70.378,26.5
2000,94,81,51.1,0.7709999999999999,0.557,4.41,5.748148174,37.0,67.50870514,6.326220454545421,70.689,22.4
2001,96,82,55.0,0.853,0.5624,4.446000000000001,2.723193273,35.3,68.67956543,6.550093636363613,70.976,18.3
2002,95,82,56.0,0.887,0.5678,4.482,3.754337861,33.7,63.141137,6.773966818181805,71.249,29.1
2003,92,83,33.6,0.961,0.5732,4.518,4.5470380519999996,32.1,65.090464,6.9978399999999965,71.51100000000001,27.5
2004,94,84,32.0,1.022,0.5786,4.553999999999999,6.232302961,30.6,67.113528,6.8,71.77,26.3
2005,98,85,35.1,1.024,0.584,4.59,6.050599222000001,29.2,68.903309,7.4333,72.02600000000001,27.8
2006,95,85,43.0,0.9279999999999999,0.5894,4.624,6.567243552000001,27.9,71.266448,8.0667,72.285,23.8
2007,94,86,45.6,1.138,0.5948,4.658,6.188327167000001,26.6,73.548187,8.7,72.544,17.4
2008,93,87,61.3,1.101,0.6002,4.692,4.23160011,25.5,76.396899,8.475,72.803,16.1
2009,97,87,70.7,0.9790000000000001,0.6056,4.726,3.3872819928974707,24.4,78.269685,8.25,73.061,14.0
2010,97,88,82.1,0.973,0.611,4.76,3.731140344,23.3,80.984668,8.025,73.317,15.5
2011,97,89,91.6,1.072,0.614,5.143552941176466,3.8356906619999998,22.4,82.195298,7.8,73.569,18.8
2012,97,89,75.54230769230799,1.056,0.614,5.214209954751141,4.128687749,21.5,83.607727,8.5,73.814,21.4
2013,97,90,78.65054945054908,1.046,0.618,5.284866968325787,2.791559757,20.7,87.184881,9.2,74.051,18.9
2014,97,91,81.75879120879108,1.074,0.623,5.355523981900461,3.058080562,20.0,88.653773,10.50187,74.278,17.2
2015,97,91,84.86703296703308,1.0959999999999999,0.625,5.426180995475107,3.6406988719999998,19.3,85.36800089530016,9.684318181818185,74.495,17.8
