year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,34.787692307692396,92.22564102564101,1.631,-5730.655172413797,89.07670411609888,64.24295962732924,36.09418275418284,91.94135515620002,84.20000000000027,60.353,1.139421818181816
1961,35.85615384615403,92.36512820512817,1.679,-5421.800000000047,87.34509453459532,64.62390993788824,35.52002574002586,92.10259269210002,82.59999999999991,61.019,1.1182090909090903
1962,36.92461538461566,92.50461538461539,1.6880000000000002,-5112.94482758618,85.6134849530913,65.00486024844724,34.94586872586888,92.26383022800002,81.0,61.646,1.0969963636363644
1963,37.9930769230773,92.64410256410255,1.8430000000000002,-4804.089655172429,83.88187537158774,65.38581055900625,34.37171171171167,92.42506776390002,79.40000000000009,62.243,1.0757836363636315
1964,39.06153846153893,92.78358974358972,2.049,-4495.2344827586785,82.15026579008418,65.76676086956525,33.79755469755469,92.58630529980002,77.80000000000018,62.818000000000005,1.0545709090909057
1965,40.13000000000011,92.92307692307688,2.076,-4186.3793103448115,80.41865620858061,66.14771118012425,33.22339768339771,92.74754283570002,76.20000000000027,63.381,1.0333581818181798
1966,41.19846153846174,93.0625641025641,2.0269999999999997,-3877.524137931061,78.6870466270766,66.52866149068336,32.649240669240726,92.90878037160002,74.59999999999991,63.94,1.012145454545454
1967,42.266923076923376,93.20205128205126,2.023,-3568.6689655173104,76.95543704557303,66.90961180124236,32.075083655083745,93.07001790750002,73.0,64.499,0.9909327272727282
1968,43.33538461538501,93.34153846153842,2.1390000000000002,-3259.8137931034435,75.22382746406947,67.29056211180136,31.500926640926764,93.23125544340002,71.40000000000009,65.059,0.9697199999999953
1969,44.403846153846644,93.48102564102564,2.1919999999999997,-2950.958620689693,73.49221788256591,67.67151242236037,30.926769626769783,93.39249297930002,69.80000000000018,65.62100000000001,0.9485072727272694
1970,45.47230769230782,93.6205128205128,2.832,-2642.103448275826,71.7606083010619,68.05246273291937,30.352612612612575,93.55373051520002,68.20000000000027,66.187,0.9272945454545436
1971,46.540769230769456,93.75999999999996,3.014,-2333.2482758620754,70.02899871955833,68.43341304347837,29.778455598455594,93.71496805110002,66.59999999999991,66.756,0.9060818181818178
