year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1972,47.60923076923109,93.89948717948718,2.7910000000000004,-2024.3931034483248,68.29738913805477,68.81436335403737,29.204298584298613,93.87620558700002,65.0,67.32,0.8848690909090919
1973,48.67769230769272,94.03897435897434,3.2969999999999997,-1715.5379310344579,66.5657795565512,69.19531366459637,28.63014157014163,94.03744312290002,63.40000000000009,67.867,0.863656363636359
1974,49.74615384615436,94.1784615384615,3.272,-1406.6827586207073,64.83416997504764,69.57626397515537,28.05598455598465,94.19868065880001,61.80000000000018,68.39,0.8424436363636332
1975,50.814615384615536,94.31794871794872,3.378,-1097.8275862069568,63.10256039354363,69.95721428571437,27.48182754182767,94.35991819470001,60.20000000000027,68.872,0.8212309090909073
1976,51.88307692307717,94.45743589743589,3.4530000000000003,-788.9724137930898,61.370950812040064,70.33816459627337,26.90767052767069,94.52115573060001,58.59999999999991,69.296,0.8000181818181815
1977,52.9515384615388,94.59692307692305,3.325,-480.11724137933925,59.6393412305365,70.71911490683237,26.33351351351348,94.68239326650001,57.0,69.657,0.7788054545454486
1978,54.02000000000044,94.73641025641021,3.6830000000000003,-171.26206896547228,57.90773164903294,71.10006521739137,25.7593564993565,94.84363080240001,55.40000000000009,69.954,0.7575927272727228
1979,55.088461538461615,94.87589743589743,3.97,137.59310344827827,56.17612206752892,71.48101552795038,25.18519948519952,95.00486833830001,53.80000000000018,70.193,0.7363799999999969
1980,56.15692307692325,95.01538461538459,3.864,446.4482758620288,54.44451248602536,71.86196583850938,24.611042471042538,95.16610587420001,52.20000000000027,70.399,0.7151672727272711
1981,57.22538461538488,95.15487179487175,4.163,755.3034482758958,52.7129029045218,72.24291614906838,24.036885456885557,95.32734341010001,50.59999999999991,70.601,0.6939545454545453
1982,58.293846153846516,95.29435897435897,3.786,1064.1586206896463,50.981293323018235,72.62386645962738,23.462728442728576,95.48858094600001,49.0,70.82,0.6727418181818123
1983,59.36230769230815,95.43384615384613,4.037,1373.013793103397,49.24968374151422,73.00481677018638,22.888571428571595,95.64981848190001,47.40000000000009,71.061,0.6515290909090865
1984,60.43076923076933,95.5733333333333,4.215,1681.8689655172639,47.518074160010656,73.38576708074538,29.3,95.81105601780001,45.80000000000018,71.315,0.6303163636363607
1985,61.49923076923096,95.71282051282051,4.26,1990.7241379310144,45.78646457850709,73.76671739130438,27.0,95.97229355370001,44.20000000000027,71.53399999999999,0.6091036363636348
1986,62.567692307692596,95.85230769230768,4.405,2299.579310344765,44.05485499700353,74.14766770186338,24.9,96.13353108960001,42.59999999999991,71.65,0.587890909090909
1987,63.63615384615423,95.99179487179484,4.334,2608.434482758632,42.323245415499514,74.52861801242238,23.0,96.29476862550001,41.0,71.626,0.5666781818181761
1988,64.70461538461586,96.13128205128206,4.456,2917.2896551723825,40.59163583399595,74.90956832298139,21.2,96.45600616140001,39.40000000000009,71.461,0.5454654545454503
1989,65.77307692307704,96.27076923076922,4.449,3226.1448275862494,38.86002625249239,75.29051863354039,19.6,96.61724369730001,37.80000000000018,71.184,0.5242527272727244
1990,66.84153846153868,97,4.488,5289.0,37.12841667098883,75.6714689440995,18.1,96.26522827,36.20000000000027,70.877,0.5030399999999986
1991,67.91000000000031,97,3.241,4660.0,35.39680708948481,76.0524192546585,16.8,96.53527832,34.59999999999991,70.645,0.48182727272727277
1992,58.0,97,3.548,3522.0,33.66519750798125,76.4333695652175,18.0,96.80487061,33.0,70.577,0.46061454545453984
1993,38.0,97,3.08,2636.0,31.933587926477685,76.8143198757765,17.5,97.07176208,31.40000000000009,70.725,0.439401818181814
1994,82.0,97,0.818,2842.0,30.201978344974123,77.1952701863355,14.8,97.33324432,29.800000000000182,71.093,0.4181890909090882
1995,55.0,97,0.892,3088.0,20.80000055,77.5762204968945,14.1,97.58660889,28.200000000000273,71.645,0.39697636363636235
1996,67.0,97,1.124,4745.0,88.95766479999999,77.95717080745351,12.2,97.82914734,26.59999999999991,72.307,0.3757636363636365
1997,79.0,97,2.2359999999999998,5778.0,34.38957459,78.33812111801251,11.5,98.0462265,25.0,72.976,0.3545509090909036
1998,89.0,97,2.824,6519.0,15.59999636,78.71907142857151,10.9,98.25828552,23.40000000000009,73.569,0.33333818181817776
1999,90.0,97,2.759,7035.0,9.599999795,79.1,10.3,98.45483398,21.800000000000182,74.05,0.31212545454545193
2000,85.0,98,3.658,7177.0,5.5000004360000005,79.48100000000001,9.9,98.63742828,20.2,74.403,0.2909127272727261
2001,91.0,98,3.54,7314.0,4.3999995069999995,79.8619,9.6,99.4,18.6,74.637,0.3
2002,80.0,98,3.785,7675.0,5.300000267,80.2429,9.3,98.5,17.0,74.803,0.2667
2003,87.0,98,3.8310000000000004,7938.0,4.000000065,80.6238,9.2,99.13459778,15.4,74.941,0.2333
2004,84.0,98,4.126,8361.0,6.099999771,81.0048,9.0,99.2962265,13.8,75.068,0.2
2005,93.0,98,4.281000000000001,8678.0,8.758230335,81.3857,8.9,99.46206665,12.2,75.19800000000001,0.1667
2006,87.0,99,4.644,9145.0,5.3784768210000005,81.7667,8.6,99.63188171,10.6,75.342,0.1333
2007,95.0,99,4.6739999999999995,9687.0,5.728756912000001,82.1476,8.3,99.7,9.0,75.498,0.1
2008,91.0,99,5.351,10221.0,5.48150787,82.5286,7.9,99.91215515,7.400000000000091,75.665,0.1
2009,90.0,99,5.522,9919.0,4.227834622418868,82.9095,7.5,99.97640991,5.800000000000182,75.844,0.1
2010,89.0,99,5.712000000000001,10011.0,0.7672542370000001,83.2905,7.2,99.99703979,4.200000000000273,76.031,0.1
2011,88.0,99,6.471,10113.0,0.908247974,83.6714,6.9,100.0,2.599999999999909,76.219,0.1
2012,92.0,100,6.096,10038.0,-0.966994122091819,84.0524,6.7,100.0,1.0,76.40100000000001,0.03635999999999484
2013,89.0,100,6.075,10283.0,2.394191979,84.4333,6.5,100.0,-0.599999999999909,76.569,0.015147272727269012
2014,86.0,100,6.228,10413.0,1.08187567,84.8143,6.4,100.0,-2.199999999999818,76.723,-0.0060654545454568165
2015,82.0,100,6.57,10746.0,3.015921353,85.1952,6.3,100.8094196307,-3.799999999999727,76.865,-0.027278181818182645
2016,78.0,100.03692307692305,6.657,11098.0,1.987669046,85.5762,6.2,100.9706571666,-5.400000000000091,76.998,-0.048490909090908474
2017,95.69000000000051,100.17641025641021,5.414838345864652,11445.0,-9.62504202961054,85.9571,6.1,101.1318947025,-7.0,77.128,-0.06970363636364141
2018,96.75846153846169,100.31589743589743,5.476595022037841,11819.0,-11.356651611114103,86.3381,6.0,101.2931322384,-8.599999999999909,77.262,-0.09091636363636724
2019,97.82692307692332,100.45538461538459,5.538351698211031,12207.0,-13.088261192617665,86.719,5.9,101.4543697743,-10.199999999999818,78.72272355347746,-0.11212909090909307
2020,98.89538461538496,100.59487179487175,5.600108374384234,12800.655172413797,-14.819870774121227,87.1,1.6447619047619355,101.6156073102,-11.799999999999727,78.98140134424312,-0.1333418181818189
