year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-6.113445378151482,2.7572649572648515,0.078,0.3010808823529407,2605,1.1729066175246743,212.15481943140094,3.3790438002462224,23.139882857142865,39.961999999999996,31.863756194296002
1961,-4.47170868347348,3.6417094017092495,0.069,0.3050397058823524,2607,2.048632751,209.52258601553876,3.6272224276308407,23.20073607142858,40.444,32.784628286541874
1962,-2.829971988795478,4.526153846153875,0.075,0.3089985294117641,2614,2.2710697019999997,206.89035259967568,3.875401055015459,23.261589285714294,40.924,33.705500378787974
1963,-1.1882352941179306,5.410598290598273,0.084,0.31295735294117577,2537,1.2555810233585447,204.2581191838135,4.12357968240002,23.322442500000008,41.401,34.62637247103385
1964,0.4535014005600715,6.295042735042671,0.085,0.31691617647058745,2584,3.962518848,201.62588576795042,4.371758309784639,23.383295714285723,41.876000000000005,35.547244563279946
1965,2.0952380952380736,7.179487179487069,0.09699999999999999,0.32087499999999913,2518,1.3106972939144512,198.99365235208734,4.619936937169257,23.444148928571437,42.351000000000006,36.46811665552582
1966,3.7369747899160757,8.063931623931467,0.098,0.3248338235294108,2516,2.064552407,196.36141893622516,4.868115564553875,23.50500214285715,42.828,37.38898874777192
1967,5.378711484593623,8.948376068376092,0.138,0.3287926470588234,2599,5.52856561,193.72918552036208,5.116294191938493,23.565855357142866,43.31,38.30986084001779
1968,7.020448179271625,9.83282051282049,0.146,0.33275147058823507,2716,6.828786098999999,145.8,5.364472819323112,23.62670857142858,43.79600000000001,39.23073293226389
1969,8.662184873949627,10.717264957264888,0.133,0.33671029411764675,2758,3.721222168,147.7,5.61265144670773,23.687561785714294,44.283,40.15160502450976
1970,10.303921568627175,11.601709401709286,0.147,0.34066911764705843,2838,5.276455575,149.6,5.860830074092348,23.74841500000001,44.771,41.07247711675586
