year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
2001,87,80,10.4,0.7759999999999999,0.575,3.72,2.960843529,36.4,72.22158,12.13067866,69.934,17.4
2002,85,80,10.6,0.779,0.58,3.79,0.7539389409999999,34.6,73.83321381,11.623,70.308,15.3
2003,86,81,12.0,0.841,0.585,3.86,2.520732936,32.9,74.34144592,11.1153,70.64,13.2
2004,79,81,12.1,0.8320000000000001,0.59,3.93,5.31217052,31.3,74.85022736,10.6077,70.933,11.1
2005,86,82,13.4,0.8029999999999999,0.595,4.0,4.282398305,29.9,73.821815,10.1,71.195,9.0
2006,88,83,13.1,0.818,0.6,4.056,3.804864617,28.5,75.88505554,14.3,71.436,8.65
2007,93,83,12.8,0.833,0.605,4.112,5.076352018,27.2,76.41794586,18.5,71.673,8.3
2008,97,84,13.1,0.79,0.61,4.168,3.4357169360000004,26.0,76.96134186,22.7,71.915,7.95
2009,98,84,14.0,0.792,0.615,4.224,2.3718886218249438,24.9,77.916313,26.9,72.167,7.6
2010,98,85,13.6,0.79,0.62,4.28,4.410099117,23.9,78.07263184,31.1,72.428,6.8
2011,98,86,12.6625,0.84,0.625,4.172823529411758,6.316685535,22.9,78.63702393,39.4249,72.692,6.0
2012,98,86,12.666911764705882,0.7859999999999999,0.63,4.220850678733029,6.496136471,22.0,79.20491791,47.74977,72.95100000000001,5.2
2013,98,87,12.671323529411765,0.765,0.636,4.268877828054286,4.927094134,21.1,79.77455902,41.93113143545452,73.197,4.4
2014,98,87,12.675735294117647,0.8079999999999999,0.642,4.3169049773755575,4.785460136,20.3,81.853073,45.09680103244773,73.429,3.6
2015,98,87,12.680147058823529,0.8320000000000001,0.645,4.364932126696829,4.852964348,19.4,80.8593197486,48.26247062944003,73.649,-2.052380519480721
2016,98,88.48923076923097,12.684558823529413,0.8340000000000001,0.6571938461538451,4.412959276018086,4.702181079,18.7,81.40623122464604,51.42814022643324,73.86,-3.604761434217835
2017,113.3063063063064,89.0895726495728,12.688970588235295,0.8349317042606526,0.6631099145299135,4.460986425339357,2.1733299655545437,18.0,81.9531427006923,54.593809823426454,74.068,-5.157142348955404
2018,115.39924134660941,89.68991452991463,12.693382352941176,0.8415343099127135,0.6690259829059819,4.509013574660628,2.1485101335207375,17.3,82.50005417673833,57.759479420419666,74.275,-6.709523263692972
2019,117.49217638691334,90.29025641025669,12.697794117647058,0.8481369155647744,0.6749420512820503,4.557040723981899,2.1236903014869384,16.6,83.04696565278459,60.92514901741288,77.43169783752182,-8.261904178430086
2020,119.58511142721636,90.89059829059852,12.702205882352942,0.8547395212168354,0.6808581196581187,4.605067873303156,2.0988704694531393,-17.814350282485066,83.59387712883063,64.09081861440518,77.91968550555225,-9.814285093167655
