year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,82.87408231368184,100.0,2.525000000000002,10.757,0.7546717948717943,16111,5.39,5.111010169292854,32.6,100.0,71.13317073,0.5905740418894823
1961,83.04338153503889,100.0,2.509705882352943,10.6,0.7576143589743589,16259,5.406000000000001,3.163291684,31.5,100.0,71.34609756,0.5838672905525844
1962,83.212680756396,100.0,2.494411764705884,11.089,0.7605569230769227,17077,5.422000000000001,7.116779267,30.5,100.0,71.36707317,0.5771605392156847
1963,83.38197997775305,100.0,2.4791176470588283,11.092,0.7634994871794865,17610,5.438,5.181776082,29.4,100.0,71.38073171,0.5704537878787868
1964,83.5512791991101,100.0,2.463823529411769,12.274000000000001,0.7664420512820511,18407,5.454,6.699456682,28.2,100.0,71.77634146,0.5637470365418888
1965,83.72057842046715,100.0,2.44852941176471,12.787,0.7693846153846149,19278,5.47,6.636545139,27.1,100.0,71.87219512,0.5570402852049909
1966,83.88987764182426,100.0,2.433235294117651,12.922,0.7723271794871795,20149,5.49,6.5849654079999995,26.0,100.0,72.00439024,0.5503335338680913
1967,84.0591768631813,100.0,2.417941176470592,13.807,0.7752697435897433,20393,5.51,2.91531036,25.0,100.0,72.20780488,0.5436267825311933
1968,84.22847608453836,100.0,2.4026470588235327,14.615,0.7782123076923071,21130,5.53,5.295341864,24.0,100.0,72.35341463,0.5369200311942954
1969,84.39777530589541,100.0,2.3873529411764736,14.555,0.7811548717948718,21928,5.55,5.260000826000001,23.0,100.0,72.50146341,0.5302132798573975
1970,84.56707452725246,100.0,2.3720588235294144,15.905,0.7840974358974355,22182,5.57,3.25561362,22.0,100.0,72.7004878,0.5235065285204978
1971,84.73637374860957,100.0,2.3567647058823553,16.158,0.7870399999999993,23124,5.574,4.117657617,21.0,100.0,73.02926829,0.5167997771835999
1972,84.90567296996662,100.0,2.341470588235296,17.188,0.789982564102564,24064,5.577999999999999,5.44585558,19.9,100.0,72.93390244,0.510093025846702
1973,85.07497219132367,100.0,2.326176470588237,16.945,0.7929251282051277,25472,5.582000000000001,6.964202919,18.9,100.0,73.16268293,0.5033862745098023
1974,85.24427141268072,100.0,2.3108823529411815,17.061,0.7958676923076924,26148,5.586,3.6909876489999998,17.9,100.0,73.23756098,0.4966795231729044
1975,85.41357063403782,100.0,2.2955882352941224,17.137,0.7988102564102562,26353,5.59,1.822973129,17.0,100.0,73.52170732,0.4899727718360065
1976,85.58286985539488,100.0,2.2802941176470632,17.01,0.8017528205128199,27432,5.606,5.199302435,16.0,100.0,73.85609756,0.4832660204991086
1977,85.75216907675193,100.0,2.265000000000004,17.177,0.8046953846153846,28022,5.622000000000001,3.4582306010000003,15.1,100.0,74.21560976,0.4765592691622089
1978,85.92146829810898,100.0,2.249705882352945,17.305,0.8076379487179484,28864,5.638,3.953591265,14.2,100.0,74.5297561,0.469852517825311
1979,86.09076751946603,100.0,2.234411764705886,18.194000000000003,0.8105805128205121,29766,5.654,3.804922884,13.3,100.0,74.86634146,0.4631457664884131
1980,86.26006674082313,100.0,2.2191176470588267,18.049,0.8135230769230768,29776,5.67,2.162616891,12.5,100.0,75.07804878,0.4564390151515152
1981,86.42936596218019,100.0,2.2038235294117676,17.331,0.8164656410256406,30322,5.684,3.5031195360000003,11.8,100.0,75.46341463,0.7
1982,86.59866518353724,100.0,2.1885294117647085,16.552,0.8194082051282043,29046,5.6979999999999995,3.635624731334957,11.2,100.0,75.76341463,0.6333
1983,86.76796440489429,100.0,2.1732352941176494,16.142,0.822350769230769,29593,5.712000000000001,2.598572697,10.6,100.0,76.06585366,0.5667
1984,86.9372636262514,100.0,2.1579411764705902,16.63,0.8252933333333328,30991,5.726,5.925350318,10.1,100.0,76.21707317,0.5
1985,87.10656284760844,100.0,2.142647058823531,16.299,0.8282358974358974,32365,5.74,4.734082845,9.8,100.0,76.36829268,0.4333
1986,87.2758620689655,100.0,2.1273529411764756,15.443,0.8311784615384612,32880,5.752000000000001,2.1618155530000003,9.4,100.0,76.5195122,0.3667
1987,85.0,100.0,2.1120588235294164,16.221,0.834121025641025,33775,5.763999999999999,4.096464516,9.1,100.0,76.7195122,0.3
1988,86.0,100.0,2.0967647058823573,16.91,0.8370635897435896,34962,5.776,4.429400975,8.8,100.0,76.9195122,0.3
1989,87.0,100.0,2.081470588235298,16.94,0.8400061538461534,35174,5.787999999999999,2.323973923,8.5,100.0,77.1195122,0.3
1990,88.0,100,2.066176470588239,16.737000000000002,0.8490000000000001,34740,5.8,0.154346036,8.2,100,77.42195122,0.3
1991,88.0,100,2.05088235294118,16.203,0.8508,33584,5.806,3.0320579612612732,8.0,100,77.62195122,0.3
1992,89.0,100,2.035588235294121,16.512999999999998,0.8526,33483,5.812,0.8829760259999999,7.7,100,77.72439024,0.3
1993,90.0,100,2.0202941176470617,16.29,0.8544,33982,5.818,2.655235883,7.4,100,77.82439024,0.3
1994,93.0,100,2.0050000000000026,16.637,0.8562,35130,5.824,4.493474619,7.2,100,77.82682927,0.3
1995,87.0,100,2.0,16.894000000000002,0.858,35703,5.83,2.677708436,6.9,100,78.02926829,0.3
1996,90.0,100,2.1,17.226,0.8598,35904,5.837999999999999,1.611048031,6.7,100,78.18048780000001,0.3
1997,86.0,100,2.0,17.545,0.8616,37067,5.846,4.279812433,6.5,100,78.43170732,0.3
1998,90.0,100,1.9,17.659000000000002,0.8634,38185,5.854,3.8817591439999997,6.4,100,78.63414634,0.3
1999,90.0,100,1.8,18.015,0.8652,39834,5.862,5.1632109,6.3,100,78.88536585,0.3
2000,89.0,100,1.8,18.545,0.867,41514,5.87,5.182690286000001,6.2,100,79.13658537,0.3
2001,89.0,100,1.8,18.136,0.8706,41815,5.88,1.770819089,6.2,100,79.33902439,0.3
2002,88.0,100,1.9,18.118,0.8742,42611,5.89,3.010016308,6.1,100,79.4902439,0.3
2003,91.0,100,1.7,18.495,0.8778,42975,5.9,1.8022733119999998,6.1,100,79.74146341,0.3
2004,91.0,100,2.0,18.266,0.8814,43888,5.91,3.0859612089999997,6.1,100,79.89268293,0.3
2005,93.0,100,2.1,17.765,0.885,44868,5.92,3.201382137,6.1,100,80.19268293,0.3
2006,95.0,100,1.9,17.392,0.8886,45590,5.922000000000001,2.623412623,6.0,100,80.34390244,0.3
2007,94.0,100,1.8,17.875999999999998,0.8922,46082,5.9239999999999995,2.06274769,5.9,100,80.54390244,0.3
2008,92.0,100,1.8,17.128,0.8958,46055,5.926,1.000360973,5.8,100,80.69512195,0.3
2009,91.0,100,1.8,15.966,0.8994,44198,5.928,1.8249244211139057,5.7,100,80.99512195,0.3
2010,89.0,100,1.6,16.205,0.903,45058,5.93,3.08351422,5.6,100,81.24634146,0.3
2011,87.0,100,1.7450000000000045,16.214000000000002,0.907,46015,5.932,3.141219001,5.6,100,81.44878049,0.3
2012,95.0,100,1.7297058823529454,16.202,0.909,46330,5.934,1.745472283,5.5,100,81.64878049,0.3
2013,91.0,100,1.7144117647058863,16.294,0.912,46910,5.936,2.4750018590000002,5.4,100,81.74878049,0.3
2014,91.0,100,1.6991176470588272,16.086,0.919,47767,5.938,2.565299274,5.4,100,81.8,0.22840946969696851
2015,91.0,100,1.683823529411768,15.802,0.92,47711,5.94,0.941675857,5.3,100.0,81.9,0.2217027183600706
2016,91.0,100.0,1.668529411764709,15.515,0.9194553846153841,47739,5.944,1.467747075,5.2,100.0,81.9,0.2149959670231727
2017,92.52413793103446,100.0,1.6532352941176498,18.183911027568897,0.9223979487179479,48573,5.9479999999999995,1.2884206254928472,5.1,100.0,81.94878049,0.208289215686273
