year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-26.783783783783292,83.63339920948624,-0.4642857142857224,0.7020000000000001,0.2848581196581197,1524,0.04,27.244399785270843,363.4087606508965,-10.408683715615098,1.3900386946386334,29.919,-22.847058823529323
1961,-24.709103840682474,83.04743083003973,-0.3678571428571331,0.506,0.28888136752136795,1532,0.042,26.66754990609752,357.0533575317604,-8.881627783576732,1.721161177156091,30.163,-22.094117647058738
1962,-22.6344238975812,82.46146245059299,-0.27142857142857224,0.725,0.2929046153846153,1542,0.044000000000000004,26.090700026924196,409.8,-7.354571851538367,2.0522836596735488,30.5,-21.341176470588152
1963,-20.559743954480382,81.87549407114648,-0.17500000000001137,0.536,0.2969278632478636,1556,0.046,25.513850147750873,402.5,-5.8275159195000015,2.3834061421910064,30.943,-20.588235294117567
1964,-18.48506401137911,81.28952569169974,-0.07857142857142208,0.655,0.30095111111111095,1563,0.048,24.93700026857755,394.5,-4.300459987461636,2.714528624708578,31.500999999999998,-19.83529411764698
1965,-16.41038406827829,80.70355731225322,0.017857142857138797,0.696,0.3049743589743592,1575,0.05,24.360150389403998,385.4,-2.773404055422816,3.0456511072260355,32.175,-19.082352941176396
1966,-14.335704125177472,80.11758893280648,0.11428571428572809,0.602,0.30899760683760746,1593,0.052000000000000005,23.783300510230674,375.1,-1.2463481233844504,3.376773589743493,32.96,-18.32941176470581
1967,-12.261024182076198,79.53162055335974,0.21071428571428896,0.521,0.31302085470085483,1611,0.054000000000000006,23.20645063105735,363.8,0.280707808653915,3.707896072260951,33.836,-17.576470588235225
1968,-10.18634423897538,78.94565217391323,0.30714285714284983,1.949,0.3170441025641031,1625,0.055999999999999994,22.629600751884027,351.6,1.8077637406922804,4.039018554778522,34.78,-16.82352941176464
1969,-8.111664295874562,78.35968379446649,0.40357142857143913,0.769,0.32106735042735046,1645,0.057999999999999996,22.052750872710703,339.2,3.334819672730646,4.37014103729598,35.78,-16.070588235294053
1970,-6.036984352773288,77.77371541501998,0.5,0.405,0.3250905982905987,1944,0.06,21.47590099353738,326.7,4.861875604769466,4.701263519813438,36.82,-15.317647058823468
1971,-3.9623044096724698,77.18774703557324,0.5964285714285609,0.313,0.3291138461538461,2235,0.064,20.899051114364056,314.9,6.388931536807831,5.032386002330895,37.888000000000005,-14.564705882352882
1972,-1.8876244665711965,76.60177865612673,0.6928571428571502,0.233,0.33313709401709435,2363,0.068,20.322201235190732,303.3,7.915987468846197,5.363508484848353,38.981,-13.811764705882297
1973,0.18705547652962196,76.01581027667999,0.789285714285711,0.418,0.3371603418803417,2593,0.07200000000000001,19.74535135601741,292.3,9.443043400884562,5.694630967365924,40.093,-13.058823529411711
1974,2.2617354196304404,75.42984189723347,0.8857142857143003,0.33799999999999997,0.34118358974359,2681,0.076,19.168501476844085,281.4,10.970099332922928,6.025753449883382,41.218999999999994,-12.305882352941126
1975,4.336415362731714,74.84387351778673,0.9821428571428612,0.318,0.34520683760683823,2819,0.08,18.59165159767076,270.0,12.497155264961748,6.35687593240084,42.364,-11.55294117647054
1976,6.411095305832532,74.25790513833999,1.078571428571422,0.364,0.3492300854700856,3166,0.10800000000000001,18.014801718497438,258.1,14.024211197000113,6.687998414918297,43.54,-10.799999999999955
1977,8.48577524893335,73.67193675889348,1.1750000000000114,0.41,0.35325333333333386,3417,0.136,17.437951839324114,245.7,15.551267129038479,7.019120897435869,44.753,-10.047058823529369
1978,10.56045519203417,73.08596837944674,1.2714285714285722,0.41100000000000003,0.35727658119658123,3606,0.16399999999999998,16.86110196015079,233.1,17.078323061076844,7.350243379953326,46.0,-9.294117647058783
1979,12.635135135135897,72.50000000000023,1.3678571428571331,0.41200000000000003,0.3612998290598295,3702,0.192,16.284252080977467,220.3,18.605378993115664,7.681365862470784,47.265,-8.541176470588198
1980,1,71.91403162055349,1.4642857142857224,0.409,0.36532307692307686,3621,0.22,15.707402201804143,207.6,20.13243492515403,8.012488344988242,48.532,-7.788235294117612
1981,3,71.32806324110697,1.5607142857142833,0.502,0.3693463247863251,3736,0.27399999999999997,15.13055232263082,195.1,21.659490857192395,8.3436108275057,49.778,-7.035294117647027
1982,4,70.74209486166023,1.6571428571428726,0.6779999999999999,0.3733695726495725,3693,0.32799999999999996,14.553702443457496,183.3,23.18654678923076,8.67473331002327,50.981,-6.282352941176441
1983,5,70.1561264822135,1.7535714285714334,0.6940000000000001,0.37739282051282075,3795,0.382,13.976852564284172,172.2,24.713602721269126,9.005855792540729,52.117,-5.529411764705856
1984,7,69.57015810276698,1.8499999999999943,0.757,0.381416068376069,3829,0.436,13.400002685110849,162.2,26.240658653307946,9.336978275058186,53.17,-4.77647058823527
1985,12,68.98418972332024,1.9464285714285836,0.878,0.3854393162393164,3686,0.49,12.823152805937525,153.5,27.76771458534631,9.668100757575644,54.12,-4.0235294117646845
1986,13,68.39822134387373,2.0428571428571445,0.807,0.38946256410256463,3653,0.5720000000000001,12.246302926764201,146.2,29.294770517384677,9.999223240093102,54.958999999999996,-3.270588235294099
1987,18,67.81225296442699,2.1392857142857054,0.8170000000000001,0.393485811965812,3682,0.654,11.669453047590878,140.0,30.821826449423043,10.330345722610673,55.692,-2.5176470588235134
1988,36,67.22628458498048,2.2357142857142946,0.8690000000000001,0.39750905982906026,3716,0.736,11.092603168417554,134.7,32.34888238146141,10.66146820512813,56.331,-1.7647058823529278
1989,56,66.64031620553374,2.3321428571428555,0.867,0.40153230769230763,3720,0.818,10.515753289244003,130.0,33.87593831350023,10.992590687645588,56.881,-1.0117647058823422
1990,84,66.0,2.4285714285714164,0.795,0.405,3592,0.9,9.93890341007068,125.8,35.17142105,11.323713170163046,57.346000000000004,-0.2588235294117567
1991,47,66.0,2.5250000000000057,0.727,0.4089,3636,0.97,6.293493848,122.2,36.76848602,11.654835652680617,57.73,0.4941176470588289
1992,50,65.0,2.6214285714285666,0.746,0.4128,3738,1.04,8.207598137,119.0,44.1,11.985958135198075,58.047,1.2470588235294144
1993,54,65.0,2.717857142857156,0.621,0.4167,3696,1.11,4.001966381,116.2,39.95900345,12.317080617715533,58.318000000000005,2.0
1994,33,64.0,2.8142857142857167,0.617,0.4206,3763,1.18,6.721949122000001,113.8,41.54750061,12.64820310023299,58.566,2.7529411764705856
1995,44,63.0,2.9107142857142776,0.6829999999999999,0.4245,3813,1.25,5.669371322000001,111.6,43.127880100000006,12.979325582750448,58.817,3.505882352941171
1996,47,63.0,3.007142857142867,0.669,0.4284,3847,1.338,4.634967317,109.3,44.69743347,13.31044806526802,59.096000000000004,4.258823529411757
1997,40,62.0,3.1035714285714278,0.8140000000000001,0.4323,3920,1.426,5.23111204,106.7,42.6,13.641570547785477,59.415,5.011764705882342
1998,68,61.0,3.1999999999999886,0.721,0.4362,4036,1.514,6.006694598999999,103.2,47.79325104,13.972693030302935,59.782,7.0
1999,71,61.0,3.296428571428578,0.799,0.4401,4072,1.6019999999999999,3.7755304960000005,99.2,49.31520081,13.149970000000001,60.20399999999999,7.4
2000,74,60.0,3.392857142857139,0.818,0.444,4204,1.69,6.181915592999999,94.8,50.82211304,13.8857,60.683,7.8
2001,73,59.0,3.489285714285728,0.88,0.4489,4241,1.764,3.8036458719999997,90.1,52.31787872,14.6214,61.216,8.2
2002,65,59.0,3.585714285714289,0.8320000000000001,0.4538,4285,1.838,3.935231505,85.3,53.8064003,15.3571,61.781000000000006,8.6
2003,61,58.0,3.6,0.888,0.4587,4322,1.912,3.747398185,80.7,55.29157639,16.0928,62.358000000000004,9.0
2004,72,57.0,3.2,0.943,0.4636,4369,1.986,3.9726964010000003,76.4,49.59,16.8286,62.931000000000004,9.4
2005,79,57.0,4.6,0.973,0.4685,4486,2.06,5.591748076,72.3,58.26748657,17.5643,63.481,9.8
2006,78,56.0,4.2,1.0070000000000001,0.4734,4502,2.1519999999999997,3.1704093589999998,68.3,59.76601791,18.3,63.997,10.8
2007,79,55.0,4.1,0.963,0.4783,4526,2.244,3.3384279560000003,64.5,61.27585602,17.75,64.47,11.8
2008,78,54.0,3.9,0.998,0.4832,4564,2.336,3.64756947,61.0,62.79619598,17.2,64.892,12.8
2009,76,55.0,4.2,1.068,0.4881,4613,2.428,3.866229516,57.9,64.32528687,16.65,65.255,13.8
2010,76,55.0,4.357142857142861,0.992,0.493,4835,2.52,7.70230704,56.0,65.86137389999999,16.1,65.54899999999999,14.8
2011,69,55.0,4.453571428571422,0.81,0.494,4108,2.169796078431361,-2.174944052569117,55.2,67.40270996,18.277285303030226,65.768,15.8
2012,67,55.0,4.550000000000011,0.7490000000000001,0.498,4095,2.221816892911008,2.392990209,55.0,68.94754791,18.608407785547683,65.92,16.8
2013,73,52.577075098814475,4.646428571428572,0.996,0.5,4181,2.2738377073906406,4.823519066999999,55.0,75.6,18.93953026806514,66.016,17.8
2014,73,51.991106719367735,4.742857142857133,0.8640000000000001,0.499,4067,2.3258585218702876,-3.9054936900893154,55.2,72.04101563,19.270652750582713,66.066,18.8
2015,69,51.40513833992122,4.839285714285722,0.83,0.48200000000000004,3304,2.3778793363499204,-4.482343569262639,57.1,73.5793925465,19.60177523310017,66.085,18.56470588235311
2016,71,50.81916996047448,4.935714285714283,0.8190000000000001,0.51016,2785,2.4299001508295532,-5.059193448435963,56.8,75.10644847853837,19.932897715617628,66.087,19.317647058823695
2017,91.47297297297337,50.23320158102774,5.032142857142844,0.9293264411027575,0.5141832478632482,2558,2.4819209653092003,-5.636043327609286,57.0,76.63350441057719,20.264020198135086,66.086,20.07058823529428
2018,93.54765291607418,49.64723320158123,5.128571428571433,0.9364580848673416,0.5182064957264965,2431,2.533941779788833,-6.21289320678261,58.5,78.16056034261555,20.595142680652543,66.096,20.823529411764866
2019,95.622332859175,49.06126482213449,5.224999999999994,0.9435897286319239,0.522229743589743,2426,2.585962594268466,-6.789743085955934,58.4,79.68761627465392,20.926265163170115,72.9579316189363,21.576470588235452
2020,97.69701280227673,48.47529644268798,5.321428571428584,0.950721372396508,0.5262529914529912,4522.352542372886,2.637983408748113,-7.366592965129257,-17.91542649727853,81.21467220669228,21.257387645687572,73.64630391583887,22.329411764706038
