year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,60.69369369369383,100.0,1.7588235294117638,4.86,0.7079658119658117,17424,6.46,1.719686622990956,106.771989497459,27.9,100.0,71.23658537
1961,61.324087245139935,100.0,1.7470588235294109,4.851,0.7118367521367519,17458,6.394,1.7400534140383215,106.5104800677583,26.9,100.0,70.98536585
1962,61.95448079658604,100.0,1.735294117647058,4.521,0.7157076923076922,17723,6.327999999999999,1.760420205085687,106.24897063805759,25.8,100.0,71.23170732
1963,62.58487434803237,100.0,1.723529411764705,4.83,0.7195786324786324,18088,6.2620000000000005,1.7807869961330596,105.98746120835688,24.7,100.0,71.2804878
1964,63.21526789947848,100.0,1.7117647058823522,5.0760000000000005,0.7234495726495727,18728,6.196000000000001,1.801153787180425,105.72595177865605,23.8,100.0,71.32926829
1965,63.84566145092458,100.0,1.6999999999999993,5.212000000000001,0.7273205128205129,19417,6.13,1.8215205782277977,105.46444234895534,23.1,100.0,71.22682927
1966,64.47605500237091,100.0,1.6882352941176464,5.249,0.7311914529914523,20286,6.184,1.8418873692751632,105.20293291925464,22.5,100.0,71.12439024
1967,65.10644855381702,100.0,1.6764705882352935,5.043,0.7350623931623925,20129,6.2379999999999995,1.8622541603225358,104.94142348955393,22.0,100.0,71.47317073
1968,65.73684210526312,100.0,1.6647058823529406,4.925,0.7389333333333328,19429,6.292000000000001,1.8826209513699013,104.67991405985322,21.6,100.0,71.12439024
1969,66.36723565670945,100.0,1.6529411764705877,5.14,0.742804273504273,20175,6.346,1.9029877424172668,104.4184046301524,21.2,100.0,71.47317073
1970,66.99762920815556,100.0,1.6411764705882348,5.031000000000001,0.7466752136752133,20746,6.4,1.9233545334646394,104.15689520045169,20.8,100.0,71.27317073
1971,67.62802275960166,100.0,1.629411764705882,5.242000000000001,0.7505461538461535,20778,6.468,1.9437213245120049,103.89538577075098,20.3,100.0,71.77317073
1972,68.258416311048,100.0,1.617647058823529,5.523,0.7544170940170938,21362,6.5360000000000005,1.9640881155593775,103.63387634105027,19.8,100.0,71.82926829
1973,68.8888098624941,100.0,1.605882352941176,6.085,0.758288034188034,22100,6.604,1.984454906606743,103.37236691134945,19.4,100.0,71.66829268
1974,69.51920341394043,100.0,1.5941176470588232,6.16,0.7621589743589743,23034,6.672000000000001,2.0048216976541084,103.11085748164874,18.9,100.0,71.92439024
1975,70.14959696538654,100.0,1.5823529411764703,5.92,0.7660299145299145,23123,6.74,2.025188488701481,102.84934805194803,18.3,100.0,72.2195122
1976,70.77999051683264,100.0,1.5705882352941174,6.183,0.7699008547008548,23005,6.752000000000001,2.0455552797488465,102.58783862224732,17.7,100.0,72.42195122
1977,71.41038406827897,100.0,1.5588235294117645,6.495,0.7737717948717941,22628,6.763999999999999,2.065922070796219,102.32632919254661,17.1,100.0,72.16829268
1978,72.04077761972508,100.0,1.5470588235294116,5.75,0.7776427350427344,22109,6.776,0.317878777,102.06481976284579,16.6,100.0,73.0195122
1979,72.67117117117118,100.0,1.5352941176470587,5.25,0.7815136752136747,22387,6.787999999999999,2.191602346,101.80331033314508,16.1,100.0,73.06829268
1980,76,100.0,1.5235294117647058,5.542000000000001,0.7853846153846149,22651,6.8,1.283519429,101.54180090344437,15.6,100.0,72.82926829
1981,72,100.0,1.511764705882353,5.2170000000000005,0.7892555555555552,23162,6.8260000000000005,4.65619869,101.28029147374366,15.2,100.0,73.62195122
1982,73,100.0,1.5,5.7139999999999995,0.7931264957264954,23704,6.852,0.9295593740000001,101.01878204404295,14.8,100.0,73.72439024
1983,73,100.0,1.488235294117647,5.582000000000001,0.7969974358974357,23945,6.877999999999999,3.492118028,100.75727261434213,14.5,100.0,73.77560976
1984,83,100.0,1.4764705882352942,5.945,0.8008683760683759,24560,6.904,4.793083633999999,100.49576318464142,14.1,100.0,74.37073171
1985,72,100.0,1.4647058823529413,6.667000000000001,0.8047393162393162,25058,6.93,1.61463031,100.23425375494071,13.8,100.0,73.82926829
1986,70,100.0,1.4529411764705884,6.9510000000000005,0.8086102564102564,25287,6.898,2.7060214210000004,99.97274432524,13.4,100.0,74.12195122
1987,67,100.0,1.4411764705882355,7.276,0.8124811965811967,25520,6.8660000000000005,0.9412919890000001,99.71123489553918,12.9,100.0,74.17804878
1988,69,100.0,1.4294117647058826,7.615,0.816352136752136,25469,6.834,2.289956772317268,99.44972546583847,12.4,100.0,74.42439024
1989,80,100.0,1.4176470588235297,7.551,0.8202230769230763,25718,6.8020000000000005,0.15435660199999998,99.18821603613776,11.8,100.0,74.82439024
1990,90,100,1.4058823529411768,7.483,0.818,25718,6.77,0.150575745,98.92670660643705,11.2,100,75.37804878
1991,81,100,1.394117647058824,7.579,0.823,24863,6.756,2.3510571454593716,98.66519717673634,10.6,100,76.03170732
1992,81,100,1.382352941176471,8.024,0.828,24799,6.742000000000001,1.109630816,98.40368774703552,10.0,100,76.12439024
1993,83,100,1.370588235294118,7.774,0.833,25686,6.728,6.396356526,98.14217831733481,9.5,100,76.43414634
1994,84,100,1.3588235294117652,7.697,0.838,27031,6.7139999999999995,5.13410853,97.8806688876341,9.1,100,76.88292683
1995,89,100,1.1,7.66,0.843,27771,6.7,4.735552254,97.61915945793339,8.7,100,76.73414634
1996,88,100,1.3,7.901,0.848,28381,6.69,3.6277173489999996,97.35765002823257,8.4,100,76.78780488
1997,86,100,1.6,8.357000000000001,0.853,28915,6.68,2.035167461,97.09614059853186,8.1,100,77.33414634
1998,81,100,1.3,7.91,0.858,28935,6.67,0.81310681,96.83463116883115,7.8,100,78.08536585
1999,88,100,1.2,8.258,0.863,30066,6.66,5.454648477999999,94.3,7.6,100,77.8902439
2000,90,100,1.3,8.386000000000001,0.868,31160,6.65,2.9035333580000002,94.52,7.4,100,78.63658537
2001,90,100,1.3,8.851,0.8713,31492,6.632000000000001,3.4467457739999996,94.74,7.2,100,78.69268293
2002,90,100,1.5,8.773,0.8746,32476,6.614,4.66983749,94.96,7.0,100,78.84634146
2003,90,100,1.1,9.075,0.8779,33372,6.596,4.557315977,95.18,6.9,100,79.14634146
2004,89,100,1.1,8.837,0.8812,34405,6.577999999999999,3.947709732,95.4,6.7,100,79.54878049
2005,89,100,1.5,9.102,0.8845,34884,6.56,3.301504908,95.62,6.6,100,79.85121951
