year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,41.684684684684726,100.0,2.298333333333332,11.135,0.639266666666666,14960,5.17,3.122291420868187,86.24347826086958,26.6,100.0,71.12682927,1.2527272727272702
1961,42.80322427690862,100.0,2.2815476190476147,11.147,0.6444979487179481,15326,5.196000000000001,2.573569963,86.3739130434783,26.1,100.0,70.87804878,1.2327272727272742
1962,43.92176386913252,100.0,2.2647619047619045,11.15,0.6497292307692302,15341,5.222,1.3279931790000001,86.50434782608698,25.6,100.0,70.92682927,1.212727272727271
1963,45.040303461356416,100.0,2.2479761904761872,11.264000000000001,0.6549605128205123,15833,5.247999999999999,3.956241167,86.63478260869567,24.9,100.0,70.82682927,1.192727272727275
1964,46.15884305357986,100.0,2.23119047619047,11.267999999999999,0.6601917948717944,16557,5.274,5.0382824489999996,86.76521739130436,24.2,100.0,71.62439024,1.172727272727272
1965,47.277382645803755,100.0,2.2144047619047598,11.456,0.6654230769230765,16875,5.3,2.788976828,86.89565217391305,23.4,100.0,71.62439024,1.152727272727276
1966,48.39592223802765,100.0,2.1976190476190425,11.312999999999999,0.6706543589743585,17106,5.318,2.049311178,87.0260869565218,22.8,100.0,71.57317073,1.1327272727272728
1967,49.51446183025155,100.0,2.1808333333333323,10.777999999999999,0.6758856410256406,17389,5.336,2.310965101,87.15652173913048,22.2,100.0,72.12439024,1.1127272727272697
1968,50.633001422475445,100.0,2.164047619047615,10.988,0.6811169230769227,18014,5.354,3.984737995,87.28695652173917,21.8,100.0,71.72439024,1.0927272727272737
1969,51.75154101469889,100.0,2.147261904761905,11.335999999999999,0.6863482051282048,18260,5.372000000000001,2.0524456509999998,87.41739130434786,21.4,100.0,71.72195122,1.0727272727272705
1970,52.870080606922784,100.0,2.1304761904761875,11.729000000000001,0.6915794871794869,18633,5.39,5.957660774,87.54782608695655,21.0,100.0,71.97317073,1.0527272727272745
1971,53.98862019914668,100.0,2.1136904761904702,11.832,0.696810769230769,18934,5.402,3.479335184,87.67826086956524,20.6,100.0,72.27317073,1.0327272727272714
1972,55.10715979137058,100.0,2.09690476190476,11.58,0.7020420512820511,19544,5.414,4.294469811,87.80869565217392,20.0,100.0,72.12439024,1.0127272727272754
1973,56.225699383594474,100.0,2.0801190476190428,11.763,0.7072733333333332,20810,5.426,6.516074517000001,87.93913043478261,19.4,100.0,72.32439024,0.9927272727272722
1974,57.344238975817916,100.0,2.0633333333333326,10.99,0.7125046153846153,20522,5.438,2.773706351476797,88.06956521739136,18.7,100.0,72.52439024,0.9727272727272762
1975,58.46277856804181,100.0,2.0465476190476153,10.73,0.7177358974358974,20501,5.45,2.7488074179488464,88.20000000000005,18.0,100.0,72.72439024,0.9527272727272731
1976,59.58131816026571,100.0,2.029761904761905,10.639000000000001,0.7229671794871795,21101,5.45,2.921780444,88.33043478260873,17.2,100.0,72.77560976,0.93272727272727
1977,60.699857752489606,100.0,2.012976190476188,10.74,0.7281984615384616,21627,5.45,2.463214174,88.46086956521742,16.4,100.0,73.22439024,0.9127272727272739
1978,61.8183973447135,100.0,1.9961904761904705,10.745999999999999,0.7334297435897437,22541,5.45,4.195284943,88.59130434782611,15.7,100.0,73.17560976,0.8927272727272708
1979,62.936936936936945,100.0,1.9794047619047603,11.453,0.7386610256410258,23359,5.45,3.735497418,88.7217391304348,14.9,100.0,73.27560976,0.8727272727272748
1980,41,100.0,1.962619047619043,10.287,0.7438923076923079,22850,5.45,2.624312750309059,88.85217391304349,14.1,100.0,73.67560976,0.8527272727272717
1981,46,100.0,1.9458333333333329,9.957,0.74912358974359,22646,5.462000000000001,2.5994138167811087,88.98260869565223,13.4,100.0,74.02682927,0.8327272727272756
1982,53,100.0,1.9290476190476156,9.735,0.754354871794872,23119,5.474,2.015671972,89.11304347826092,12.7,100.0,74.17804878,0.8127272727272725
1983,59,100.0,1.9122619047619054,9.68,0.7595861538461541,24077,5.486000000000001,4.220572647,89.24347826086961,12.2,100.0,74.37804878,0.7927272727272694
1984,65,100.0,1.895476190476188,9.38,0.7648174358974362,24590,5.497999999999999,2.274566999,89.3739130434783,11.7,100.0,74.77804878,0.7727272727272734
1985,65,100.0,1.8786904761904708,9.907,0.7700487179487183,25550,5.51,4.187305655,89.50434782608698,11.4,100.0,74.62926829,0.7527272727272702
1986,67,100.0,1.8619047619047606,10.045,0.7752800000000004,26271,5.52,3.153252073,89.63478260869567,11.1,100.0,74.92926829,0.7327272727272742
1987,73,100.0,1.8451190476190433,10.076,0.7805112820512825,27573,5.53,5.359484659,89.76521739130436,10.8,100.0,75.2804878,0.7127272727272711
1988,75,100.0,1.8283333333333331,10.024,0.7857425641025646,29070,5.54,5.78739996,89.8956521739131,10.4,100.0,75.3804878,0.6927272727272751
1989,78,100.0,1.8115476190476159,10.193,0.7909738461538467,29731,5.55,2.582895067,90.0260869565218,9.9,100.0,75.58292683,0.672727272727272
1990,84,100,1.7947619047618986,10.41,0.775,29863,5.56,0.716882963,90.15652173913048,9.3,100,75.8804878,0.6527272727272759
1991,88,100,1.7779761904761884,10.525,0.7841,29447,5.568,2.350424481501541,90.28695652173917,8.7,100,76.08292683,0.6327272727272728
1992,92,100,1.761190476190471,10.23,0.7932,29477,5.5760000000000005,0.359872415,90.41739130434786,8.2,100,76.43414634,0.6127272727272697
1993,93,100,1.744404761904761,9.949,0.8023,30149,5.584,2.507013675,90.54782608695655,7.7,100,76.38536585,0.5927272727272737
1994,93,100,1.7276190476190436,9.836,0.8114,31244,5.5920000000000005,3.885074775,90.67826086956524,7.4,100,76.88536585,0.5727272727272705
1995,94,100,1.6,9.655,0.8205,31926,5.6,2.5063728519999997,90.80869565217398,7.2,100,76.83658537,0.5527272727272745
1996,94,100,1.5,10.002,0.8296,32652,5.606,2.548734414,90.93913043478267,7.0,100,77.08780488,0.5327272727272714
1997,92,100,1.5,9.537,0.8387,33966,5.612,3.127178462,91.06956521739136,6.9,100,77.21097561,0.5127272727272754
1998,91,100,1.6,9.574,0.8478,34999,5.617999999999999,3.1907793719999997,91.20000000000005,6.8,100,77.1902439,0.49272727272727224
1999,92,100,1.6,9.416,0.8569,36004,5.624,3.2833482039999997,90.6,6.7,100,77.3902439,0.4727272727272762
2000,91,100,1.7,9.509,0.866,37114,5.63,3.744962443,90.88,6.5,100,77.74146341,0.4527272727272731
2001,91,100,1.8,9.636000000000001,0.8696,38022,5.667999999999999,2.7261073380000003,91.16,6.4,100,77.99268293,0.43272727272726996
2002,91,100,2.1,9.332,0.8732,38808,5.706,2.3972482840000002,91.44,6.3,100,78.14390244,0.41272727272727394
2003,91,100,1.8,9.486,0.8768,39917,5.744,3.4662388980000003,91.72,6.2,100,78.44634146,0.3927272727272708
2004,92,100,1.7,9.464,0.8804,40623,5.782,2.52787714,92.0,6.1,100,78.74634146,0.4
2005,91,100,1.5,9.349,0.884,41615,5.82,2.9720957980000002,92.28,6.0,100,79.04878049,0.5
2006,92,100,1.5,9.241,0.8876,42363,5.837999999999999,2.50300856,92.56,5.9,100,79.24878049,0.2
2007,92,100,1.5,9.013,0.8912,43105,5.856,2.555819112,92.84,5.8,100,79.44878049,0.3
2008,92,100,1.3,8.696,0.8948,42619,5.874,1.9271426115262855,93.12,5.6,100,79.6,0.3
2009,93,100,1.2,7.794,0.8984,40501,5.892,1.902243677998328,93.4,5.4,100,80.05121951,0.2
2010,94,100,1.4590476190476167,8.016,0.902,40873,5.91,1.9151618330000002,93.4,5.2,100,80.40243902,0.1
2011,95,100,1.4422619047618994,7.2829999999999995,0.898,41222,5.916,1.5090617819999999,93.4,5.0,100,80.95121951,0.4
