year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,66.95045045045049,96.0,-0.9115925671812874,0.530816176470589,6.255262025561052,104.5,76.89661844543082,65.91673167553103
1961,67.64221364221362,96.0,-0.7728455498380526,0.5352529411764717,6.201955584325191,103.1,77.31719178265382,66.06025641135892
1962,68.33397683397698,96.0,-0.6340985324948178,0.5396897058823527,8.408581272000001,101.7,77.73776511987694,66.20378114718687
1963,69.0257400257401,96.0,0.225,0.5441264705882354,10.13560296,99.9,78.15833845710006,66.34730588301483
1964,69.71750321750324,96.0,0.21899999999999997,0.5485632352941181,5.919246456000001,97.9,78.57891179432306,66.49083061884278
1965,70.40926640926637,96.0,0.214,0.5530000000000008,5.988729819381788,95.4,78.99948513154618,66.63435535467067
1966,71.10102960102972,96.0,0.209,0.5574367647058818,13.89650757,92.4,79.4200584687693,66.77788009049863
1967,71.79279279279285,96.0,0.204,0.5618735294117645,0.5047394629999999,88.9,79.8406318059923,66.92140482632658
1968,72.48455598455598,96.0,0.2,0.5663102941176472,7.5532356389999995,84.8,80.26120514321542,67.06492956215448
1969,73.17631917631911,96.0,0.196,0.5707470588235299,8.2126,80.3,80.68177848043854,67.20845429798243
1970,73.86808236808247,96.0,0.573,0.5751838235294127,8.871869865,75.4,81.10235181766154,67.35197903381038
1971,74.5598455598456,96.0,0.5589999999999999,0.5796205882352936,15.85177574,70.4,81.52292515488466,67.49550376963828
1972,75.25160875160873,96.0,0.726,0.5840573529411763,6.308307966,65.4,81.94349849210766,67.63902850546623
1973,75.94337194337209,96.0,0.883,0.5884941176470591,9.054186312,60.5,82.36407182933078,67.78255324129418
1974,76.63513513513522,96.0,0.861,0.5929308823529418,1.302849676,55.6,82.7846451665539,67.92607797712208
1975,77.32689832689834,96.0,1.0070000000000001,0.5973676470588245,3.177405072,50.8,83.2052185037769,68.06960271295003
1976,78.01866151866147,96.0,1.31,0.6018044117647054,16.27764772,46.1,83.62579184100002,68.21312744877798
1977,78.71042471042483,96.0,1.28,0.6062411764705882,5.349052524551581,41.6,84.04636517822314,68.35665218460593
1978,79.40218790218796,96.0,1.252,0.6106779411764709,21.15169252,37.5,84.46693851544615,68.50017692043383
