year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,25.85538461538499,62.85128205128217,5.887500000000001,1.639,0.40876470588235314,6399.673639774857,3.021033089633697,39.54514025974049,89.52586736934563,98.25239389316924,63.651,25.172105263157903
1961,27.152307692308113,63.52717948717941,5.8925,1.661,0.41539926470588284,6390.697091932456,2.9938609165025625,40.13555064935076,88.1042072902942,98.28642320524617,64.058,24.961729323308305
1962,28.449230769231235,64.20307692307688,5.897500000000001,1.714,0.42203382352941254,6381.720544090054,2.966688743371435,40.72596103896126,86.68254721124276,98.32045251732309,64.469,24.75135338345865
1963,29.746153846154357,64.87897435897435,5.9025,1.805,0.42866838235294225,6372.743996247653,2.9395165702403006,41.31637142857153,85.26088713219133,98.35448182940002,64.881,24.54097744360905
1964,31.043076923077024,65.55487179487181,5.907500000000001,1.885,0.43530294117647195,6363.767448405251,2.912344397109173,41.906781818182026,83.83922705314035,98.38851114147694,65.291,24.330601503759397
1965,32.340000000000146,66.23076923076928,5.9125,1.9669999999999999,0.44193749999999987,6354.79090056285,2.8851722239780386,42.497192207792295,82.41756697408891,98.42254045355385,65.694,24.1202255639098
1966,33.63692307692327,66.90666666666675,5.9175,2.042,0.4485720588235296,6345.814352720448,7.535631294,43.08760259740279,80.99590689503748,98.45656976563077,66.084,23.909849624060143
1967,34.93384615384639,67.58256410256422,5.922500000000001,2.099,0.4552066176470593,6336.837804878047,6.249999544,43.67801298701306,79.57424681598604,98.4905990777077,66.455,23.699473684210545
1968,36.23076923076951,68.25846153846146,5.9275,2.125,0.461841176470589,6327.861257035645,4.456334814,44.26842337662356,78.15258673693461,98.52462838978462,66.805,23.489097744360947
1969,37.52769230769263,68.93435897435893,5.932500000000001,2.1830000000000003,0.4684757352941187,6318.884709193244,4.778149725,44.85883376623383,76.73092665788317,98.55865770186155,67.13600000000001,23.278721804511292
