year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,33.20720720720692,91.2905982905983,-35.19999999999982,0.903,0.5446940170940175,6422,3.62,3.0672734986850543,82.9,48.661830620030514,-10.67272727272723,64.77,18.320582352941187
1961,34.52607871028886,91.34529914529915,-33.29117647058774,1.29,0.548157777777778,6539,3.696,3.0185867982372656,79.4,49.558612669353806,-10.296969696969654,65.133,17.940762254901983
1962,35.84495021337125,91.4,-31.382352941176123,1.265,0.5516215384615393,6588,3.772,2.969900097789491,76.1,50.45539471867687,-9.92121212121208,65.465,17.56094215686278
1963,37.163821716453185,91.45470085470086,-29.473529411764503,1.409,0.5550852991452997,6672,3.8480000000000003,2.9212133973417167,73.2,51.352176767999936,-9.545454545454504,65.78399999999999,17.181122058823576
1964,38.48269321953512,91.50940170940171,-27.564705882352428,2.346,0.5585490598290601,7028,3.924,2.872526696893928,70.5,52.248958817323,-9.169696969696929,66.1,16.80130196078437
1965,39.80156472261706,91.56410256410257,-25.655882352940807,1.702,0.5620128205128205,7429,4.0,2.8238399964461536,68.0,53.145740866646065,-8.793939393939354,66.42,16.421481862745168
1966,41.120436225698995,91.61880341880342,-23.747058823529187,1.9769999999999999,0.5654765811965818,7572,4.0680000000000005,2.775153295998379,65.7,54.04252291596913,-8.418181818181779,66.74,16.041661764705964
1967,42.43930772878139,91.67350427350428,-21.838235294117567,2.146,0.5689403418803423,7691,4.136,1.808638519,63.5,54.939304965292195,-8.042424242424204,67.051,15.661841666666646
1968,43.75817923186332,91.72820512820513,-19.929411764705492,2.125,0.5724041025641027,7947,4.204,5.744132216000001,61.3,55.83608701461526,-7.666666666666629,67.34899999999999,15.282021568627442
1969,45.07705073494526,91.78290598290599,-18.02058823529387,2.309,0.575867863247864,8423,4.272,5.574673871,59.2,56.732869063938324,-7.290909090909054,67.63600000000001,14.902201470588238
1970,46.3959222380272,91.83760683760684,-16.11176470588225,2.661,0.5793316239316244,9314,4.34,12.06440904,57.1,57.62965111326139,-6.915151515151479,67.917,14.522381372549034
1971,47.71479374110913,91.8923076923077,-14.202941176470176,3.02,0.5827953846153848,9204,4.388,2.458073452,55.0,58.52643316258445,-6.539393939393904,68.2,14.14256127450983
1972,49.033665244191525,91.94700854700855,-12.294117647058556,3.2460000000000004,0.5862591452991461,9335,4.436,18.00855529,52.9,59.42321521190752,-6.1636363636363285,68.491,13.762741176470627
1973,50.35253674727346,92.0017094017094,-10.385294117646936,4.215,0.5897229059829066,9996,4.484,2.4343463928639295,51.0,60.31999726123058,-5.787878787878753,68.791,13.382921078431423
1974,51.6714082503554,92.05641025641026,-8.47647058823486,3.804,0.593186666666667,9459,4.532,2.385659692416141,49.2,61.21677931055365,-5.412121212121178,69.09899999999999,13.003100980392219
1975,52.990279753437335,92.11111111111111,-6.5676470588232405,4.034,0.5966504273504274,9305,4.58,2.3369729919683664,47.5,62.11356135987671,-5.036363636363603,69.41,12.623280882353015
1976,54.30915125651927,92.16581196581197,-4.65882352941162,3.542,0.6001141880341887,8624,4.632,2.288286291520592,46.0,63.01034340919978,-4.660606060606028,69.718,12.243460784313697
1977,55.62802275960166,92.22051282051282,-2.7499999999995453,3.576,0.6035779487179491,8351,4.684,2.2395995910728033,44.5,63.90712545852284,-4.284848484848453,70.015,11.863640686274493
1978,56.9468942626836,92.27521367521368,-0.841176470587925,4.3260000000000005,0.6070417094017095,8323,4.736000000000001,2.190912890625029,43.2,64.8039075078459,-3.909090909090878,70.294,11.48382058823529
1979,58.265765765765536,92.32991452991453,1.0676470588236953,4.0,0.6105054700854708,8073,4.788,2.1422261901772544,41.9,65.70068955716897,-3.533333333333303,70.553,11.104000490196086
1980,24,92.38461538461539,2.9764705882357703,3.907,0.6139692307692313,7554,4.84,2.0935394897294657,40.6,66.59747160649226,-3.157575757575728,70.793,10.724180392156882
1981,39,92.43931623931624,4.8852941176473905,3.372,0.6174329914529917,7653,4.86,2.639447994,39.5,67.49425365581533,-2.781818181818153,71.012,10.344360294117678
1982,34,92.4940170940171,6.794117647059011,2.778,0.6208967521367521,7620,4.88,2.069231624,38.3,68.39103570513839,-2.406060606060578,71.217,9.964540196078474
1983,51,92.54871794871795,8.702941176470631,2.832,0.6243605128205134,7769,4.9,1.9090784019999998,37.2,69.28781775446146,-2.0303030303030027,71.416,9.58472009803927
1984,58,92.6034188034188,10.611764705882706,2.226,0.6278242735042738,7682,4.92,1.8987926879383537,36.2,70.18459980378452,-1.6545454545454277,71.61399999999999,9.204900000000066
1985,60,92.65811965811966,12.520588235294326,2.155,0.6312880341880343,7309,4.94,1.8501059874905792,35.2,71.08138185310759,-1.2787878787878526,71.82300000000001,8.825079901960862
1986,74,92.71282051282051,14.429411764705947,1.9269999999999998,0.6347517948717956,7416,4.97,1.882588185,34.1,71.97816390243065,-0.9030303030302775,72.056,8.445259803921545
1987,81,92.76752136752137,16.33823529411802,2.261,0.638215555555556,7976,5.0,7.850354827,33.2,72.87494595175372,-0.5272727272727025,72.317,8.06543970588234
1988,82,92.82222222222222,18.247058823529642,1.893,0.6416793162393164,8193,5.03,3.974302015,32.2,73.77172800107678,-0.1515151515151274,72.601,7.2
1989,85,92.87692307692308,20.155882352941262,2.7910000000000004,0.6451430769230777,8725,5.06,7.173304346,31.3,74.66851005039985,0.22424242424244767,72.903,5.9
1990,86,93,22.064705882353337,3.1060000000000003,0.6509999999999999,9163,5.09,4.200535115,30.3,70.334586,0.6000000000000227,73.204,4.6
1991,85,93,23.973529411764957,3.1710000000000003,0.6539,9197,5.122000000000001,4.838238753,29.4,76.28334045,0.9757575757575978,73.485,6.3333
1992,84,93,25.882352941176578,3.127,0.6568,9373,5.154,1.955542502,28.5,77.25132751,1.3515151515151729,73.727,8.0667
1993,91,93,27.791176470588653,3.214,0.6597,9465,5.186,9.417102567,27.6,78.21660614,1.727272727272748,73.918,9.8
1994,93,93,29.700000000000273,3.259,0.6626,9525,5.218,1.383389803,26.7,79.1764679,2.103030303030323,74.053,7.6667
1995,90,93,31.7,3.614,0.6655,9636,5.25,2.349957041,25.8,80.1282196,2.478787878787898,74.133,5.5333
1996,92,93,37.2,3.782,0.6684,9535,5.28,1.3145522825650033,25.0,85.70604499999999,2.854545454545473,74.167,3.4
1997,90,93,41.4,3.912,0.6713,9267,5.31,1.2658655821172289,24.2,81.99654388,3.230303030303048,74.172,3.1333
1998,86,93,37.6,3.718,0.6742,9051,5.34,1.2171788816694402,23.4,82.90769958,3.6060606060606233,74.164,2.8667
1999,89,93,33.2,3.784,0.6771,9039,5.37,1.047673871,22.7,84.554112,3.9818181818181984,74.152,2.6
2000,93,94,34.4,3.877,0.68,9016,5.4,0.878703548,22.0,84.67930603,4.357575757575773,74.142,2.6333
2001,99,94,43.7,3.963,0.6842,9045,5.42,1.344929564,21.4,87.708112,4.7333333333333485,74.139,2.6667
2002,99,94,39.8,3.795,0.6884,9023,5.44,1.997290944,20.9,86.681291,1.1,74.14,2.7
2003,96,94,36.8,3.93,0.6926,9270,5.46,3.666317593,20.5,87.26287842,4.0,74.142,2.2
2004,98,94,55.2,3.907,0.6968,9310,5.48,1.3237251,20.1,88.11997986,6.9,74.146,1.7
2005,99,94,62.4,3.822,0.701,9312,5.5,0.8937979359999999,19.8,88.98152924,9.8,74.148,1.2286779411764428
2006,95,94,49.7,4.163,0.7052,9502,5.506,2.89912535,19.6,89.8514328,9.2,74.143,0.8488578431372389
2007,92,94,58.4,3.4730000000000003,0.7094,9561,5.5120000000000005,1.431954037,19.3,90.73264313,8.6,74.12899999999999,0.469037745098035
2008,91,94,59.5,3.656,0.7136,9408,5.518,0.730311877191653,19.0,92.0,8.0,74.10300000000001,0.08921764705883106
2009,90,94,61.6,2.7569999999999997,0.7178,9019,5.524,0.6816251767438786,18.6,92.52481079,7.4,74.071,-0.29060245098037285
2010,94,94,52.2,2.588,0.722,8822,5.53,0.6329384762960899,18.1,93.43226624,6.8,74.038,-0.6704225490195768
2011,92,94,62.15000000000009,2.7739999999999996,0.725,8882,5.798690196078425,1.72904781,17.6,91.1,6.2,74.012,-1.0502426470587807
2012,96,94,64.05882352941217,2.6260000000000003,0.727,8774,5.835329110105576,0.535565075400541,17.2,95.26118469,8.866666666666674,74.001,-1.4300627450979846
2013,93,94,65.96764705882379,2.8369999999999997,0.727,8730,5.871968024132727,0.503639921,16.7,96.17914581,9.24242424242425,74.01,-1.8098828431371885
2014,92,94,67.8764705882354,2.593,0.7290000000000001,8719,5.908606938159878,0.6946210840000001,16.2,97.09738922,9.618181818181824,74.042,-2.1897029411763924
2015,91,94,69.78529411764748,2.685,0.73,8733,5.945245852187014,0.996498915,15.6,97.98484333279976,9.9939393939394,74.098,-2.56952303921571
2016,99,94.35384615384616,71.6941176470591,2.717,0.7386646153846161,8804,5.981884766214165,1.3750455819999998,15.2,98.88162538212282,10.369696969696975,74.175,-2.949343137254914
2017,108.38288288288277,94.40854700854702,73.60294117647072,3.6173170426065155,0.7421283760683766,8802,6.018523680241316,0.2921315731616403,14.7,99.77840743144588,10.74545454545455,74.267,-3.329163235294118
2018,109.7017543859647,94.46324786324787,75.5117647058828,3.63867159277504,0.745592136752137,8864,6.055162594268467,0.24344487271386583,14.3,100.67518948076895,11.121212121212125,74.368,-3.7089833333333218
2019,111.02062588904664,94.51794871794873,77.42058823529442,3.6600261429435648,0.7490558974358974,8958,6.091801508295617,0.19475817226607717,13.9,101.57197153009224,11.4969696969697,76.45509877264755,-4.088803431372526
2020,112.33949739212858,94.57264957264958,79.32941176470604,3.6813806931120894,0.7525196581196587,9453.527683615815,6.128440422322768,0.1460714718183027,4.200338983051097,102.4687535794153,11.872727272727275,76.6193212741087,-4.46862352941173
