year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,67.5756964809384,103.4752136752137,0.5539999999999999,0.35908376068376313,8377,0.72,4.911628200240244,240.5,84.2123897948461,46.141000000000005,15.118311217391351
1961,68.08925953079176,103.12376068376068,0.531,0.36628495726495913,7219,0.75,4.874066970582689,241.0,84.51946074473074,46.599,14.839050173913051
1962,68.60282258064512,102.77230769230778,0.484,0.37348615384615513,5749,0.78,4.836505740925148,242.0,84.82653169461537,47.056000000000004,14.559789130434751
1963,69.1163856304986,102.42085470085476,0.452,0.3806873504273529,7092,0.81,34.31372878,243.2,85.1336026445,47.50899999999999,14.280528086956565
1964,69.62994868035196,102.06940170940175,0.46,0.3878885470085489,7245,0.84,5.839413007,244.2,85.44067359438463,47.958,14.001267043478265
1965,70.14351173020532,101.71794871794873,0.522,0.3950897435897449,7501,0.87,6.20689821,245.3,85.74774454426927,48.394,13.722005999999965
1966,70.65707478005868,101.36649572649571,0.649,0.4022909401709409,6921,0.946,4.686260822294926,246.4,86.0548154941539,48.81100000000001,13.442744956521778
1967,71.17063782991204,101.01504273504281,0.631,0.4094921367521387,7318,1.022,9.452962563,246.6,86.36188644403842,49.21,13.163483913043478
1968,71.6842008797654,100.6635897435898,0.6579999999999999,0.4166933333333347,7933,1.0979999999999999,10.79623857,246.1,86.66895739392305,49.597,12.884222869565178
1969,72.19776392961876,100.31213675213678,0.797,0.4238945299145307,8447,1.1740000000000002,8.433280282,244.1,86.97602834380768,49.982,12.604961826086992
1970,72.71132697947212,99.96068376068376,1.035,0.43109572649572847,9023,1.25,8.862657109,240.2,87.28309929369232,50.372,12.325700782608692
1971,73.22489002932548,99.60923076923075,1.247,0.43829692307692447,8022,1.318,4.498454674007164,235.2,87.59017024357695,50.773,12.046439739130392
1972,73.73845307917895,99.25777777777785,1.8419999999999999,0.4454981196581205,9427,1.386,27.42396948,228.9,87.89724119346158,51.201,11.767178695652206
1973,74.25201612903231,98.90632478632483,2.4219999999999997,0.45269931623931825,9454,1.454,3.813176297,221.4,88.2043121433461,51.676,11.487917652173905
1974,74.76557917888567,98.55487179487181,1.962,0.45990051282051425,9739,1.5219999999999998,7.494917703,213.1,88.51138309323073,52.218,11.208656608695605
1975,75.27914222873903,98.2034188034188,1.916,0.46710170940171025,10118,1.59,5.045341613,203.8,88.81845404311537,52.86600000000001,10.929395565217419
1976,75.7927052785924,97.8519658119659,2.2769999999999997,0.47430290598290803,10464,1.6740000000000002,8.386756484,194.1,89.125524993,53.661,10.650134521739119
1977,76.30626832844575,97.50051282051288,2.366,0.48150410256410403,11067,1.758,5.258585987,184.1,89.43259594288463,54.608999999999995,10.370873478260819
1978,76.81983137829911,97.14905982905987,3.431,0.48870529914530003,12110,1.8419999999999999,9.214835701,173.6,89.73966689276926,55.7,10.091612434782633
1979,77.33339442815247,96.79760683760685,2.43,0.4959064957264978,12806,1.926,7.47782655,162.4,90.0467378426539,56.909,9.812351391304333
1980,77.84695747800583,96.44615384615383,3.437,0.5031076923076938,12644,2.01,0.7906069729999999,149.6,90.35380879253842,58.198,9.533090347826146
1981,78.36052052785931,96.09470085470093,2.327,0.5103088888888898,12561,2.178,2.999996087,134.9,90.66087974242305,59.519,9.253829304347846
