year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,90.40540540540542,97.62732919254658,65.25,1.235,0.445789743589744,2891,2.13,-1.8138540902041882,-42.0000130434787,103.21108230019172,100.0,161.36510681818163,62.283,4.337596078431403
1961,90.56258890469417,97.58667419536985,63.93661764705894,1.3519999999999999,0.4515625641025647,2915,2.162,-1.691636478462243,-40.06667944664059,101.41759716932711,100.0,158.25650454545485,63.301,4.26855980392159
1962,90.71977240398292,97.54601919819311,62.623235294117876,1.416,0.45733538461538537,3011,2.194,-1.569418866720298,-38.133345849802936,99.6241120384625,100.0,155.14790227272715,64.19,4.199523529411778
1963,90.87695590327172,97.50536420101638,61.30985294117636,1.162,0.4631082051282043,3114,2.226,-1.4472012549783244,-36.200012252964825,97.83062690759789,100.0,152.03930000000037,64.914,4.130487254901993
1964,91.03413940256047,97.46470920383963,59.9964705882353,1.0959999999999999,0.46888102564102496,3221,2.258,-1.3249836432363793,-34.266678656126714,96.03714177673328,100.0,148.93069772727267,65.46300000000001,4.0614509803921806
1965,91.19132290184922,97.4240542066629,58.683088235294235,1.1440000000000001,0.47465384615384565,3338,2.29,-1.2027660314944058,-32.33334505928906,94.24365664586867,100.0,145.8220954545459,65.85,3.992414705882368
1966,91.34850640113797,97.38339920948617,57.36970588235317,1.3090000000000002,0.48042666666666634,3463,2.428,-1.0805484197524606,-30.400011462450948,92.45017151500406,100.0,142.7134931818182,66.11,3.9233784313725835
1967,91.50568990042677,97.34274421230943,56.05632352941166,1.341,0.486199487179487,3594,2.5660000000000003,-0.9583308080105155,-28.466677865612837,90.65668638413945,100.0,139.6048909090914,66.304,3.8543421568627707
1968,91.66287339971552,97.3020892151327,54.742941176470595,1.4980000000000002,0.4919723076923077,3723,2.7039999999999997,-0.836113196268542,-26.53334426877518,88.86320125327484,100.0,136.49628863636372,66.487,3.785305882352958
1969,91.82005689900427,97.26143421795595,53.42955882352953,1.5430000000000001,0.4977451282051284,3850,2.842,-0.7138955845265968,-24.60001067193707,87.06971612241023,100.0,133.38768636363602,66.689,3.7162696078431736
1970,91.97724039829302,97.22077922077922,52.11617647058847,1.739,0.5035179487179491,3992,2.98,-0.5916779727846517,-22.66667707509896,85.27623099154562,100.0,130.27908409090924,66.935,3.647233333333361
1971,92.13442389758183,97.18012422360248,50.802794117646954,1.975,0.5092907692307698,4151,3.138,-0.4694603610426782,-20.733343478261304,83.482745860681,100.0,127.17048181818154,67.237,3.578197058823548
1972,92.29160739687057,97.13946922642575,49.48941176470589,2.502,0.5150635897435905,4314,3.2960000000000003,-0.34724274930073307,-18.800009881423193,81.6892607298164,100.0,124.06187954545476,67.582,3.5091607843137353
1973,92.44879089615932,97.09881422924902,48.17602941176483,2.294,0.5208364102564094,4529,3.4539999999999997,-0.22502513755875952,-16.866676284585537,79.89577559895179,100.0,120.95327727272706,67.953,3.440124509803951
1974,92.60597439544807,97.05815923207227,46.86264705882377,1.84,0.52660923076923,4546,3.612,-0.1028075258168144,-14.933342687747427,78.10229046808718,100.0,117.84467500000028,68.343,3.3710882352941383
1975,92.76315789473688,97.01750423489554,45.54926470588225,1.9040000000000001,0.5323820512820507,4562,3.77,0.019410085925130716,-13.000009090909316,76.30880533722257,100.0,114.73607272727259,68.736,3.3020519607843255
1976,92.92034139402563,96.9768492377188,44.23588235294119,2.009,0.5381548717948714,4580,3.946,0.14162769766710426,-11.06667549407166,74.51532020635796,100.0,111.6274704545458,69.11,3.233015686274541
1977,93.07752489331438,96.93619424054206,42.92250000000013,2.272,0.5439276923076921,4600,4.122,0.2638453094090494,-9.13334189723355,72.72183507549335,100.0,108.5188681818181,69.44800000000001,3.1639794117647284
1978,93.23470839260312,96.89553924336533,41.609117647059065,2.523,0.5497005128205128,4621,4.298,0.3860629211510229,-7.200008300395439,96.2,100.0,105.41026590909132,69.742,3.0949431372549157
1979,93.39189189189193,96.85488424618859,40.29573529411755,2.886,0.5554733333333335,4644,4.474,0.508280532892968,-5.266674703557783,88.6,100.0,102.30166363636363,69.991,3.0259068627451313
1980,94,96.81422924901186,38.98235294117649,1.9280000000000002,0.5612461538461542,4676,4.65,0.6304981446349132,-3.333341106719672,81.6,100.0,99.19306136363684,70.208,2.9568705882353186
1981,94,96.77357425183511,37.668970588235425,2.6830000000000003,0.5670189743589749,4702,4.794,5.745635292,-1.4000075098815614,75.2,100.0,96.08445909090915,70.416,2.887834313725506
1982,95,96.73291925465838,36.35558823529436,2.6180000000000003,0.5727917948717955,4727,4.938,2.948596802,0.5333260869560945,69.2,100.0,92.97585681818146,70.635,2.8187980392157215
