year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,40.99609609609638,-13.87863247863288,0.086,0.5237709401709401,1.57,9.517648504094097,209.3,-91.97617441744569,2.8000000000000114,43.571999999999996,155.54758970588136
1961,42.04525954525957,-12.220854700854943,0.071,0.5238116239316237,1.6340000000000001,9.389547688831044,205.9,-89.11871823565889,3.009999999999991,43.951,153.09305441176366
1962,43.09442299442321,-10.56307692307746,0.055999999999999994,0.5238523076923075,1.6980000000000002,9.261446873568019,202.2,-86.26126205387209,3.2200000000000273,44.325,150.63851911764687
1963,44.1435864435864,-8.905299145299523,0.040999999999999995,0.5238929914529913,1.7619999999999998,9.133346058304994,198.8,-83.40380587208438,3.430000000000007,44.699,148.18398382352916
1964,45.192749892750044,-7.2475213675215855,0.026000000000000002,0.5239336752136751,1.8259999999999998,9.00524524304197,194.9,-80.54634969029757,3.6399999999999864,45.083,145.72944852941146
1965,46.24191334191323,-5.589743589744103,0.204,0.5239743589743588,1.89,8.877144427778944,190.9,-77.68889350851077,3.8500000000000227,45.489,143.27491323529375
1966,47.291076791076875,-3.9319658119661653,0.499,0.5240150427350426,2.0180000000000002,8.74904361251592,186.6,-74.83143732672397,4.060000000000002,45.928999999999995,140.82037794117605
1967,48.34024024024052,-2.274188034188228,0.5589999999999999,0.5240557264957264,2.146,8.620942797252894,182.4,-71.97398114493717,4.270000000000039,46.409,138.36584264705834
1968,49.38940368940371,-0.6164102564107452,0.6629999999999999,0.5240964102564101,2.274,8.49284198198987,178.3,-69.11652496315037,4.480000000000018,46.935,135.91130735294064
1969,50.43856713856735,1.0413675213671922,0.6920000000000001,0.5241370940170939,2.4019999999999997,8.364741166726844,173.9,-66.25906878136266,4.689999999999998,47.508,133.45677205882293
1970,51.48773058773054,2.699145299144675,0.83,0.5241777777777776,2.53,8.236640351463791,169.4,-63.401612599575856,4.900000000000034,48.128,131.00223676470523
1971,52.53689403689418,4.356923076922612,0.872,0.5242184615384614,2.6639999999999997,13.74363391,164.4,-60.544156417789054,5.110000000000014,48.788000000000004,128.54770147058753
1972,53.58605748605737,6.01470085470055,0.805,0.5242591452991452,2.798,5.424294989,159.2,-57.68670023600225,5.319999999999993,49.479,126.09316617646982
1973,54.635220935221014,7.6724786324780325,0.76,0.524299829059829,2.932,9.018671948,153.5,-54.82924405421545,5.53000000000003,50.191,123.63863088235212
1974,55.68438438438466,9.33025641025597,0.618,0.5243405128205127,3.0660000000000003,5.743487091,147.6,-51.97178787242865,5.740000000000009,50.919,121.18409558823441
1975,56.733547833547846,10.988034188033907,0.6579999999999999,0.5243811965811964,3.2,13.90844535,141.6,-49.11433169064094,5.949999999999989,51.661,118.72956029411671
1976,57.78271128271149,12.64581196581139,0.619,0.5244218803418802,3.278,7.468035459885641,135.6,-46.25687550885414,6.160000000000025,52.42100000000001,116.275024999999
1977,58.83187473187468,14.303589743589328,0.618,0.524462564102564,3.3560000000000003,1.009592022,129.6,-43.399419327067335,6.3700000000000045,53.198,113.8204897058813
1978,59.88103818103832,15.961367521367265,0.775,0.5245032478632478,3.4339999999999997,1.3271288479999999,124.1,-40.54196314528053,6.580000000000041,53.99100000000001,111.3659544117645
1979,60.93020163020151,17.619145299144748,0.769,0.5245439316239315,3.512,3.106945757,118.6,-37.68450696349373,6.7900000000000205,54.795,108.9114191176468
1980,61.97936507936515,19.276923076922685,0.779,0.5245846153846153,3.59,12.44905187,113.2,-34.82705078170602,7.0,55.613,106.4568838235291
1981,30.0,20.934700854700623,0.708,0.5246252991452991,3.668,14.6414405,107.7,-31.96959459991922,7.210000000000036,56.453,104.00234852941139
1982,39.0,22.592478632478105,0.688,0.5246659829059828,3.7460000000000004,1.172568485,102.1,-29.112138418132417,7.420000000000016,57.306999999999995,101.54781323529369
1983,43.0,24.250256410256043,0.41,0.5247066666666665,3.824,1.202354243,96.4,-26.254682236345616,7.6299999999999955,58.158,99.09327794117598
1984,50.0,25.90803418803398,0.485,0.5247473504273503,3.9019999999999997,6.161755479,91.0,-23.397226054558814,7.840000000000032,58.978,96.63874264705828
1985,61.0,27.565811965811463,0.624,0.5247880341880341,3.98,3.792415508,85.7,-20.539769872772013,8.050000000000011,59.748999999999995,94.18420735294058
