year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1960,60.5765765765766,58.18974358974356,0.054000000000000006,0.17653675213675157,0.29,5.371350404795095,360.3,-20.763656904322943,56.211372499999925,32.054
1961,61.28046467520153,58.79794871794866,0.053,0.18171914529914446,0.29600000000000004,5.324756434521532,353.5,-19.504626264715625,55.718032499999936,32.336
1962,61.98435277382646,59.40615384615376,0.078,0.18690153846153912,0.302,5.278162464247956,347.3,-18.245595625107853,55.22469249999995,32.67
1963,62.68824087245139,60.014358974358856,0.077,0.192083931623932,0.308,5.231568493974379,341.1,-16.98656498550008,54.73135249999996,33.07
1964,63.39212897107632,60.62256410256418,0.076,0.1972663247863249,0.314,5.1849745237008165,334.9,-15.727534345892309,54.23801249999997,33.543
1965,64.09601706970125,61.23076923076928,0.075,0.20244871794871777,0.32,5.13838055342724,328.3,-14.468503706284537,53.74467249999998,34.097
1966,64.79990516832618,61.83897435897438,0.073,0.20763111111111066,0.326,5.091786583153663,322.2,-13.20947306667722,53.25133249999999,34.735
1967,65.5037932669511,62.44717948717948,0.07200000000000001,0.21281350427350354,0.332,5.045192612880101,315.9,-11.950442427069447,52.75799249999989,35.445
1968,66.20768136557604,63.05538461538458,0.094,0.2179958974358982,0.33799999999999997,9.576143464,310.0,-10.691411787461675,52.2646524999999,36.211
1969,66.91156946420097,63.66358974358968,0.115,0.22317829059829108,0.344,2.435522882,303.7,-9.432381147853903,51.77131249999991,37.023
1970,67.6154575628259,64.27179487179478,0.11199999999999999,0.22836068376068397,0.35,6.153846574,297.5,-8.17335050824613,51.27797249999992,37.868
1971,68.31934566145082,64.87999999999988,0.109,0.23354307692307685,0.374,4.858816731785808,291.0,-6.9143198686383585,50.78463249999993,38.734
1972,69.02323376007575,65.48820512820521,0.14800000000000002,0.23872547008546974,0.39799999999999996,0.24170478,284.4,-5.655289229031041,50.29129249999994,39.61
1973,69.72712185870068,66.09641025641031,0.122,0.24390786324786262,0.42200000000000004,9.250329251,277.8,-4.396258589423269,49.79795249999995,40.485
1974,70.43100995732561,66.70461538461541,0.11900000000000001,0.2490902564102555,0.446,5.878793617,271.2,-3.1372279498154967,49.30461249999996,41.352
1975,71.13489805595077,67.31282051282051,0.192,0.25427264957265017,0.47,12.39342908,264.5,-1.8781973102077245,48.81127249999997,42.205
1976,71.8387861545757,67.92102564102561,0.18600000000000003,0.25945504273504305,0.5,7.351225734,257.9,-0.6191666705999523,48.31793249999998,43.047
1977,72.54267425320063,68.52923076923071,0.19899999999999998,0.26463743589743594,0.53,3.439576058,251.3,0.6398639690078198,47.824592499999994,43.882
1978,73.24656235182556,69.13743589743581,0.247,0.2698198290598288,0.56,6.316446315,245.0,1.8988946086151373,47.33125249999989,44.711999999999996
1979,73.95045045045049,69.74564102564091,0.256,0.2750022222222217,0.59,4.486064969597237,238.7,3.1579252482229094,46.8379124999999,45.533
1980,63,70.35384615384623,0.265,0.2801846153846146,0.62,6.270079608,232.4,4.416955887830682,46.34457249999991,46.341
1981,76,70.96205128205133,0.256,0.28536700854700925,0.6579999999999999,3.32189401,226.1,5.675986527438454,45.851232499999924,47.133
1982,80,71.57025641025643,0.247,0.29054940170940213,0.696,4.346283058776521,219.5,6.935017167046226,45.357892499999934,47.903
1983,62,72.17846153846153,0.23800000000000002,0.295731794871795,0.7340000000000001,10.88322777,212.9,8.194047806653543,44.864552499999945,48.645
1984,70,72.78666666666663,0.242,0.3009141880341879,0.772,3.535257305,206.0,9.453078446261316,44.371212499999956,49.348
1985,78,73.39487179487173,0.23199999999999998,0.3060965811965808,0.81,4.206501147955805,199.2,10.712109085869088,43.87787249999997,49.998000000000005
1986,73,74.00307692307683,0.209,0.31127897435897367,0.89,4.091070738,192.4,11.97113972547686,43.38453249999998,50.577
1987,85,74.61128205128193,0.22399999999999998,0.31646136752136655,0.97,2.454332596,185.9,13.230170365084632,42.89119249999999,51.082
1988,82,75.21948717948726,0.214,0.3216437606837612,1.05,4.476826924,179.5,14.489201004692404,42.3978525,51.518
1989,87,75.82769230769236,0.204,0.3268261538461541,1.13,5.895721872,173.3,15.748231644299722,41.904512499999896,51.891999999999996
1990,92,76,0.196,0.33,1.21,3.5588793689999996,167.4,16.77231789,41.41117249999991,52.221000000000004
1991,85,77,0.19,0.3354,1.258,3.107039256,161.6,18.101406100000002,40.91783249999992,52.528
1992,85,77,0.184,0.3408,1.306,3.378688939,155.9,19.43004417,40.42449249999993,52.833999999999996
1993,90,78,0.188,0.3462,1.354,3.012101064,150.2,17.7,39.93115249999994,53.157
1994,93,79,0.183,0.3516,1.402,0.15434624800000002,144.5,22.07649803,39.43781249999995,53.508
1995,96,79,0.188,0.35700000000000004,1.45,0.881848176,138.9,23.38890076,38.94447249999996,53.888999999999996
1996,96,80,0.182,0.3624,1.49,2.223545592,133.2,24.69048119,38.45113249999997,54.29600000000001
1997,96,81,0.177,0.3678,1.53,4.899999092,127.8,25.97853279,37.95779249999998,54.715
1998,85,81,0.18100000000000002,0.3732,1.57,3.499998513,122.5,27.25034904,37.46445249999999,55.133
1999,74,82,0.192,0.3786,1.61,6.399999316000001,117.4,28.50432587,36.971112500000004,55.547
2000,80,83,0.203,0.384,1.65,5.500000174,112.5,34.3,25.31456,55.956
2001,87,83,0.19699999999999998,0.3897,1.7080000000000002,5.800000236,107.8,30.97105217,28.9516,56.358999999999995
2002,87,84,0.221,0.3954,1.766,3.4144036533051008,103.2,32.19159698,32.5887,56.761
2003,87,85,0.214,0.4011,1.824,6.869999803,98.7,33.40879822,36.2258,57.159
2004,87,85,0.207,0.4068,1.882,7.049999934,94.4,34.6265564,39.8629,57.553000000000004
2005,95,86,0.201,0.4125,1.94,3.274621742484385,90.3,35.84876251,43.5,57.93899999999999
2006,95,87,0.20800000000000002,0.4182,2.0140000000000002,1.124099702,86.4,37.079319,40.9667,58.313
2007,95,87,0.22699999999999998,0.4239,2.088,3.6310255330000003,82.7,38.32118225,38.4333,58.67100000000001
2008,96,88,0.233,0.4296,2.162,5.734641946,79.2,39.57354736,35.9,59.012
2009,98,88,0.23199999999999998,0.4353,2.2359999999999998,6.449695857999999,76.0,40.83465958,34.1643,59.333999999999996
2010,97,89,0.254,0.441,2.31,6.524632607000001,72.9,42.10277176,32.4286,59.637
2011,96,90,0.258,0.44,2.1156941176470667,2.995057920842953,70.0,43.37613678,30.6929,59.917
2012,98,90,0.25,0.445,2.1579266968325754,5.862230311,67.3,44.65299606,28.9571,60.178000000000004
2013,97,90,0.231,0.449,2.2001592760180984,4.780907872,64.8,44.5,27.2214,60.426
2014,96,90,0.266,0.45,2.2423918552036213,0.877460638,62.3,47.21051407,25.4857,60.667
2015,97,90,0.258,0.452,2.284624434389144,4.715879134,60.0,48.48302827409998,23.75,60.91
2016,95,92.24923076923073,0.26,0.4667507692307691,2.326857013574667,1.6256291409999999,57.8,49.74205891370775,28.58433249999996,61.166000000000004
2017,100.69819819819827,92.85743589743583,0.26881015037593947,0.47193316239316196,2.36908959276019,2.7154940992015213,55.7,51.00108955331507,28.09099249999997,61.44
2018,101.4020862968232,93.46564102564093,0.2716856365050555,0.47711555555555485,2.4113221719456988,2.668900128927959,53.7,52.26012019292284,27.59765249999998,61.735
2019,102.10597439544813,94.07384615384603,0.27456112263417154,0.48229794871794773,2.4535547511312217,2.622306158654382,51.7,53.51915083253061,27.104312499999992,65.45507364114553
2020,102.80986249407306,94.68205128205136,0.2774366087632867,0.4874803418803424,2.4957873303167446,2.5757121883808196,14.732711864406156,54.778181472138385,26.610972500000003,65.99057609585054
