year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,15.162162162162076,43.13333333333321,220.3977941176472,0.22399999999999998,0.3586000000000009,1.72,2.901913604796775,184.7,41.96592186800012,30.57313930454552,49.95,47.5873219373218
1961,16.81792318634416,44.07589743589733,216.99264705882342,0.204,0.36473384615384674,1.784,2.884834625770438,180.8,42.980756488600036,30.113691434090924,50.621,46.75459910459904
1962,18.473684210526244,45.01846153846145,213.58750000000055,0.222,0.37086769230769256,1.848,2.867755646744108,177.1,43.99559110919995,29.65424356363644,51.256,45.921876271876044
1963,20.129445234708328,45.96102564102557,210.18235294117676,0.371,0.3770015384615384,1.912,2.850676667717771,173.3,45.01042572980009,29.194795693181845,51.847,45.08915343915328
1964,21.785206258890412,46.90358974358969,206.77720588235297,0.396,0.383135384615386,1.976,2.833597688691434,169.9,46.0252603504,28.735347822727363,52.391000000000005,44.25643060643051
1965,23.440967283072496,47.846153846153584,203.3720588235301,0.325,0.3892692307692318,2.04,2.8165187096650968,166.5,47.040094971000144,28.275899952272766,52.893,43.42370777370752
1966,25.09672830725458,48.788717948717704,199.9669117647063,0.395,0.39540307692307763,2.112,7.16113774,163.2,48.05492959160006,27.81645208181817,53.36,42.590984940984754
1967,26.752489331436664,49.73128205128182,196.56176470588252,0.34299999999999997,0.40153692307692346,2.184,5.436848851000001,160.0,49.06976421219997,27.357004211363687,53.803000000000004,41.75826210826199
1968,28.408250355618748,50.67384615384594,193.15661764705874,0.36200000000000004,0.4076707692307693,2.256,3.236692384,156.8,50.08459883280011,26.89755634090909,54.226000000000006,40.92553927553922
1969,30.06401137980083,51.61641025641006,189.75147058823586,0.33299999999999996,0.4138046153846151,2.3280000000000003,3.485418819,153.6,51.099433453400025,26.43810847045461,54.628,40.09281644281623
1970,31.719772403982915,52.55897435897418,186.34632352941208,0.39,0.4199384615384627,2.4,2.9772950910000002,150.3,52.11426807399994,25.978660600000012,54.998000000000005,39.26009361009346
1971,33.375533428165,53.5015384615383,182.9411764705883,0.401,0.4260723076923085,2.4619999999999997,3.858257515,147.0,53.12910269460008,25.51921272954553,55.32,38.4273707773707
1972,35.03129445234708,54.44410256410242,179.5360294117654,0.435,0.43220615384615435,2.524,6.117533686,143.7,54.14393731519999,25.059764859090933,55.586000000000006,37.594647944647704
