year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,52.963963963963806,94.85811965811965,2.512500000000003,1.136,0.6179094017094009,7481,4.9,7.54423404555655,46.1,100.0,68.16390244,-4.562727272727301
1961,53.870317686107,94.9582905982906,2.484264705882353,1.181,0.6225839316239306,8068,4.854,11.149537400000002,45.4,100.0,68.54863415,-4.452727272727287
1962,54.776671408250195,95.05846153846153,2.4560294117647103,1.217,0.627258461538462,8321,4.808,1.5335189059999998,44.2,100.0,68.89226829,-4.342727272727302
1963,55.68302513039362,95.15863247863248,2.4277941176470605,1.4609999999999999,0.6319329914529916,9133,4.762,10.13605526,42.4,100.0,69.18570732,-4.232727272727288
1964,56.58937885253681,95.25880341880341,2.3995588235294107,1.57,0.6366075213675213,9848,4.716,8.258340252,40.7,100.0,69.42943902,-4.122727272727303
1965,57.495732574680005,95.35897435897436,2.371323529411768,2.013,0.641282051282051,10723,4.67,9.39266085,39.5,100.0,69.638,-4.01272727272729
1966,58.4020862968232,95.45914529914529,2.3430882352941182,2.1959999999999997,0.6459565811965806,11294,4.696000000000001,6.098846533,38.7,100.0,69.83746341,-3.9027272727273044
1967,59.308440018966394,95.55931623931625,2.3148529411764756,2.29,0.6506311111111103,11773,4.7219999999999995,5.481437166,37.6,100.0,70.05246341,-3.7927272727272907
1968,60.21479374110959,95.65948717948717,2.2866176470588258,2.603,0.6553056410256399,12523,4.748,6.664109252,35.8,100.0,70.30256098,-3.6827272727273055
1969,61.12114746325278,95.75965811965813,2.258382352941176,2.9560000000000004,0.6599801709401714,13713,4.774,9.899730172,33.6,100.0,70.58929268,-3.572727272727292
1970,62.02750118539598,95.85982905982905,2.2301470588235333,2.7889999999999997,0.664654700854701,14770,4.8,7.951269095,31.2,100.0,70.90363415,-3.4627272727273066
1971,62.93385490753917,95.96000000000001,2.2019117647058835,3.19,0.6693292307692307,15752,4.848,7.841176999,29.1,100.0,71.22656098,-3.352727272727293
1972,63.840208629682365,96.06017094017093,2.1736764705882337,3.5980000000000003,0.6740037606837603,17598,4.896,10.16015113,27.9,100.0,71.535,-3.2427272727273078
1973,64.74656235182556,96.16034188034189,2.145441176470591,4.2139999999999995,0.67867829059829,18205,4.944,8.092378652,27.5,100.0,71.81485366,-3.132727272727294
1974,65.65291607396875,96.26051282051282,2.117205882352941,4.06,0.6833528205128196,17478,4.992,5.219551586476143,27.3,100.0,72.06463415,-3.022727272727309
1975,66.55926979611195,96.36068376068377,2.0889705882352985,4.311,0.6880273504273493,18363,5.04,6.3668087170000005,26.5,100.0,72.29370732,-2.9127272727272953
1976,67.46562351825514,96.4608547008547,2.0607352941176487,4.699,0.6927018803418807,19274,5.092,6.851897986,25.2,100.0,72.51956098,-2.80272727272731
1977,68.37197724039834,96.56102564102565,2.032499999999999,5.074,0.6973764102564104,19632,5.144,2.9410016469999998,23.7,100.0,72.76165854,-2.6927272727272964
1978,69.27833096254153,96.66119658119658,2.004264705882356,5.115,0.70205094017094,20677,5.196000000000001,7.246863393,22.4,100.0,73.03107317,-2.582727272727311
1979,70.18468468468473,96.76136752136753,1.9760294117647064,5.382000000000001,0.7067254700854697,21174,5.247999999999999,3.282080212,21.0,100.0,73.32936585,-2.4727272727272975
1980,72,96.86153846153846,1.9477941176470637,5.334,0.7113999999999994,21335,5.3,0.6771310559999999,19.5,100.0,73.64714634,-2.362727272727284
1981,95,96.96170940170938,1.9195588235294139,5.21,0.716074529914529,21156,5.324,4.057210356935968,18.1,100.0,73.9694878,-2.2527272727272987
1982,83,97.06188034188034,1.891323529411764,5.315,0.7207490598290587,21115,5.348,3.8911616098587842,17.0,100.0,74.279,-2.142727272727285
1983,72,97.16205128205127,1.8630882352941214,5.625,0.7254235897435901,21084,5.372000000000001,3.7251128627816,16.2,100.0,74.56585366,-2.0327272727273
1984,60,97.26222222222222,1.8348529411764716,5.746,0.7300981196581198,21562,5.396,2.010580399,15.5,100.0,74.82912195,-1.9227272727272862
1985,54,97.36239316239315,1.8066176470588289,6.07,0.7347726495726494,22154,5.42,2.5095565580000003,14.7,100.0,75.07851219999999,-1.812727272727301
1986,80,97.4625641025641,1.778382352941179,5.894,0.7394471794871791,22449,5.4479999999999995,0.517660103,13.7,100.0,75.32970732,-1.7027272727272873
1987,82,97.56273504273503,1.7501470588235293,6.2989999999999995,0.7441217094017087,22294,5.476,3.0609178744729206,12.8,100.0,75.59814634,-1.592727272727302
1988,83,97.66290598290598,1.7219117647058866,6.715,0.7487962393162384,23267,5.504,4.28786171,11.9,100.0,75.8912439,-1.4827272727272884
1989,54,97.76307692307691,1.6936764705882368,7.285,0.7534707692307698,24046,5.532,3.799999997,11.1,100.0,76.68780488,-1.3727272727273032
1990,54,98,1.665441176470587,8.136000000000001,0.76,23818,5.56,3.45,10.4,100,76.93902439,-1.2627272727272896
1991,85,98,1.6372058823529443,8.059,0.7641,24264,5.562,3.099999982,9.8,100,77.13658537,-1.1527272727273044
1992,89,98,1.6089705882352945,8.125,0.7682,24247,5.564,0.7000000120000001,9.4,100,77.38292683,-1.0427272727272907
