year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,18.954954954955156,85.42222222222222,174.14999999999964,0.995,0.43543589743589806,4451,2.48,5.250512844275974,70.64601919819302,135.2,81.09817637524623,-8.815639545454587,57.269,28.6730422173913
1961,20.461119013750704,85.53264957264958,171.32558823529416,1.072,0.440779487179487,4527,2.526,5.265372382,70.9925183512139,130.7,81.41436485893087,-8.524074454545485,57.813,28.282426304347837
1962,21.967283072546252,85.64307692307693,168.5011764705887,1.11,0.44612307692307773,4624,2.572,5.466500282,71.33901750423479,126.4,81.7305533426154,-8.232509363636382,58.32899999999999,27.891810391304375
1963,23.4734471313418,85.75350427350426,165.6767647058823,1.178,0.4514666666666667,4630,2.6180000000000003,2.904114678,71.68551665725568,122.4,82.04674182630004,-7.940944272727279,58.825,27.5011944782608
1964,24.979611190137348,85.86393162393162,162.85235294117683,1.167,0.4568102564102574,4768,2.6639999999999997,6.602341595,72.03201581027668,118.5,82.36293030998468,-7.649379181818176,59.308,27.110578565217338
1965,26.48577524893335,85.97435897435898,160.02794117647045,1.195,0.46215384615384636,4793,2.71,3.012487197,72.37851496329756,115.0,82.67911879366932,-7.3578140909090735,59.784,26.719962652173876
1966,27.9919393077289,86.08478632478631,157.20352941176498,1.1909999999999998,0.4674974358974353,4902,2.758,5.322368129,72.72501411631845,111.6,82.99530727735385,-7.066249000000084,60.257,26.329346739130415
1967,29.498103366524447,86.19521367521367,154.3791176470586,1.216,0.47284102564102604,4963,2.806,4.190635447,73.07151326933933,108.2,83.31149576103849,-6.774683909090982,60.729,25.938730826086953
1968,31.004267425319995,86.30564102564102,151.55470588235312,1.271,0.478184615384615,5123,2.8539999999999996,6.427444336000001,73.41801242236022,104.8,83.62768424472313,-6.483118818181879,61.201,25.54811491304349
1969,32.51043148411554,86.41606837606838,148.73029411764674,1.304,0.4835282051282057,5306,2.9019999999999997,6.520935067000001,73.7645115753811,101.3,83.94387272840777,-6.191553727272776,61.675,25.157498999999916
1970,34.016595542911546,86.52649572649571,145.90588235294126,1.286,0.48887179487179466,5516,2.95,6.956515099,74.111010728402,97.7,84.26006121209241,-5.899988636363673,62.152,24.766883086956454
1971,35.522759601707094,86.63692307692307,143.08147058823488,1.34,0.4942153846153854,5694,2.992,5.951223099,74.45750988142288,94.1,84.57624969577694,-5.608423545454571,62.629,24.376267173912993
1972,37.02892366050264,86.74735042735043,140.2570588235294,1.359,0.49955897435897434,5981,3.034,7.673414682000001,74.80400903444377,90.4,84.89243817946158,-5.316858454545468,63.105,23.98565126086953
1973,38.53508771929819,86.85777777777778,137.43264705882393,1.422,0.5049025641025651,6238,3.076,6.72748176,75.15050818746465,86.6,85.20862666314622,-5.025293363636365,63.578,23.59503534782607
1974,40.04125177809374,86.96820512820511,134.60823529411755,1.506,0.510246153846154,6449,3.1180000000000003,5.742522108999999,75.49700734048554,82.6,85.52481514683086,-4.733728272727262,64.047,23.204419434782608
1975,41.54741583688974,87.07863247863247,131.78382352941208,1.449,0.515589743589743,6454,3.16,2.248047059,75.84350649350642,78.4,85.84100363051539,-4.4421631818181595,64.518,22.813803521739146
1976,43.05357989568529,87.18905982905983,128.9594117647057,1.5030000000000001,0.5209333333333337,6619,3.2039999999999997,4.817187269,76.19000564652731,74.1,86.15719211420003,-4.15059809090917,64.994,22.42318760869557
1977,44.55974395448084,87.29948717948719,126.13500000000022,1.518,0.5262769230769226,6762,3.248,4.148013439,76.5365047995482,69.8,86.47338059788467,-3.8590330000000677,65.477,22.03257169565211
1978,46.065908013276385,87.40991452991452,123.31058823529384,1.5719999999999998,0.5316205128205134,7205,3.292,8.46345,76.88300395256908,65.5,86.78956908156931,-3.567467909090965,65.964,21.641955782608647
1979,47.57207207207193,87.52034188034187,120.48617647058836,1.6380000000000001,0.5369641025641023,7446,3.3360000000000003,5.382853373,77.22950310558997,61.4,87.10575756525395,-3.275902818181862,66.45100000000001,21.251339869565186
1980,16,87.63076923076923,117.66176470588198,1.598,0.542307692307693,7589,3.38,4.098199161,77.57600225861086,57.6,87.42194604893848,-2.9843377272727594,66.926,20.860723956521724
1981,20,87.74119658119659,114.8373529411765,1.565,0.547651282051282,7584,3.432,2.263216774,77.92250141163174,54.0,87.73813453262312,-2.6927726363636566,67.38,20.470108043478263
1982,26,87.85162393162392,112.01294117647103,1.581,0.5529948717948727,7491,3.484,0.9484803190000001,78.26900056465263,50.7,88.05432301630776,-2.401207545454554,67.80199999999999,20.0794921304348
1983,42,87.96205128205128,109.18852941176465,1.6640000000000001,0.5583384615384617,7443,3.536,1.584376304,78.61549971767363,47.7,88.3705114999924,-2.109642454545451,68.187,19.688876217391226
1984,61,88.07247863247864,106.36411764705917,1.6130000000000002,0.5636820512820524,7538,3.588,3.3551010160000003,78.96199887069452,45.1,88.68669998367693,-1.8180773636363483,68.529,19.298260304347764
1985,61,88.18290598290596,103.53970588235279,1.5590000000000002,0.5690256410256413,7615,3.64,3.088264652,79.3084980237154,42.7,89.00288846736157,-1.5265122727272455,68.82300000000001,18.907644391304302
1986,48,88.29333333333332,100.71529411764732,1.5490000000000002,0.5743692307692303,7907,3.67,5.83829241,79.65499717673629,40.7,89.31907695104621,-1.2349471818182565,69.065,18.51702847826084
1987,58,88.40376068376068,97.89088235294093,1.561,0.579712820512821,8159,3.7,5.371506806,80.00149632975717,39.0,89.63526543473085,-0.9433820909091537,69.266,18.12641256521738
