year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,37.747747747748235,38.43931623931576,-42.15909090909099,0.434,0.5775897435897432,4.81,6.635500328078564,101.8220609579098,59.67306722192302,59.981,-21.671428571428805
1961,38.95566619250849,39.60273504273482,-40.55636363636404,0.42200000000000004,0.5800256410256406,4.88,4.8922772189999995,100.06536042573771,60.279760785915414,60.531000000000006,-20.716071428571468
1962,40.163584637269196,40.76615384615343,-38.95363636363663,0.7190000000000001,0.5824615384615379,4.95,4.89265218,98.30865989356562,60.88645434990781,61.092,-19.760714285714357
1963,41.37150308202945,41.92957264957249,-37.35090909090923,0.599,0.5848974358974353,5.02,4.956434195,96.55195936139307,61.493147913899975,61.663000000000004,-18.805357142857247
1964,42.579421526790156,43.0929914529911,-35.74818181818182,0.7759999999999999,0.5873333333333326,5.09,4.99987991,94.79525882922098,62.09984147789237,62.24100000000001,-17.850000000000136
1965,43.787339971550864,44.25641025640971,-34.14545454545487,0.754,0.5897692307692299,5.16,4.930540961,93.0385582970489,62.70653504188476,62.823,-16.894642857143026
1966,44.99525841631112,45.41982905982877,-32.54272727272746,0.732,0.5922051282051273,5.206,4.770845113,91.28185776487635,63.31322860587693,63.402,-15.939285714285916
1967,46.203176861071825,46.58324786324738,-30.940000000000055,1.065,0.5946410256410246,5.252000000000001,4.913123162,110.1,63.919922169869324,63.971000000000004,-14.983928571428805
1968,47.41109530583253,47.74666666666644,-29.337272727273103,0.862,0.597076923076922,5.297999999999999,7.367225457000001,105.5,64.52661573386149,64.525,-14.028571428571468
1969,48.619013750592785,48.91008547008505,-27.734545454545696,1.1740000000000002,0.5995128205128202,5.343999999999999,5.106374791,101.0,65.13330929785388,65.058,-13.073214285714357
1970,49.82693219535349,50.07350427350411,-26.13181818181829,0.982,0.6019487179487175,5.39,4.8076933639999995,96.5,65.74000286184628,65.566,-12.117857142857247
1971,51.0348506401142,51.23692307692272,-24.529090909090883,1.122,0.6043846153846149,5.406000000000001,3.9594410819999997,92.3,66.34669642583845,66.047,-11.162500000000136
1972,52.24276908487445,52.40034188034133,-22.92636363636393,1.258,0.6068205128205122,5.422000000000001,10.21830384,88.6,66.95338998983084,66.50399999999999,-10.207142857143026
1973,53.45068752963516,53.56376068376039,-21.323636363636524,1.16,0.6092564102564095,5.438,5.351894111,85.1,67.560083553823,66.939,-9.251785714285916
1974,54.65860597439587,54.727179487179,-19.720909090909117,1.1420000000000001,0.6116923076923069,5.454,13.55998517,81.6,68.1667771178154,67.354,-8.296428571428805
1975,55.86652441915612,55.890598290598064,-18.118181818182165,1.351,0.6141282051282042,5.47,3.592824442,78.4,68.7734706818078,67.751,-7.3410714285714675
1976,57.07444286391683,57.05401709401667,-16.51545454545476,1.3319999999999999,0.6165641025641015,5.412000000000001,5.8044659300094,75.3,69.38016424579996,68.135,-6.385714285714357
1977,58.28236130867754,58.217435897435735,-14.912727272727352,1.46,0.6189999999999989,5.354,6.496594287000001,72.4,69.98685780979235,68.509,-5.430357142857247
1978,59.49027975343779,59.38085470085434,-13.309999999999945,1.5830000000000002,0.6214358974358971,5.296,7.920807179,69.7,70.59355137378475,68.874,-4.475000000000136
1979,60.6981981981985,60.54427350427295,-11.707272727272994,1.486,0.6238717948717944,5.2379999999999995,7.5170215129999995,67.1,71.20024493777692,69.229,-3.519642857143026
1980,47,61.707692307692014,-10.104545454545587,1.318,0.6263076923076918,5.18,15.16651808,64.6,71.80693850176931,69.577,-2.5642857142859157
1981,44,62.87111111111062,-8.50181818181818,1.22,0.6287435897435891,5.167999999999999,1.290639737,62.0,72.41363206576148,69.921,-1.6089285714288053
1982,61,64.03452991452968,-6.899090909091228,1.122,0.6311794871794865,5.156000000000001,5.492828030733463,59.5,73.02032562975387,70.257,-0.6535714285714675
1983,59,65.1979487179483,-5.296363636363822,1.091,0.6336153846153838,5.144,5.440888380854133,56.9,73.62701919374626,70.575,0.3017857142856428
1984,53,66.36136752136736,-3.693636363636415,1.06,0.6360512820512811,5.132000000000001,1.957945127,54.3,74.23371275773843,70.865,1.2571428571427532
1985,58,67.52478632478596,-2.090909090909463,1.1520000000000001,0.6384871794871785,5.12,1.066849255,51.7,74.84040632173082,71.11,2.2124999999998636
1986,82,68.68820512820457,-0.4881818181820563,1.238,0.6409230769230758,5.19,4.57425873,48.9,75.44709988572322,71.294,3.167857142856974
1987,85,69.85162393162364,1.1145454545453504,1.319,0.643358974358974,5.26,11.21577971,46.2,76.05379344971539,71.405,4.123214285714084
1988,61,71.01504273504224,2.717272727272757,1.396,0.6457948717948714,5.33,9.237596457999999,43.5,76.66048701370778,71.437,5.078571428571195
1989,79,72.1784615384613,4.319999999999709,1.635,0.6482307692307687,5.4,13.09084157,40.8,77.26718057769995,71.38600000000001,6.0339285714285325
1990,91,73,5.922727272727116,1.653,0.648,5.47,10.62857607,38.3,77.61639404,71.242,6.989285714285643
1991,82,74,7.525454545454522,1.8840000000000001,0.6509,5.513999999999999,10.49704249,35.9,78.29534149,70.99600000000001,7.944642857142753
1992,74,75,9.128181818181474,1.8530000000000002,0.6538,5.558,12.0357579,33.8,78.97384644,70.66199999999999,8.899999999999864
1993,85,77,10.730909090908881,1.923,0.6567,5.602,6.2765637420000004,31.9,79.64963531,70.268,10.1
1994,88,78,12.333636363636288,1.835,0.6596,5.646,0.157938679,30.3,80.32001495,69.845,9.8
1995,83,79,13.936363636363694,1.8359999999999999,0.6625,5.69,0.643973578,28.8,80.98228455,69.439,11.25
1996,85,80,15.539090909090646,1.4509999999999998,0.6654,5.72,1.428722665,27.6,81.6337204,69.1,12.7
1997,86,81,17.141818181818053,1.76,0.6683,5.75,3.5451788580000003,26.4,82.27163696,68.858,16.4
1998,87,83,18.74454545454546,1.607,0.6712,5.78,3.740956602,25.4,82.89331055,68.734,14.9
1999,87,84,20.34727272727241,1.464,0.6741,5.81,8.780371455,24.4,83.49714661,68.734,13.9
2000,91,85,16.4,1.617,0.677,5.84,13.03876213,23.6,84.08594513,68.847,16.542857142856974
2001,96,86,24.9,1.765,0.6793,5.856,5.015662999,22.8,84.66359711,69.04,17.498214285714084
2002,89,88,33.1,1.64,0.6816,5.872000000000001,5.1185594430000005,22.2,85.23400879,69.27199999999999,18.453571428571195
2003,96,89,24.9,1.598,0.6839,5.888,9.326537858,21.7,85.80107117,69.51100000000001,19.408928571428532
2004,97,90,28.7,1.413,0.6862,5.904,4.650468034,21.3,86.36868286,69.749,20.364285714285643
2005,96,91,28.8,1.483,0.6885,5.92,2.578742031,20.9,86.94075012,69.998,21.319642857142753
2006,98,92,32.1,1.5130000000000001,0.6908,5.934,4.582560297,20.6,87.52116394,70.286,22.274999999999864
2007,96,94,33.1,1.609,0.6931,5.9479999999999995,1.104310804,20.2,88.11289215,70.63600000000001,23.230357142856974
2008,94,95,34.4,1.4369999999999998,0.6954,5.962000000000001,3.228494977,19.9,88.71511841,71.059,24.185714285714084
2009,97,96,31.8,1.879,0.6977,5.976,0.71311775,19.4,89.32609558,71.541,25.141071428571195
2010,96,97,41.4,1.679,0.7,5.99,3.32444222,18.9,89.91722437,72.057,26.096428571428532
2011,95,99,39.57999999999993,1.8230000000000002,0.7020000000000001,5.961050980392159,2.103950804,18.3,90.56729126,72.57,27.051785714285643
2012,98,99,41.182727272727334,1.426,0.706,5.980216591251889,3.824748783,17.7,91.1940155,73.044,28.007142857142753
2013,95,100,42.785454545454286,1.482,0.705,5.999382202111612,1.31407917,16.9,91.82248688,73.452,28.962499999999864
2014,95,100,44.38818181818169,1.393,0.706,6.018547812971342,4.081034021000001,16.1,92.45124817,73.782,29.917857142856974
2015,94,100,45.9909090909091,1.4469999999999998,0.706,6.037713423831072,2.299416201,15.3,93.04121324150015,74.03399999999999,30.873214285714084
2016,95,103.59076923076873,47.59363636363605,1.4169999999999998,0.7139999999999995,6.056879034690802,3.726879934836461,14.5,93.64790680549231,74.219,31.828571428571195
2017,106.59909909909948,104.75418803418779,49.19636363636346,1.8299830827067716,0.7164358974358969,6.076044645550532,3.6749402849571453,13.7,94.2546003694847,74.365,32.78392857142853
2018,107.80701754385973,105.9176068376064,50.799090909090864,1.8465941145968436,0.7188717948717942,6.095210256410255,3.6230006350778154,13.0,94.86129393347687,74.49600000000001,33.73928571428564
2019,109.01493598862044,107.08102564102546,52.401818181817816,1.8632051464869086,0.7213076923076915,6.114375867269985,3.5710609851985,12.3,95.46798749746927,74.31387726475748,34.69464285714275
2020,110.22285443338114,108.24444444444407,54.00454545454522,1.8798161783769807,0.7237435897435889,6.133541478129715,3.51912133531917,-3.57997097242378,96.07468106146166,74.492781648159,35.649999999999864
