year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,43.333333333333485,51.42393162393164,0.08199999999999999,0.1322051282051273,1383,-2.324857338355514,241.2,-6.743440951700109,58.227115731868025,43.6,132.521183722944
1961,44.324561403508824,51.49811965811968,0.067,0.1392871794871784,1329,-2.144915786925253,239.1,-6.332162155210085,57.69846397107676,43.858999999999995,131.00127099567135
1962,45.31578947368416,51.57230769230772,0.07200000000000001,0.14636923076922947,1409,-1.964974235495049,237.1,-5.9208833587200616,57.1698122102855,44.121,129.48135826839825
1963,46.30701754385973,51.64649572649573,0.073,0.15345128205128233,1454,-1.785032684064845,234.5,-5.509604562230038,56.641160449494464,44.393,127.96144554112561
1964,47.29824561403507,51.72068376068377,0.091,0.16053333333333342,1489,-1.6050911326346409,232.0,-5.0983257657400145,56.1125086887032,44.681999999999995,126.44153281385297
1965,48.289473684210634,51.79487179487181,0.099,0.1676153846153845,1497,-1.4251495812044368,229.1,-4.687046969250105,55.58385692791194,44.99100000000001,124.92162008658033
1966,49.28070175438597,51.86905982905985,0.114,0.17469743589743558,1639,-1.2452080297742327,226.0,-4.275768172760081,55.055205167120675,45.321000000000005,123.4017073593077
1967,50.27192982456154,51.94324786324789,0.142,0.18177948717948667,1655,-1.0652664783439718,222.7,-3.8644893762700576,54.52655340632964,45.668,121.8817946320346
1968,51.26315789473688,52.0174358974359,0.129,0.18886153846153775,1689,-0.8853249269137677,219.4,-3.453210579780034,53.99790164553838,46.028,120.36188190476196
1969,52.25438596491222,52.09162393162394,0.13699999999999998,0.19594358974358883,1669,-0.7053833754835637,216.3,-3.0419317832901243,53.469249884747114,46.398999999999994,118.84196917748932
1970,53.24561403508778,52.16581196581198,0.13,0.2030256410256399,1712,-0.5254418240533596,212.9,-2.6306529868001007,52.94059812395585,46.784,117.32205645021668
1971,54.23684210526312,52.24000000000002,0.175,0.210107692307691,1730,-0.3455002726231555,209.5,-2.219374190310077,52.411946363164816,47.188,115.80214372294404
1972,55.22807017543869,52.314188034188035,0.15,0.21718974358974386,1787,-0.16555872119295145,206.1,-1.8080953938200537,51.88329460237355,47.608999999999995,114.28223099567094
1973,56.21929824561403,52.388376068376076,0.212,0.22427179487179494,1785,0.014382830237309463,202.3,-1.3968165973300302,51.35464284158229,48.04,112.7623182683983
1974,57.21052631578959,52.462564102564116,0.149,0.23135384615384602,1770,0.19432438166751353,198.4,-0.9855378008401203,50.82599108079103,48.472,111.24240554112566
1975,58.20175438596493,52.536752136752156,0.14300000000000002,0.2384358974358971,1808,0.3742659330977176,194.3,-0.5742590043500968,50.29733931999999,48.887,109.72249281385302
1976,59.1929824561405,52.6109401709402,0.16899999999999998,0.2455179487179482,1882,0.5542074845279217,190.1,-0.16298020786007328,49.76868755920873,49.269,108.20258008658038
1977,60.18421052631584,52.68512820512821,0.11800000000000001,0.25259999999999927,1878,0.7341490359581258,186.1,0.24829858862995025,49.240035798417466,49.606,106.68266735930774
1978,61.175438596491176,52.75931623931625,0.125,0.25968205128205035,1875,0.9140905873883298,182.4,0.6595773851199738,48.7113840376262,49.888999999999996,105.16275463203465
1979,62.16666666666674,52.83350427350429,0.114,0.26676410256410144,1846,1.0940321388185907,179.3,1.0708561816098836,48.18273227683494,50.115,103.64284190476201
1980,59,52.90769230769233,0.10099999999999999,0.2738461538461525,1810,1.2739736902487948,177.5,1.4821349780999071,47.654080516043905,50.288000000000004,102.12292917748937
1981,55,52.98188034188037,0.11,0.2809282051282054,1739,1.4539152416789989,176.8,1.8934137745899307,47.12542875525264,50.42100000000001,100.60301645021673
1982,50,53.05606837606838,0.109,0.28801025641025646,1711,1.633856793109203,176.7,2.304692571079954,46.59677699446138,50.526,99.08310372294409
