year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1983,52,53.13025641025642,0.10800000000000001,0.29509230769230754,1654,1.813798344539407,176.9,2.7159713675699777,46.068125233670116,50.613,97.563190995671
1984,58,53.20444444444446,0.11199999999999999,0.3021743589743586,1646,1.993739895969611,176.9,3.1272501640598875,45.53947347287908,50.683,96.04327826839835
1985,67,53.2786324786325,0.10800000000000001,0.3092564102564097,1594,2.173681447399872,176.3,3.538528960549911,45.01082171208782,50.726000000000006,94.52336554112571
1986,74,53.352820512820514,0.102,0.3163384615384608,1597,2.353622998830076,174.7,3.9498077570399346,44.482169951296555,50.725,93.00345281385307
1987,79,53.427008547008555,0.10300000000000001,0.3234205128205119,1625,2.53356455026028,172.6,4.361086553529958,43.95351819050529,50.67100000000001,91.48354008658043
1988,85,53.501196581196595,0.096,0.33050256410256296,1640,2.7135061016904842,170.2,4.772365350019982,43.42486642971426,50.56100000000001,89.96362735930734
1989,77,53.575384615384635,0.09,0.33758461538461404,1645,3.764443407,167.5,5.1836441465098915,42.896214668922994,50.403,88.4437146320347
1990,78,54,0.08900000000000001,0.37,1655,7.045071644,165.1,5.326576233,42.36756290813173,50.206,86.92380190476206
1991,81,54,0.091,0.3721,1643,2.071988211,163.1,5.811360359,41.83891114734047,49.978,72.1
1992,83,54,0.085,0.3742,1606,0.584322134,161.3,6.8,41.31025938654943,49.743,73.6444
1993,83,54,0.092,0.3763,1573,1.205800809,159.5,6.777320862000001,40.78160762575817,49.528999999999996,75.1889
1994,84,54,0.083,0.3784,1538,1.5676617659999998,157.4,7.253536223999999,40.25295586496691,49.365,76.7333
1995,81,54,0.11800000000000001,0.3805,1544,3.569911868,155.0,7.721634865,39.724304104175644,49.287,78.2778
1996,82,54,0.11199999999999999,0.3826,1581,4.544366802,151.8,9.4,39.19565234338461,49.32899999999999,79.8222
1997,79,54,0.091,0.3847,1599,3.5252781910000004,147.6,8.622655868999999,38.667000582593346,49.503,81.3667
1998,79,54,0.079,0.3868,1611,3.708511596,142.4,9.050167084,38.13834882180208,49.809,82.9111
1999,76,54,0.076,0.3889,1640,4.840382325,136.1,8.0,37.60969706101082,50.248000000000005,84.4556
2000,79,54,0.078,0.391,1669,4.933846627,128.8,9.854468346,37.081045300219785,50.801,86.0
2001,87,54,0.08900000000000001,0.4017,1634,5.997828857999999,121.1,10.23795414,40.35215932,51.443999999999996,81.5857
2002,89,54,0.099,0.4124,1697,7.163553536,113.3,10.61419678,38.5017,52.141999999999996,77.1714
2003,95,55,0.102,0.4231,1792,6.886226532,106.1,11.1,36.6513,52.86600000000001,72.7571
2004,95,55,0.114,0.4338,1888,7.828298381000001,99.6,11.4,34.8009,53.602,68.3429
2005,90,55,0.14,0.4445,1980,8.173335834,93.7,11.73844337,32.9504,54.349,63.9286
2006,90,55,0.14800000000000002,0.4552,2013,4.660570995,88.6,12.12469482,31.1,55.119,59.5143
2007,83,55,0.14,0.4659,2121,8.464381242,83.8,12.52225399,30.76,55.926,55.1
2008,86,55,0.142,0.4766,2176,5.566595648,79.7,11.5,30.42,56.777,53.6
2009,85,55,0.132,0.4873,2233,5.382346168,75.5,11.2,30.08,57.666000000000004,52.1
2010,91,55,0.154,0.498,2311,6.3588860810000005,71.9,14.8,29.74,58.583999999999996,50.6
2011,90,55,0.17,0.504,2423,7.904507572000001,68.4,14.2,29.4,59.525,49.1
2012,92,55,0.19399999999999998,0.513,2475,5.141013621,65.3,15.3,31.1783,60.47,53.48572190476216
2013,91,55,0.221,0.512,2569,7.26306003,62.6,16.4,32.9566,61.398,51.96580917748952
2014,97,56,0.221,0.519,2666,6.965133317,59.9,15.50144958,34.734840000000005,62.288000000000004,50.44589645021642
2015,98,56,0.221,0.531,2753,6.959374422000001,57.9,15.876892855249935,29.151268888351524,63.111000000000004,48.92598372294378
2016,97,55.57846153846155,0.217,0.5287999999999986,2861,6.957743111,55.8,16.288171651739958,28.62261712756026,63.843999999999994,47.40607099567114
2017,99.83333333333326,55.652649572649594,0.14997869674185438,0.5358820512820515,2972,7.9318110931666865,53.8,16.699450448229868,28.093965366769226,64.479,45.8861582683985
2018,100.82456140350882,55.726837606837634,0.15089871229798613,0.5429641025641025,3082,8.11175264459689,51.8,17.11072924471989,27.565313605977963,65.015,44.36624554112586
2019,101.81578947368416,55.801025641025646,0.15181872785411787,0.5500461538461536,3200,8.291694196027095,50.3,17.522008041209915,27.0366618451867,60.1157714786674,42.84633281385322
2020,102.80701754385973,55.875213675213686,0.15273874341024962,0.5571282051282047,2439.1525423728744,8.471635747457299,51.08819209039575,17.93328683769994,26.508010084395437,60.403844652250086,41.32642008658013
