year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,90.21621621621622,100.0,2.3874999999999886,4.356,0.6699811965811966,13388,4.84,4.691974660570139,42.8,100.0,68.58560976,-0.519090909090913
1961,90.15433854907539,100.0,2.349411764705877,4.477,0.6741490598290598,14021,4.808,5.5379793170000005,40.2,100.0,69.57731707,-0.5018181818181802
1962,90.09246088193457,100.0,2.3113235294117516,4.734,0.678316923076923,14273,4.776,2.648675113,37.9,100.0,69.3095122,-0.4845454545454544
1963,90.03058321479375,100.0,2.27323529411764,5.129,0.6824847863247863,14759,4.744,4.138267582,35.9,100.0,69.44365854,-0.4672727272727286
1964,89.96870554765292,100.0,2.2351470588235287,5.362,0.6866526495726495,15541,4.712,6.124353738,34.2,100.0,69.92195122,-0.45000000000000284
1965,89.9068278805121,100.0,2.197058823529403,5.224,0.6908205128205127,15884,4.68,3.4801749180000003,32.7,100.0,69.72219512,-0.43272727272727707
1966,89.84495021337128,100.0,2.1589705882352916,5.336,0.6949883760683759,16661,4.64,5.642861411,31.5,100.0,70.04585366,-0.4154545454545442
1967,89.78307254623044,100.0,2.120882352941166,5.398,0.6991562393162392,17040,4.6,3.008047798,30.5,100.0,69.91780488,-0.3981818181818184
1968,89.72119487908962,100.0,2.0827941176470546,5.688,0.7033241025641024,17705,4.56,4.4723127819999995,29.7,100.0,70.05756098,-0.38090909090909264
1969,89.6593172119488,100.0,2.044705882352929,5.971,0.7074919658119656,18753,4.52,6.275867166,29.3,100.0,69.83317073,-0.36363636363636687
1970,89.59743954480797,100.0,2.0066176470588175,6.739,0.7116598290598288,20019,4.48,5.546028411,29.1,100.0,69.91463415,-0.346363636363634
1971,89.53556187766715,100.0,1.968529411764706,6.902,0.715827692307692,20949,4.428,5.114968735,28.7,100.0,70.11463415,-0.3290909090909082
1972,89.47368421052632,100.0,1.9304411764705804,7.407,0.7199955555555553,22121,4.376,6.207860972000001,28.1,100.0,70.46341463,-0.31181818181818244
1973,89.4118065433855,100.0,1.892352941176469,7.903,0.7241634188034185,23073,4.324,4.890435421,26.9,100.0,71.01463415,-0.29454545454545666
1974,89.34992887624468,100.0,1.8542647058823434,7.529,0.7283312820512817,23943,4.272,3.9421380860000004,25.1,100.0,71.01219512,-0.2772727272727309
