year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1979,48.84307692307675,58.21196581196591,9.221,0.4773154411764722,6259.061538461538,-12.144689463938676,73.25942603049123,124.95650508808376,91.80423038910777,64.069,14.834039560439578
1980,50.04615384615363,59.00000000000023,9.433,0.4854852941176482,9896.0,-11.462725663961692,73.44928091473741,122.28031513294718,92.07580485547697,64.161,14.31792351648346
1981,51.24923076923051,59.78803418803432,9.11,0.4936551470588242,10346.0,-10.78076186398448,73.6391357989836,119.60412517780969,92.34737932184618,64.28,13.801807472527457
1982,52.45230769230784,60.576068376068406,9.134,0.5018250000000002,10815.0,-10.098798064007497,73.82899068322979,109.4,92.61895378821538,64.425,13.28569142857134
1983,53.65538461538472,61.36410256410272,9.12,0.5099948529411797,11062.0,-9.416834264030285,74.01884556747598,106.7,92.8905282545847,64.587,12.769575384615337
1984,54.8584615384616,62.15213675213681,9.052,0.5181647058823557,11546.0,-8.734870464053301,74.20870045172217,104.2,93.1621027209539,64.759,12.253459340659333
1985,56.061538461538476,62.94017094017113,9.603,0.5263345588235318,11821.0,-8.05290666407609,74.39855533596835,101.8,93.4336771873231,64.913,11.73734329670333
1986,57.264615384615354,63.72820512820522,9.471,0.5345044117647078,11965.0,-7.370942864099106,74.58841022021454,99.8,93.7052516536923,65.016,11.221227252747212
1987,58.46769230769223,64.51623931623953,9.705,0.5426742647058838,12423.0,-6.6889790641221225,74.77826510446073,98.0,93.97682612006162,65.053,10.705111208791095
1988,59.67076923076911,65.30427350427362,9.806000000000001,0.5508441176470598,12882.0,-6.007015264144911,74.96811998870692,96.5,94.24840058643082,65.021,10.188995164835205
1989,60.87384615384599,66.09230769230771,9.443,0.5590139705882358,11629.0,-5.325051464167927,75.1579748729531,95.5,94.51997505280002,64.935,9.672879120879088
1990,62.07692307692287,69,8.712,0.5671838235294118,10212.0,-4.643087664190716,75.34782975719929,95.2,93.8162384,64.827,9.15676307692297
1991,63.279999999999745,69,8.266,0.5753536764705913,10002.0,-3.9611238642137323,75.53768464144548,95.3,94.26899719,64.745,8.640647032967081
1992,58.0,69,7.52,0.5835235294117673,7624.0,-3.279160064236521,75.72753952569167,95.7,94.72130585,64.73100000000001,8.124530989010964
1993,66.0,69,6.385,0.5916933823529433,5772.0,-2.597196264259537,75.91739440993786,95.8,95.1709137,64.81,7.608414945054847
1994,69.0,70,5.457999999999999,0.5998632352941193,4571.0,-1.915232464282326,76.10724929418404,95.3,95.61510468,64.991,7.092298901098957
1995,74.0,70,4.284,0.6080330882352953,3927.0,-1.233268664305342,76.29710417843023,94.0,96.05118561,65.256,7.3
1996,74.0,71,3.9760000000000004,0.6162029411764713,3983.0,1.3000002,76.48695906267642,91.8,96.4764328,65.57300000000001,6.5333
1997,70.0,72,3.7569999999999997,0.6243727941176473,4292.0,5.800000524,76.6768139469226,88.6,96.88816071,65.899,5.7667
1998,73.0,72,3.9610000000000003,0.6325426470588233,4503.0,10.00000028,76.8666688311688,84.5,97.28364563,66.207,5.0
1999,75.0,73,3.545,0.6407125000000029,4968.0,7.4000005820000005,76.6,79.7,97.0,66.491,4.2333
2000,76.0,74,3.6289999999999996,0.642,5231.0,11.09999925,76.8667,74.6,98.01556396,66.763,3.4667
2001,77.0,75,3.5069999999999997,0.6519,5525.0,9.9,77.1333,69.5,98.36993408,67.054,2.7
2002,76.0,76,3.575,0.6618,6001.0,10.5999992,77.4,64.6,100.0,67.391,2.3857
2003,77.0,77,3.658,0.6717,6564.0,11.20000024,77.6667,60.0,99.0592804,67.791,2.0714
2004,77.0,78,3.795,0.6816,7110.0,10.2000004,77.9333,55.9,99.38833618,68.249,1.7571
2005,75.0,79,4.018,0.6915,9007.0,26.40000081,78.2,52.2,99.67290497,68.747,1.4429
2006,78.0,79,4.535,0.7014,11984.0,34.49999951,78.4667,48.9,99.5,69.259,1.1286
2007,79.0,80,3.4939999999999998,0.7113,14876.0,25.04899952,78.7333,45.8,99.9670105,69.752,0.8143
2008,81.0,81,4.021,0.7212,16278.0,10.77242078,79.0,42.9,99.99606323,70.20100000000001,0.5
2009,81.0,82,3.572,0.7311,17618.0,9.410653764,79.2667,40.1,100.0,70.597,-0.6494417582418919
2010,81.0,83,3.3930000000000002,0.741,18274.0,4.854339324,79.5333,37.4,100.0,70.938,-1.1655578021977817
2011,87.0,84,3.654,0.742,17803.0,0.06592276799999999,79.8,35.0,100.0,71.234,-1.681673846153899
2012,89.0,85,3.835,0.745,18011.0,2.200000188,80.0667,32.6,100.0,71.506,-2.197789890110016
2013,93.0,85,3.7939999999999996,0.752,18871.0,5.796678396,80.3333,30.4,100.0,71.768,-2.713905934065906
2014,94.0,86,3.9419999999999997,0.758,19207.0,2.0,80.6,28.3,100.0,72.02199999999999,-3.230021978022023
2015,96.0,87,4.207,0.759,19221.0,1.099999809,80.5,26.3,101.58091117840007,72.266,-3.7461380219781404
2016,97.0,87.36923076923085,4.119,0.7796000000000021,18459.0,13.08797113521382,80.4,24.6,101.85248564476927,72.493,-4.26225406593403
2017,94.55999999999995,88.15726495726517,3.7754974937343206,0.7877698529411781,18314.0,13.769934935190804,80.3,23.0,102.12406011113848,72.693,-4.778370109890147
2018,95.76307692307682,88.94529914529926,3.6832466511105224,0.7959397058823541,18404.0,14.451898735167788,80.2,21.6,102.39563457750768,72.86399999999999,-5.294486153846265
2019,96.9661538461537,89.73333333333335,3.590995808486724,0.8041095588235301,18621.0,15.133862535145,80.1,20.4,102.667209043877,71.5355756867329,-5.8106021978021545
2020,98.16923076923058,90.52136752136767,3.498744965862926,0.8122794117647061,16721.838461538486,15.815826335121983,80.0,15.232716927454021,102.9387835102462,71.72176154295732,-6.326718241758272
