year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,25.984615384615154,43.239316239316395,6.182,0.322088235294121,1410.4575984990806,-25.102001663503643,69.65218322981366,175.8041142356933,86.64431552809236,61.034,24.640244395604327
1961,27.187692307692487,44.027350427350484,6.1610000000000005,0.330258088235297,1665.6472795497393,-24.42003786352643,69.84203811405985,173.12792428055582,86.91588999446157,61.256,24.124128351648324
1962,28.390769230769365,44.8153846153848,6.247000000000001,0.338427941176473,1920.836960600398,-23.738074063549448,70.03189299830603,170.45173432541833,87.18746446083077,61.468999999999994,23.60801230769232
1963,29.593846153846243,45.60341880341889,6.477,0.346597794117649,2176.0266416510567,-23.056110263572236,70.22174788255222,167.77554437028175,87.45903892720008,61.678999999999995,23.091896263736203
1964,30.79692307692312,46.39145299145321,6.669,0.354767647058825,2431.2163227017154,-22.374146463595252,70.41160276679841,165.09935441514426,87.73061339356929,61.888999999999996,22.5757802197802
1965,32.0,47.179487179487296,6.865,0.362937500000001,2686.406003752374,-21.69218266361804,70.6014576510446,162.42316446000677,88.00218785993849,62.104,22.059664175824196
1966,33.20307692307688,47.96752136752161,7.053,0.371107352941177,2941.595684803033,-21.010218863641057,70.79131253529079,159.74697450486929,88.27376232630769,62.321999999999996,21.54354813186808
1967,34.40615384615376,48.7555555555557,7.188,0.37927720588235303,3196.7853658536915,-20.328255063663846,70.98116741953697,157.0707845497318,88.545336792677,62.538999999999994,21.027432087912075
1968,35.609230769230635,49.54358974358979,7.2170000000000005,0.3874470588235326,3451.97504690435,-19.646291263686862,71.17102230378316,154.3945945945943,88.81691125904621,62.75,20.511316043955958
1969,36.81230769230751,50.33162393162411,7.35,0.3956169117647086,3707.164727955009,-18.96432746370965,71.36087718802935,151.71840463945773,89.08848572541541,62.953,19.995199999999954
1970,38.01538461538439,51.1196581196582,7.569,0.4037867647058846,3962.3544090056675,-18.282363663732667,71.55073207227554,149.04221468432024,89.36006019178461,63.141000000000005,19.47908395604395
1971,39.218461538461725,51.907692307692514,7.876,0.4119566176470606,4217.544090056326,-17.600399863755456,71.74058695652172,146.36602472918275,89.63163465815393,63.31,18.962967912087834
1972,40.4215384615386,52.6957264957266,8.133,0.4201264705882366,4472.733771106985,-16.918436063778472,71.93044184076791,143.68983477404527,89.90320912452313,63.457,18.44685186813183
1973,41.62461538461548,53.48376068376092,8.326,0.4282963235294126,4727.923452157644,-16.23647226380126,72.1202967250141,141.01364481890778,90.17478359089233,63.582,17.930735824175827
1974,42.82769230769236,54.27179487179501,8.496,0.4364661764705886,4983.113133208302,-15.554508463824277,72.31015160926029,138.3374548637712,90.44635805726153,63.687,17.41461978021971
1975,44.03076923076924,55.0598290598291,8.782,0.4446360294117646,5238.302814258961,-14.872544663847066,72.50000649350648,135.6612649086337,90.71793252363085,63.776,16.898503736263706
1976,45.233846153846116,55.847863247863415,8.972999999999999,0.45280588235294417,5493.4924953095615,-14.190580863870082,72.68986137775266,132.98507495349622,90.98950699000005,63.852,16.382387692307702
1977,46.436923076922994,56.635897435897505,9.128,0.46097573529412017,5748.68217636022,-13.50861706389287,72.87971626199885,130.30888499835874,91.26108145636925,63.92100000000001,15.866271648351585
1978,47.63999999999987,57.42393162393182,9.292,0.4691455882352962,6003.871857410879,-12.826653263915887,73.06957114624504,127.63269504322125,91.53265592273846,63.992,15.350155604395582
