year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1984,33,91.21059829059828,3.31,0.5271097435897438,12707,2.7439999999999998,4.834040290256837,101.89999999999986,80.0,95.65959434336924,53.983000000000004,6.733545221674888
1985,51,91.38632478632479,3.3930000000000002,0.5355102564102552,12149,2.83,1.867649933,101.0,75.1,95.78537391251538,55.196000000000005,6.47659950738921
1986,57,91.56205128205124,3.01,0.5439107692307665,10832,2.904,4.5517131893647615,100.09999999999991,70.7,95.91115348166153,56.828,7.4
1987,57,91.73777777777775,3.114,0.5523112820512814,10231,2.978,4.410549638918781,99.20000000000005,66.6,96.0369330508077,58.665,7.05
1988,88,91.91350427350426,3.315,0.5607117948717928,9630,3.052,4.269386088472743,98.29999999999995,62.8,96.16271261995385,60.516000000000005,6.7
1989,82,92.08923076923077,3.488,0.5691123076923077,9874,3.1260000000000003,6.132115677000001,97.39999999999986,59.3,96.2884921891,62.272,6.35
1990,91,92,3.74,0.5720000000000001,10693,3.2,13.59492644,96.5,56.1,96.15238953,63.836999999999996,6.0
1991,88,92,3.96,0.5814,11793,3.292,12.71614844,95.59999999999991,53.2,96.35027313,65.153,5.3
1992,97,92,3.918,0.5908,12723,3.384,3.29798192,94.70000000000005,50.7,96.5477066,66.243,4.6
1993,99,93,4.018,0.6002,12126,3.4760000000000004,3.563568336242554,93.79999999999995,48.4,96.74243927,67.137,3.9
1994,95,93,4.437,0.6096,11736,3.568,3.422404785796516,92.89999999999986,46.3,96.93175507,67.84,3.2
1995,98,93,4.502,0.619,11797,3.66,2.4010445519999997,92.0,44.3,97.11295319,68.377,3.05
1996,99,93,4.479,0.6284,12573,3.738,6.350526019,91.09999999999991,42.3,97.2833252,68.791,2.9
1997,99,94,4.291,0.6378,12819,3.8160000000000003,1.3503992740000001,90.20000000000005,40.3,97.44017792,69.139,2.75
1998,99,94,4.824,0.6472,13000,3.8939999999999997,2.08001178,89.29999999999995,38.3,97.58078766,69.471,2.6
1999,99,94,5.872000000000001,0.6566,13067,3.972,2.002696233,88.39999999999986,36.3,97.70355988,69.813,2.2857
2000,99,94,5.624,0.6659999999999999,13262,4.05,5.845527476,87.5,34.3,97.9,70.176,1.9714
2001,96,94,5.933,0.6739,13654,4.092,2.392172712,86.59999999999991,32.4,97.90787506,70.553,1.6571
2002,99,95,5.905,0.6818,14475,4.1339999999999995,8.07882928,85.70000000000005,30.6,97.99721527,70.921,1.3429
2003,99,95,6.0760000000000005,0.6897,15494,4.176,8.639298397000001,84.79999999999995,28.9,98.08321381,71.265,1.0286
2004,99,95,6.416,0.6976,16265,4.218,4.336665979,83.89999999999986,27.3,98.16976166,71.592,0.7143
2005,95,95,6.652,0.7055,16597,4.26,4.208690356,83.0,25.9,98.26076508,71.917,0.4
2006,98,95,7.145,0.7134,17128,4.282,5.704251918,82.09999999999991,24.5,98.4,72.257,0.4
2007,99,95,7.204,0.7213,18523,4.303999999999999,9.116167365,81.20000000000005,23.1,98.47077942,72.626,0.6
2008,99,96,7.428999999999999,0.7292,17858,4.3260000000000005,0.9236957920000001,80.29999999999995,21.8,98.59194183,73.027,0.8
2009,99,96,7.516,0.7371,18860,4.348,2.314710619,79.4,20.7,98.72184753,73.457,1.0
2010,99,96,7.678,0.745,19049,4.37,6.5773743520000005,78.5,19.7,98.85875702,73.905,0.775
2011,99,96,7.796,0.755,19516,4.805152941176459,3.7496904860000004,77.6,18.8,99.00091553,74.352,0.55
2012,99,96,7.995,0.769,18152,4.885102262443439,0.8814608777679496,76.7,18.0,99.1465683,74.77600000000001,0.325
2013,98,96,7.997000000000001,0.77,17652,4.965051583710419,0.7402973273219118,75.8,17.3,99.29397583,75.16199999999999,0.1
2014,99,96,8.276,0.774,18157,5.045000904977371,4.3433434019999995,74.9,16.7,99.44168091,75.502,0.3
2015,98,96,8.091000000000001,0.774,17705,5.124950226244351,0.45797022642989305,74.0,16.1,99.55876098690001,75.796,-1.2317719211822578
2016,99,96.83384615384614,8.17,0.7959261538461533,19189,5.204899547511303,0.31680667598385526,73.1,15.5,99.68454055604616,76.047,-1.4887176354679923
2017,117.23423423423446,97.00957264957265,7.691992481203016,0.8043266666666646,20280,5.284848868778283,0.17564312553781747,72.2,14.9,99.8103201251923,76.271,-1.7456633497537268
2018,118.93788525367518,97.1852991452991,7.798983147524012,0.8127271794871795,19901,5.3647981900452635,0.03447957509177968,71.3,14.4,99.93609969433845,76.479,-2.0026090640393477
2019,120.64153627311543,97.3610256410256,7.90597381384498,0.8211276923076909,19091,5.444747511312215,-0.10668397535425811,70.4,13.9,100.06187926348463,79.5076399766217,-2.2595547783250822
2020,122.34518729255615,97.53675213675211,8.012964480165948,0.8295282051282022,18657.846327683597,5.524696832579195,-0.2478475258002959,69.5,-17.504336734693425,100.18765883263077,80.09660029222664,-2.5165004926108168
