year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,20.126126126126564,86.99316239316238,1.705,0.32549743589743585,6375,0.73,8.22196550096163,123.5,173.55096938775569,92.64088468386154,44.946999999999996,12.900242364532062
1961,21.829777145566823,87.16888888888889,1.624,0.3338979487179472,6615,0.8,10.39091835,122.59999999999991,170.3667142857148,92.76666425300769,45.512,12.643296650246327
1962,23.533428165007535,87.3446153846154,1.6219999999999999,0.34229846153845855,6691,0.87,7.90926793,121.69999999999982,167.18245918367393,92.89244382215384,46.068999999999996,12.386350935960593
1963,25.237079184447794,87.52034188034185,1.744,0.35069897435897346,7152,0.94,7.042075229,120.79999999999995,163.99820408163305,93.01822339130001,46.621,12.129405221674915
1964,26.940730203888506,87.69606837606835,1.955,0.3590994871794848,7532,1.01,8.475228249,119.89999999999986,160.81394897959217,93.14400296044616,47.172,11.87245950738918
1965,28.644381223328764,87.87179487179486,2.153,0.3674999999999997,8168,1.08,17.03571152,119.0,157.6296938775513,93.2697825295923,47.729,11.615513793103446
1966,30.348032242769477,88.04752136752137,2.502,0.37590051282051107,8747,1.1540000000000001,11.50240728,118.09999999999991,154.4454387755104,93.39556209873845,48.298,11.358568078817768
1967,32.051683262209735,88.22324786324782,2.58,0.384301025641026,9529,1.228,11.2528031,117.19999999999982,151.26118367346953,93.52134166788463,48.888000000000005,11.101622364532034
1968,33.75533428165045,88.39897435897433,3.0460000000000003,0.3927015384615373,10602,1.3019999999999998,14.40418268,116.29999999999995,148.07692857142865,93.64712123703077,49.503,10.8446766502463
1969,35.458985301090706,88.57470085470084,2.991,0.4011020512820487,11577,1.376,15.51665891,115.39999999999986,144.89267346938868,93.77290080617692,50.148,10.587730935960622
1970,37.16263632053142,88.75042735042734,3.219,0.4095025641025636,12493,1.45,10.92760163,114.5,141.7084183673478,93.89868037532307,50.855,10.330785221674887
1971,38.86628733997168,88.92615384615385,3.471,0.41790307692307493,13766,1.524,13.70158299,113.59999999999991,184.6,94.02445994446924,51.661,10.07383950738921
1972,40.56993835941239,89.1018803418803,3.5260000000000002,0.42630358974358984,15298,1.598,14.49901585,112.69999999999982,176.0,94.15023951361539,52.559,9.816893793103475
1973,42.27358937885265,89.27760683760681,4.19,0.4347041025641012,16161,1.672,7.441681612000001,111.79999999999995,167.7,94.27601908276154,53.513000000000005,9.55994807881774
1974,43.97724039829336,89.45333333333332,4.524,0.44310461538461254,16935,1.746,5.801050847999999,110.89999999999986,159.4,94.40179865190768,54.463,9.303002364532063
1975,45.68089141773362,89.62905982905983,4.254,0.45150512820512745,17728,1.82,6.10451224427112,110.0,151.0,94.52757822105386,55.263999999999996,9.046056650246328
1976,47.38454243717433,89.80478632478633,4.638999999999999,0.4599056410256388,19321,1.936,18.26043563,109.09999999999991,142.2,94.6533577902,55.744,8.789110935960593
1977,49.08819345661459,89.98051282051279,4.707,0.4683061538461537,17969,2.052,5.822185143379102,108.20000000000005,133.5,94.77913735934615,55.827,8.532165221674916
1978,50.7918444760553,90.1562393162393,4.513,0.47670666666666506,15474,2.168,5.681021592933064,107.29999999999995,124.4,94.9049169284923,55.513999999999996,8.275219507389181
1979,52.49549549549556,90.3319658119658,4.399,0.4851071794871764,13435,2.2840000000000003,5.539858042487026,106.39999999999986,115.5,95.03069649763847,54.882,8.018273793103447
1980,32,90.50769230769231,3.1239999999999997,0.4935076923076913,11422,2.4,5.398694492040988,105.5,106.9,95.15647606678462,54.114,7.761328078817769
1981,29,90.68341880341876,2.805,0.5019082051282027,11094,2.4859999999999998,5.2575309415949505,104.59999999999991,99.0,95.28225563593077,53.453,7.504382364532034
1982,41,90.85914529914527,3.292,0.5103087179487176,12250,2.572,23.17124554,103.70000000000005,91.8,95.40803520507691,53.126000000000005,7.2474366502463
1983,33,91.03487179487178,3.429,0.5187092307692289,12971,2.658,11.08671685,102.79999999999995,85.5,95.53381477422309,53.287,6.990490935960622
