year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,86.44000000000005,100.0,21.998333333333335,4.572,0.3518676470588247,-1853.2085365853272,-8.770788505857354,-15.644878490028077,30.225675422138806,100.0,72.12834047619026,67.70809756,58.91151515151523
1961,86.64000000000004,100.0,21.678690476190468,4.671,0.3603191176470588,-1505.197560975561,-8.507887293141835,-14.083482336181987,29.754202626641586,100.0,70.78548809523772,68.21265854,57.61030303030293
1962,86.84000000000003,100.0,21.359047619047715,4.857,0.36877058823529296,-1157.1865853657946,-8.244986080426202,-12.522086182335897,29.28272983114448,100.0,69.44263571428564,68.63582927,56.30909090909108
1963,87.04000000000002,100.0,21.039404761904848,5.162999999999999,0.37722205882353066,-809.1756097561447,-7.982084867710682,-10.960690028489807,28.81125703564726,100.0,68.09978333333311,68.99207317,55.00787878787878
1964,87.24000000000001,100.0,20.71976190476198,5.442,0.3856735294117648,-461.1646341463784,-7.719183654995163,-9.399293874643718,28.33978424015004,100.0,66.75693095238057,69.28992683,53.70666666666693
1965,87.44000000000005,100.0,20.400119047619114,5.72,0.39412499999999895,-113.15365853661206,-7.45628244227953,-7.837897720797628,27.86831144465293,100.0,65.41407857142849,69.53741463,52.40545454545463
1966,87.64000000000004,100.0,20.080476190476247,5.984,0.40257647058823665,234.85731707315426,-7.193381229564011,-6.276501566951538,27.39683864915571,100.0,64.07122619047595,69.73460976,51.10424242424233
1967,87.84000000000003,100.0,19.76083333333338,6.196000000000001,0.4110279411764708,582.8682926829206,-6.930480016848492,-4.715105413104993,26.92536585365849,100.0,62.72837380952342,69.88165854,49.80303030303048
1968,88.04000000000002,100.0,19.441190476190513,6.31,0.41947941176470493,930.8792682926869,-6.667578804132859,-3.1537092592589033,26.453893058161384,100.0,61.38552142857134,69.98263415,48.50181818181818
1969,88.24000000000001,100.0,19.121547619047647,6.511,0.42793088235294263,1278.8902439024532,-6.4046775914173395,-1.5923131054128135,25.982420262664164,100.0,60.0426690476188,70.04514634,47.20060606060633
1970,88.44000000000005,100.0,18.80190476190478,6.789,0.4363823529411768,1626.9012195122195,-6.14177637870182,-0.030916951566723583,25.510947467166943,100.0,58.699816666666266,70.0792439,45.89939393939403
1971,88.64000000000004,100.0,18.482261904761913,7.147,0.4448338235294109,1974.9121951219859,-5.878875165986187,1.5304792022793663,25.039474671669836,100.0,57.356964285714184,70.093,44.59818181818173
1972,88.84000000000003,100.0,18.162619047619046,7.462999999999999,0.4532852941176486,2322.923170731752,-5.615973953270668,3.091875356125456,24.568001876172616,100.0,56.01411190476165,70.09241463,43.29696969696988
1973,89.04000000000002,100.0,17.842976190476293,7.723,0.46173676470588276,2670.9341463415185,-5.353072740555149,4.653271509971546,24.096529080675396,100.0,54.67125952380957,70.08243902,41.99575757575758
1974,89.24000000000001,100.0,17.523333333333426,7.962999999999999,0.4701882352941169,3018.945121951285,-5.090171527839516,6.214667663818091,23.625056285178175,100.0,53.32840714285703,70.06807317,40.69454545454573
1975,89.44000000000005,100.0,17.20369047619056,8.314,0.4786397058823546,3366.9560975609347,-4.827270315123997,7.7760638176641805,23.15358348968107,100.0,51.985554761904496,70.04826829,39.39333333333343
1976,89.64000000000004,100.0,16.884047619047692,8.576,0.48709117647058875,3714.967073170701,-4.564369102408477,9.33745997151027,22.682110694183848,100.0,50.642702380952414,70.01590244,38.09212121212113
1977,89.84000000000003,100.0,16.564404761904825,8.81,0.4955426470588229,4062.9780487804674,-4.301467889692958,10.89885612535636,22.210637898686628,100.0,49.29984999999988,69.96741463,36.79090909090928
1978,90.04000000000002,100.0,16.24476190476196,9.052999999999999,0.5039941176470606,4410.989024390234,-4.038566676977325,12.46025227920245,21.73916510318952,100.0,47.95699761904734,69.90631707,35.48969696969698
1979,90.24000000000001,100.0,15.925119047619091,9.068,0.5124455882352947,4759.0,-3.775665464261806,14.02164843304854,21.2676923076923,100.0,46.61414523809526,69.84163415,34.18848484848513
1980,90.44000000000005,100.0,15.605476190476224,9.362,0.5208970588235289,7749.0,-3.5127642515462867,15.58304458689463,21.1,100.0,45.271292857142726,69.80202439,32.88727272727283
1981,90.64000000000004,100.0,15.285833333333358,9.122,0.5293485294117666,8040.0,-3.2498630388306537,17.144440740741175,20.2,100.0,43.92844047619019,69.81917073,31.586060606060528
1982,90.84000000000003,100.0,14.96619047619049,9.231,0.5378000000000007,8344.0,-2.9869618261151345,18.705836894587264,19.4,100.0,42.58558809523811,69.90821951,30.28484848484868
1983,91.04000000000002,100.0,14.646547619047624,9.299,0.5462514705882349,8712.0,-2.7240606133996152,20.267233048433354,18.8,100.0,41.24273571428557,70.06465854,28.98363636363638
