year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-21.699699699699977,-7.504273504273442,0.062,0.08608717948717981,1211,1.06,2.2752705635252823,222.4,-11.76846664410914,49.442783214285726,44.358999999999995,129.31263278260894
1961,-19.754397254397645,-5.90598290598291,0.059000000000000004,0.09374666666666798,1165,1.0859999999999999,2.3655752458470545,218.4,-11.268545707036083,49.197730000000035,44.955,127.56077765217424
1962,-17.80909480909486,-4.307692307691923,0.059000000000000004,0.10140615384615437,1178,1.112,2.4558799281688266,214.6,-10.768624769963026,48.95267678571429,45.558,125.80892252173953
1963,-15.863792363792527,-2.7094017094013907,0.057,0.10906564102564076,1275,1.138,2.5461846104905987,210.9,-10.268703832889969,48.7076235714286,46.162,124.05706739130437
1964,-13.918489918490195,-1.1111111111108585,0.063,0.11672512820512893,1333,1.1640000000000001,2.636489292812371,207.2,-9.768782895816912,48.46257035714291,46.755,122.30521226086967
1965,-11.973187473187863,0.48717948717967374,0.079,0.12438461538461532,1323,1.19,2.726793975134143,203.9,-9.268861958743742,48.21751714285716,47.32,120.55335713043496
1966,-10.027885027885077,2.085470085470206,0.08800000000000001,0.13204410256410348,1364,1.25,2.817098657455915,200.4,-8.768941021670685,47.97246392857147,47.839,118.80150200000026
1967,-8.082582582582745,3.683760683760738,0.094,0.13970358974358987,1395,1.31,2.9074033397776873,197.1,-8.269020084597628,47.727410714285725,48.297,117.04964686956555
1968,-6.137280137280413,5.28205128205127,0.11,0.14736307692307804,1389,1.37,2.9977080220994594,194.2,-7.769099147524571,47.482357500000035,48.687,115.29779173913084
1969,-4.191977691978082,6.880341880342257,0.129,0.15502256410256443,1496,1.43,3.0880127044212315,192.0,-7.269178210451514,47.23730428571429,49.005,113.54593660869568
1970,-2.246675246675295,8.47863247863279,0.152,0.1626820512820526,1473,1.49,3.1783173867430037,191.0,-6.769257273378457,46.9922510714286,49.251000000000005,111.79408147826098
1971,-0.3013728013729633,10.076923076923322,0.14800000000000002,0.170341538461539,1476,1.5659999999999998,3.268622069064776,190.8,-6.269336336305287,46.74719785714291,49.43,110.04222634782627
