year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,74.76186186186192,100.0,3.1125000000000114,11.089,0.6494752136752133,17062,6.72,3.3656246831317986,67.16265194805192,25.108021002305236,100.0,69.31002439
1961,75.14178464178462,100.0,3.066029411764717,11.294,0.6546699145299151,17609,6.686,3.3248953604406495,67.47483896103893,24.66702381968753,100.0,69.508
1962,75.52170742170745,100.0,3.0195588235294224,11.857999999999999,0.659864615384615,18207,6.652,3.2841660377495003,67.78702597402594,24.226026637069936,100.0,69.69153659
1963,75.90163020163016,100.0,2.973088235294128,12.595,0.6650593162393168,18569,6.617999999999999,3.243436715058351,68.09921298701295,23.785029454452342,100.0,69.85960976
1964,76.28155298155298,100.0,2.9266176470588334,12.806,0.6702540170940168,19536,6.584,3.202707392367202,68.41139999999996,23.34403227183475,100.0,70.01370732
1965,76.6614757614758,100.0,2.880147058823539,12.593,0.6754487179487185,20341,6.55,3.161978069676053,68.72358701298697,22.903035089217155,100.0,70.15182927
1966,77.04139854139851,100.0,2.8336764705882445,12.388,0.6806434188034185,20788,6.468,3.1212487469849037,69.03577402597398,22.462037906599562,100.0,70.27141463
1967,77.42132132132133,100.0,2.78720588235295,12.105,0.6858381196581202,20808,6.386,3.0805194242937546,69.34796103896099,22.02104072398197,100.0,70.374
1968,77.80124410124415,100.0,2.7407352941176555,12.652999999999999,0.6910328205128202,21844,6.303999999999999,3.0397901016026054,69.660148051948,27.2,100.0,70.46509756
1969,78.18116688116686,100.0,2.694264705882361,13.445,0.696227521367522,23119,6.222,2.9990607789114563,69.97233506493501,26.4,100.0,70.55068293
1970,78.56108966108968,100.0,2.6477941176470665,13.061,0.701422222222222,24002,6.14,2.958331456220307,70.28452207792202,25.7,100.0,70.63978049
1971,78.94101244101239,100.0,2.601323529411772,13.171,0.7066169230769237,24528,6.053999999999999,3.132699754,70.59670909090903,24.9,100.0,70.74287805
1972,79.32093522093521,100.0,2.5548529411764775,13.208,0.7118116239316237,25423,5.968,4.300341294,70.90889610389604,24.0,100.0,70.867
1973,79.70085800085803,100.0,2.508382352941183,13.765999999999998,0.7170063247863254,26499,5.882000000000001,4.777486913,71.22108311688305,23.1,100.0,71.01668293
1974,80.08078078078074,100.0,2.4619117647058886,13.479000000000001,0.7222010256410254,26712,5.796,0.890068704,71.53327012987006,22.0,100.0,71.19541463
1975,80.46070356070356,100.0,2.415441176470594,12.725,0.7273957264957271,26663,5.71,2.754684842764547,71.84545714285707,20.8,100.0,71.40173171
1976,80.84062634062639,100.0,2.3689705882352996,13.862,0.7325904273504271,28087,5.642,4.949258392,72.15764415584408,19.5,100.0,71.63414634
1977,81.2205491205491,100.0,2.322500000000005,13.395,0.7377851282051289,28946,5.574,3.347218088,72.46983116883109,18.3,100.0,71.88368293
1978,81.60047190047192,100.0,2.2760294117647106,13.755,0.7429798290598288,29795,5.506,3.0084928769999997,72.7820181818181,17.1,100.0,72.14329268
1979,81.98039468039474,100.0,2.229558823529416,14.276,0.7481745299145306,30987,5.438,4.1503633330000005,73.09420519480511,16.0,100.0,72.40853659
1980,82.36031746031745,100.0,2.1830882352941217,14.078,0.7533692307692306,31254,5.37,1.408828659,73.40639220779212,15.0,100.0,72.67790244
1981,95.0,100.0,2.136617647058827,13.45,0.7585639316239323,31331,5.322,0.5292405370000001,73.71857922077913,14.1,100.0,72.95039024
1982,97.0,100.0,2.0901470588235327,13.062000000000001,0.7637586324786323,31089,5.274,2.469579583926503,74.03076623376614,13.2,100.0,73.227
1983,93.0,100.0,2.043676470588238,13.038,0.768953333333334,31730,5.226,1.572410149,74.34295324675315,12.5,100.0,73.50519512
1984,94.0,100.0,1.9972058823529437,13.332,0.774148034188034,32736,5.178,2.822947834,74.65514025974016,11.8,100.0,73.78292683
1985,80.0,100.0,1.9507352941176492,13.469000000000001,0.7793427350427358,33526,5.13,2.32793522,74.96732727272718,11.1,100.0,74.05463415
