year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1986,90.0,100.0,1.9042647058823547,13.494000000000002,0.7845374358974357,34255,5.086,2.287339269,75.2795142857143,10.6,100.0,74.31373171
1987,80.0,100.0,1.8577941176470603,13.265999999999998,0.7897321367521375,34769,5.042,1.4021515740000001,75.59170129870131,10.0,100.0,74.55968293
1988,80.0,100.0,1.8113235294117658,13.174000000000001,0.7949268376068375,35785,4.998,3.7072356689999997,75.90388831168832,9.5,100.0,74.7924878
1989,80.0,100.0,1.7648529411764713,12.912,0.8001215384615392,36666,4.954,3.8965517239999996,76.21607532467533,9.0,100.0,75.01314634
1990,80.0,100,1.7183823529411768,13.3,0.8009999999999999,35273,4.91,5.255006086,76.52826233766234,8.5,100,75.2277561
1991,80.0,100,1.6719117647058823,12.745999999999999,0.8069,36772,4.862,5.108261508,76.84044935064935,8.0,100,75.31951219999999
1992,85.0,100,1.6254411764705878,12.065,0.8128,37195,4.814,1.9238070109999998,77.15263636363636,7.6,100,75.81951219999999
1993,62.0,100,1.5789705882352933,11.873,0.8187,36598,4.766,2.0215570343238483,77.46482337662337,7.2,100,75.87073171
1994,73.0,100,1.5324999999999989,11.605,0.8246,37368,4.718,2.45737182,77.77701038961038,6.8,100,76.27073171
1995,78.0,100,1.7,11.548,0.8305,37905,4.67,1.7376406309999999,78.08919740259739,6.5,100,76.42195122
1996,84.0,100,1.5,11.77,0.8364,38105,4.628,0.8178976170000001,78.4013844155844,6.2,100,76.67317073
1997,87.0,100,1.4,11.421,0.8423,38753,4.586,1.84920067,78.71357142857141,5.9,100,77.07317073
1998,89.0,100,1.2,11.323,0.8482,39514,4.544,1.9796184069999998,79.02575844155842,5.7,100,77.47560976
1999,97.0,100,1.2,10.988,0.8541,40273,4.502,1.987134949,80.5,5.5,100,77.72682927
2000,90.0,100,1.2,11.036,0.86,41410,4.46,2.962045368,80.57,5.4,100,77.92682927
2001,93.0,100,1.1,11.23,0.8652,42041,4.406000000000001,1.6954714519999998,80.64,5.2,100,78.32926829
2002,93.0,100,1.2,11.017999999999999,0.8704,41971,4.352,0.4928,80.71,5.1,100,78.22926829
2003,97.0,100,1.0,11.022,0.8756,41649,4.298,1.6142638074123425,80.78,5.0,100,78.3804878
2004,96.0,100,1.1,10.845,0.8808,42146,4.244,1.169970413,80.85,4.9,100,78.68048780000001
2005,96.0,100,1.1,10.602,0.8859999999999999,42468,4.19,0.706713948,80.92,4.7,100,78.93170732
2006,96.0,100,1.0,10.76,0.8912,44089,4.136,3.700159572,80.99,4.6,100,79.13170732
2007,96.0,100,0.9,10.458,0.8964,45587,4.082,3.2605352969999997,81.06,4.5,100,79.53414634
2008,96.0,100,0.9,10.520999999999999,0.9016,46169,4.0280000000000005,1.082315404,81.13,4.4,100,79.73658537
2009,96.0,100,0.9,9.738999999999999,0.9068,43685,3.9739999999999998,1.3698878712654476,81.2,4.3,100,79.83658537
2010,95.0,100,0.8,10.29,0.912,45575,3.92,4.079933305,81.76,4.2,100,79.98780488
2011,95.0,100,0.7425000000000068,10.04,0.9159999999999999,47343,3.9219999999999997,3.660000155,82.32,4.1,100,80.43658537
2012,95.0,100,0.6960294117647123,10.08,0.919,47487,3.924,0.49199282899999996,82.88,4.0,100,80.53902439
2013,95.0,100,0.6495588235294179,10.280999999999999,0.92,47589,3.926,0.48958448200000004,83.44,4.0,100,80.4902439
2014,95.0,100,0.6030882352941234,9.754,0.924,48423,3.928,1.595338098,84.0,3.9,100,81.0902439
2015,95.0,100,0.5566176470588289,9.693999999999999,0.9259999999999999,48841,3.93,1.7207335,84.4667,3.9,100.0,80.64146341
2016,95.0,100.0,0.5101470588235344,9.696,0.9403784615384616,49534,3.93,1.8672581999999998,84.9333,3.9,100.0,80.9902439
2017,96.41746031746027,100.0,0.4636764705882399,10.358192982456131,0.9455731623931634,50414,3.93,1.0440532897362402,85.4,3.9,100.0,80.99268293
2018,96.79738309738309,100.0,0.4172058823529454,10.30006412583181,0.9507678632478633,50901,3.93,1.003323967045091,85.8667,3.9,100.0,80.89268293
2019,97.17730587730591,100.0,0.37073529411765094,10.241935269207488,0.9559625641025651,51254,3.93,0.9625946443539419,86.3333,3.8,100.0,81.85140037935122
2020,97.55722865722862,100.0,0.32426470588235645,10.18380641258318,0.9611572649572651,52177.89322033897,3.93,0.9218653216627928,86.8,-1.3518099547510474,100.0,82.07601588873638
