year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,13.66666666666697,23.263247863247898,0.09,0.1599914529914539,4.333084481914744,197.4,-10.699192335261614,38.935,95.29228901098895
1961,14.832622095780152,23.57470085470095,0.09699999999999999,0.1666034188034189,6.18111172,191.1,-10.127444125847887,39.542,94.12305868131853
1962,15.998577524893335,23.88615384615389,0.095,0.17321538461538388,6.374099317000001,185.2,-9.555695916433933,40.167,92.95382835164855
1963,17.164532954006972,24.19760683760694,0.122,0.17982735042735065,4.07252177,179.4,-8.983947707020207,40.817,91.78459802197813
1964,18.330488383120155,24.50905982905988,0.12300000000000001,0.18643931623931564,8.570281527999999,173.6,-8.412199497606252,41.495,90.6153676923077
1965,19.496443812233338,24.820512820512818,0.134,0.1930512820512824,10.26851981,168.0,-7.840451288192526,42.201,89.44613736263727
1966,20.662399241346975,25.13196581196587,0.149,0.1996632478632474,5.813757985,162.6,-7.268703078778572,42.931000000000004,88.27690703296685
1967,21.828354670460158,25.44341880341881,0.188,0.20627521367521418,4.070461474,157.4,-6.6969548693646175,43.676,87.10767670329687
1968,22.99431009957334,25.75487179487186,0.20800000000000002,0.21288717948717917,4.35959025,152.2,-6.125206659950891,44.425,85.93844637362645
1969,24.160265528686978,26.0663247863248,0.22699999999999998,0.21949914529914594,8.273457947,147.1,-5.553458450536937,45.173,84.76921604395602
1970,25.32622095780016,26.37777777777785,0.273,0.22611111111111093,10.84280577,142.4,-4.98171024112321,45.916000000000004,83.5999857142856
1971,26.492176386913343,26.68923076923079,0.316,0.2327230769230777,6.295192572,137.9,-4.409962031709256,46.653,82.43075538461562
1972,27.658131816026525,27.00068376068384,0.47700000000000004,0.2393350427350427,5.643553369,133.5,-3.838213822295529,47.383,81.2615250549452
