year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,7.135135135134988,58.213675213675174,6.646428571428601,0.387,0.5194324786324795,4716,2.77,5.184380977790269,138.9000000000001,175.7,76.71251685633854,54.81376141025635,52.982,42.13075600985212
1961,8.866287339971677,58.7452991452991,6.878571428571433,0.353,0.5233177777777787,4696,2.884,1.543078652,138.05000000000018,170.4,77.12453574569236,53.862986777389324,53.547,41.46978719211802
1962,10.597439544807912,59.276923076923026,7.110714285714323,0.324,0.5272030769230778,4803,2.998,4.558883964,137.20000000000005,165.4,77.53655463504617,52.91221214452207,54.098,40.808818374384145
1963,12.328591749644147,59.80854700854695,7.342857142857156,0.363,0.5310883760683769,4781,3.112,3.875658364,136.35000000000014,160.7,77.94857352439999,51.96143751165505,54.635,40.147849556650044
1964,14.059743954480837,60.34017094017088,7.5750000000000455,0.42,0.534973675213676,4968,3.2260000000000004,7.811889623,135.50000000000023,156.3,78.36059241375392,51.0106628787878,55.158,39.48688073891617
1965,15.790896159317072,60.871794871794805,7.807142857142878,0.434,0.5388589743589751,5287,3.34,4.717973158,134.6500000000001,152.3,78.77261130310774,50.059888245920774,55.669,38.82591192118207
1966,17.52204836415376,61.40341880341873,8.039285714285711,0.44799999999999995,0.5427442735042742,5266,3.418,4.91681842136073,133.80000000000018,148.7,79.18463019246155,49.10911361305352,56.174,38.164943103448195
1967,19.253200568989996,61.93504273504266,8.2714285714286,0.465,0.5466295726495733,5382,3.4960000000000004,4.621073941000001,132.95000000000005,145.6,79.59664908181537,48.1583389801865,56.676,37.503974285714094
1968,20.98435277382623,62.46666666666658,8.503571428571433,0.5429999999999999,0.5505148717948725,5513,3.574,1.9094383990000001,132.10000000000014,142.6,80.0086679711693,47.20756434731925,57.181000000000004,36.84300546798022
1969,22.71550497866292,62.99829059829051,8.735714285714323,0.608,0.5544001709401716,5644,3.6519999999999997,4.66923798,131.25000000000023,139.9,80.42068686052312,46.256789714452225,57.69,36.18203665024612
1970,24.446657183499156,63.529914529914436,8.967857142857156,0.705,0.5582854700854707,5863,3.73,6.87192933,130.4000000000001,137.0,80.83270574987694,45.306015081584974,58.203,35.521067832512244
1971,26.177809388335845,64.06153846153836,9.200000000000045,0.675,0.5621707692307698,6021,3.7880000000000003,6.292606196,129.55000000000018,133.7,81.24472463923075,44.35524044871795,58.718,34.86009901477814
1972,27.90896159317208,64.59316239316229,9.432142857142878,0.7140000000000001,0.5660560683760689,6207,3.846,5.017640704,128.70000000000005,129.9,81.65674352858468,43.4044658158507,59.232,34.19913019704427
1973,29.640113798008315,65.12478632478621,9.664285714285711,0.7959999999999999,0.569941367521368,6780,3.904,13.95068213,127.85000000000014,125.4,82.0687624179385,42.453691182983675,59.745,33.53816137931017
1974,31.371266002845005,65.65641025641014,9.8964285714286,0.8959999999999999,0.5738266666666672,6971,3.9619999999999997,11.20850963,127.00000000000023,120.3,82.48078130729232,41.50291655011665,60.258,32.877192561576294
1975,33.10241820768124,66.18803418803407,10.128571428571433,1.053,0.5777119658119672,7129,4.02,10.972154,126.15000000000009,115.0,82.89280019664614,40.5521419172494,60.773999999999994,32.21622374384219
1976,34.83357041251793,66.71965811965799,10.360714285714323,1.128,0.5815972649572663,7597,4.122,7.397187618999999,125.30000000000018,109.8,83.30481908600007,39.60136728438238,61.298,31.55525492610832
1977,36.564722617354164,67.25128205128192,10.592857142857156,1.014,0.5854825641025654,7851,4.224,1.6048421119999998,124.45000000000005,105.1,83.71683797535388,38.650592651515126,61.833999999999996,30.894286108374217
1978,38.2958748221904,67.78290598290585,10.825000000000045,1.376,0.5893678632478645,8162,4.3260000000000005,5.706824945,123.60000000000014,100.5,84.1288568647077,37.6998180186481,62.382,30.233317290640343
1979,40.02702702702709,68.31452991452977,11.057142857142878,1.564,0.5932531623931636,8366,4.428,3.7340484010000004,122.75000000000023,96.1,84.54087575406152,36.74904338578085,62.942,29.572348472906242
1980,10,68.8461538461537,11.289285714285711,1.6840000000000002,0.5971384615384627,8509,4.53,3.708682969,121.90000000000009,91.6,84.95289464341545,35.79826875291383,63.512,28.911379655172368
1981,26,69.37777777777762,11.5214285714286,2.0380000000000003,0.6010237606837618,8616,4.526,5.61286412,121.05000000000018,87.1,85.36491353276926,34.847494120046576,64.089,28.250410837438267
1982,35,69.90940170940178,11.753571428571433,2.296,0.604909059829061,8479,4.522,0.614845354,120.20000000000005,82.5,85.77693242212308,33.89671948717955,64.669,27.589442019704393
1983,31,70.4410256410257,11.985714285714323,2.27,0.6087943589743601,8082,4.518,4.158724511477075,119.35000000000014,77.9,86.1889513114769,32.9459448543123,65.24600000000001,26.92847320197029
1984,48,70.97264957264963,12.217857142857156,2.407,0.6126796581196592,8191,4.513999999999999,2.625273268,118.50000000000023,73.4,86.60097020083083,31.995170221445278,65.814,26.267504384236418
1985,41,71.50427350427356,12.449999999999989,2.147,0.6165649572649583,8316,4.51,3.935001412,117.65000000000009,69.3,87.01298909018465,31.044395588578027,66.37100000000001,25.606535566502316
1986,44,72.03589743589748,12.682142857142878,1.646,0.6204502564102574,8341,4.538,3.464782516,116.80000000000018,65.6,87.42500797953846,30.093620955711003,66.911,24.945566748768442
1987,51,72.56752136752141,12.914285714285711,1.589,0.6243355555555565,7618,4.566,3.9803494738573875,115.95000000000005,62.2,87.83702686889228,29.142846322843752,67.436,23.2
1988,54,73.09914529914533,13.1464285714286,1.7719999999999998,0.6282208547008556,8218,4.593999999999999,5.89046729,115.10000000000014,59.2,88.24904575824621,28.19207168997673,67.943,22.3286
1989,55,73.63076923076926,13.378571428571433,2.03,0.6321061538461548,8023,4.622,1.005777946,114.25000000000023,56.3,88.66106464760003,27.241297057109477,68.431,21.4571
1990,68,74,13.610714285714323,1.645,0.643,8042,4.65,3.679914053,113.40000000000009,53.6,88.81425476,26.290522424242454,68.899,20.5857
