year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,33.42342342342317,68.08888888888873,0.612,0.33480512820512764,4906,1.47,4.904354835103895,78.13577533577532,257.2,72.84419570767682,15.357458073095358,45.369,4.361827093596048
1961,34.64414414414432,68.69675213675214,0.616,0.34280564102563993,4848,1.5319999999999998,1.156069388,78.26007326007323,249.6,73.37532874908447,15.080121850654791,46.093,4.297117077175685
1962,35.86486486486501,69.30461538461532,0.7490000000000001,0.3508061538461522,5014,1.594,5.571428582999999,78.38437118437116,241.7,73.90646179049236,14.802785628214338,46.83,4.232407060755321
1963,37.085585585585704,69.9124786324785,0.767,0.3588066666666663,5356,1.656,9.066305519,78.5086691086691,233.8,74.43759483190001,14.525449405773884,47.573,4.1676970443349575
1964,38.306306306306396,70.5203418803419,0.87,0.36680717948717856,5449,1.7180000000000002,5.459056843,78.632967032967,226.0,74.96872787330767,14.24811318333343,48.312,4.102987027914594
1965,39.52702702702709,71.12820512820508,0.884,0.37480769230769084,5466,1.78,2.823529483,78.75726495726494,218.7,75.49986091471533,13.970776960892977,49.035,4.03827701149423
1966,40.74774774774778,71.73606837606826,0.9940000000000001,0.3828082051282031,5969,1.834,11.21281508,78.88156288156287,211.7,76.03099395612298,13.69344073845241,49.733000000000004,3.973566995073881
1967,41.96846846846847,72.34393162393167,1.031,0.3908087179487172,6100,1.8880000000000001,4.732510238,79.00586080586078,205.3,76.56212699753064,13.416104516011956,50.406000000000006,3.9088569786535174
1968,43.189189189189165,72.95179487179485,1.091,0.3988092307692295,6367,1.942,6.777996002999999,79.13015873015871,199.2,77.0932600389383,13.138768293571502,51.053000000000004,3.844146962233154
1969,44.40990990990986,73.55965811965802,1.139,0.40680974358974176,6553,1.996,4.081145625,79.25445665445662,193.3,77.62439308034618,12.861432071131048,51.678000000000004,3.7794369458127903
1970,45.63063063063055,74.1675213675212,1.2209999999999999,0.4148102564102558,6719,2.05,3.233508982,79.37875457875455,187.6,78.15552612175384,12.584095848690595,52.286,3.7147269293924268
1971,46.85135135135124,74.77538461538461,1.335,0.4228107692307681,7163,2.126,5.566694507999999,79.50305250305249,182.0,78.6866591631615,12.306759626250027,52.887,3.650016912972063
1972,48.07207207207193,75.38324786324779,1.4709999999999999,0.4308112820512804,7448,2.202,7.425788325,79.6273504273504,176.3,79.21779220456915,12.029423403809574,53.492,3.585306896551714
1973,49.292792792792625,75.99111111111097,1.5859999999999999,0.43881179487179445,7588,2.278,3.262334512,79.75164835164833,170.5,79.7489252459768,11.75208718136912,54.108999999999995,3.5205968801313503
1974,50.51351351351332,76.59897435897437,1.5919999999999999,0.44681230769230673,8001,2.354,5.594474367999999,79.87594627594626,164.5,80.28005828738446,11.474750958928666,54.74100000000001,3.4558868637109867
1975,51.73423423423401,77.20683760683755,1.671,0.454812820512819,8501,2.43,7.174112693,80.00024420024417,158.4,80.81119132879235,11.197414736488213,55.387,3.391176847290623
1976,52.954954954955156,77.81470085470073,1.8330000000000002,0.4628133333333313,9032,2.508,10.46117958,80.1245421245421,152.3,81.3423243702,10.920078514047646,56.04600000000001,3.3264668308702596
1977,54.17567567567585,78.42256410256414,1.983,0.47081384615384536,9220,2.5860000000000003,3.406669805,80.24884004884004,146.3,81.87345741160766,10.642742291607192,56.708999999999996,3.261756814449896
1978,55.39639639639654,79.03042735042732,1.8359999999999999,0.47881435897435765,9287,2.6639999999999997,1.502932994,80.37313797313794,140.2,82.40459045301532,10.365406069166738,57.37,3.1970467980295467
1979,56.61711711711723,79.6382905982905,1.757,0.48681487179486993,9021,2.742,4.792926430629869,80.49743589743588,134.1,82.93572349442297,10.088069846726285,58.023,3.132336781609183
1980,42,80.24615384615367,1.7209999999999999,0.494815384615384,8778,2.82,4.787061777762814,80.62173382173378,127.9,83.46685653583063,9.810733624285831,58.667,3.0676267651888054
1981,64,80.85401709401708,1.774,0.5028158974358963,8920,2.918,4.856648753,80.74603174603172,121.8,83.99798957723829,9.533397401845264,59.297,3.002916748768456
1982,58,81.46188034188026,1.889,0.5108164102564086,9128,3.016,3.5632278189999997,80.87032967032965,115.7,84.52912261864617,9.25606117940481,59.915,2.9382067323481067
1983,56,82.06974358974344,1.922,0.5188169230769226,9232,3.114,4.971080762,80.99462759462756,109.8,85.06025566005383,8.978724956964356,60.52,2.873496715927729
1984,56,82.67760683760685,1.989,0.5268174358974349,9532,3.2119999999999997,6.712015732999999,81.1189255189255,104.0,85.59138870146148,8.701388734523903,61.111000000000004,2.8087866995073796
1985,55,83.28547008547002,2.17,0.5348179487179472,9791,3.31,4.241335702,81.24322344322343,98.4,86.12252174286914,8.424052512083449,61.681999999999995,2.744076683087002
