year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,59.990990990990895,91.48547008547013,3.789010989011018,0.736,0.6161196581196577,6697,4.35,0.4596269765159171,84.6,100.0,64.472
1961,60.656946420104305,91.63965811965818,3.9137362637362685,0.82,0.6194290598290593,7158,4.468,0.4735757968502803,78.5,100.0,65.19800000000001
1962,61.322901849217715,91.79384615384618,4.038461538461547,1.1179999999999999,0.6227384615384608,7461,4.586,0.48752461718464346,73.3,100.0,65.831
1963,61.9888572783309,91.94803418803423,4.163186813186826,0.813,0.6260478632478632,7601,4.704,0.5014734375190066,68.7,100.0,66.381
1964,62.65481270744431,92.10222222222228,4.287912087912105,0.767,0.6293572649572647,8005,4.822,0.5154222578533698,64.7,100.0,66.86
1965,63.32076813655749,92.25641025641028,4.412637362637383,0.892,0.6326666666666663,8147,4.94,0.529371078187733,61.2,100.0,67.275
1966,63.9867235656709,92.41059829059833,4.537362637362662,1.1440000000000001,0.6359760683760678,8659,5.0680000000000005,0.5433198985220962,58.0,100.0,67.628
1967,64.65267899478431,92.56478632478638,4.662087912087941,1.4369999999999998,0.6392854700854702,9437,5.196000000000001,0.5572687188564558,55.3,100.0,67.928
1968,65.31863442389749,92.71897435897438,4.786813186813191,1.855,0.6425948717948717,10618,5.324,0.571217539190819,52.8,100.0,68.187
1969,65.9845898530109,92.87316239316243,4.91153846153847,2.0180000000000002,0.6459042735042733,11649,5.452000000000001,0.5851663595251821,50.3,100.0,68.421
1970,66.65054528212431,93.02735042735048,5.036263736263749,1.8,0.6492136752136748,12844,5.58,0.5991151798595453,47.9,100.0,68.65
1971,67.3165007112375,93.18153846153848,5.160989010989027,2.0,0.6525230769230763,13244,5.53,0.6130640001939085,45.5,100.0,68.89
1972,67.9824561403509,93.33572649572653,5.285714285714306,2.0709999999999997,0.6558324786324787,13311,5.48,0.6270128205282717,43.1,100.0,69.149
1973,68.64841156946409,93.48991452991459,5.410439560439585,1.976,0.6591418803418803,13396,5.43,0.6409616408626349,40.8,100.0,69.436
1974,69.3143669985775,93.64410256410258,5.5351648351648635,2.004,0.6624512820512818,12698,5.38,0.654910461196998,38.6,100.0,69.756
1975,69.98032242769091,93.79829059829063,5.659890109890114,2.3169999999999997,0.6657606837606833,12377,5.33,0.6688592815313612,36.4,100.0,70.113
1976,70.64627785680409,93.95247863247869,5.7846153846153925,2.142,0.6690700854700848,12876,5.303999999999999,0.6828081018657244,34.3,100.0,70.509
1977,71.3122332859175,94.10666666666668,5.909340659340671,2.372,0.6723794871794873,13278,5.278,0.6967569222000876,32.3,100.0,70.931
1978,71.97818871503091,94.26085470085474,6.03406593406595,2.52,0.6756888888888888,13875,5.252000000000001,0.7107057425344507,30.4,100.0,71.36399999999999
1979,72.6441441441441,94.41504273504279,6.158791208791229,2.3890000000000002,0.6789982905982903,14911,5.226,0.7246545628688139,28.6,100.0,71.8
1980,60,94.56923076923078,6.283516483516507,2.657,0.6823076923076918,15517,5.2,0.7386033832031771,26.9,100.0,72.222
1981,58,94.72341880341884,6.408241758241786,2.7260000000000004,0.6856170940170934,15198,5.25,0.7525522035375403,25.5,100.0,72.618
1982,62,94.87760683760689,6.532967032967036,2.521,0.6889264957264958,14390,5.3,0.7665010238718999,24.4,100.0,72.98
1983,69,95.03179487179489,6.657692307692315,2.7110000000000003,0.6922358974358973,14384,5.35,0.499999376,23.4,100.0,73.303
1984,83,95.18598290598294,6.782417582417594,2.9389999999999996,0.6955452991452988,14828,5.4,3.6000042239999996,22.6,100.0,73.585
1985,83,95.34017094017099,6.907142857142873,3.321,0.6988547008547004,14925,5.45,1.100008144,21.9,100.0,73.825
1986,79,95.49435897435899,7.031868131868151,3.583,0.7021641025641019,15624,5.476,5.099999783,21.2,100.0,74.029
1987,79,95.64854700854704,7.15659340659343,3.6489999999999996,0.7054735042735043,15977,5.502000000000001,2.59999684,20.4,100.0,74.206
1988,76,95.8027350427351,7.281318681318709,3.675,0.7087829059829058,16484,5.528,3.5000033910000004,19.7,100.0,74.372
1989,78,95.95692307692309,7.406043956043959,3.8160000000000003,0.7120923076923074,17003,5.553999999999999,3.599998335,18.9,100.0,74.53399999999999
1990,91,96,7.530769230769238,4.109,0.7140000000000001,16368,5.58,0.8780915865468053,18.1,100.0,74.704
1991,82,96,7.6554945054945165,4.631,0.7176,15666,5.606,0.8920404068811685,17.4,100.0,74.892
1992,90,96,7.780219780219795,3.738,0.7212,14702,5.632000000000001,0.9059892272155317,16.7,100.0,75.101
1993,86,97,7.904945054945074,4.218999999999999,0.7248,14759,5.6579999999999995,0.800000624,16.1,100.0,75.332
1994,90,97,8.029670329670353,2.841,0.7284,15001,5.684,2.000000125,15.6,100.0,75.583
1995,93,97,8.154395604395631,3.133,0.732,15245,5.71,2.023261449,15.2,100.0,75.852
1996,85,97,8.279120879120882,3.196,0.7356,15783,5.73,3.966274789,14.9,100.0,76.131
1997,96,97,8.40384615384616,3.3710000000000004,0.7392,16454,5.75,4.740148487,14.8,100.0,76.41
1998,93,97,7.5,4.255,0.7428,16992,5.77,3.740458015,14.8,100.0,76.68
1999,87,98,8.6,4.499,0.7464,16972,5.79,0.325869862,14.9,100.0,76.933
2000,93,98,7.5,4.41,0.75,17651,5.81,4.4530595139999996,15.1,100.0,77.16199999999999
2001,84,98,9.3,4.507,0.753,17157,5.818,1.0315286102247967,15.3,100.0,77.362
2002,87,98,9.3,4.531000000000001,0.7559999999999999,17210,5.8260000000000005,0.791122984,15.5,100.0,77.53399999999999
2003,89,98,12.2,4.665,0.759,17500,5.834,2.1712538230000002,15.7,100.0,77.682
2004,93,98,8.1,4.724,0.762,17665,5.8420000000000005,1.4067644419999998,15.7,100.0,77.808
2005,92,98,9.2,4.927,0.765,18285,5.85,3.96497442,15.7,100.0,77.915
2006,84,99,12.9,4.981,0.768,19242,5.852,5.668590896,15.6,100.0,78.009
2007,93,99,9.2,4.925,0.7709999999999999,19518,5.854,1.764284435,15.5,100.0,78.097
2008,85,99,8.5,5.8420000000000005,0.774,19616,5.856,0.39602217700000003,15.3,100.0,78.184
2009,93,99,7.0,5.818,0.777,18593,5.858,1.143119172899702,15.1,100.0,78.27199999999999
