year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,91.13230769230769,76.87623188405797,17.587500000000034,2.99,0.5255367521367527,6639.606003752342,-9.125200653661523,16.87999999999988,70.03525510204099,91.54832737244612,53.5,61.995,111.09044117647045
1961,91.15384615384616,77.08405797101454,17.369411764705887,3.01,0.5282960683760685,6607.681801125698,-8.86050449690697,17.559999999999945,69.00777551020428,91.71373193573072,53.0,62.367,108.88333333333321
1962,91.17538461538462,77.29188405797106,17.151323529411798,3.09,0.5310553846153852,6575.757598499054,-8.595808340152416,18.24000000000001,67.98029591836757,91.87913649901537,52.5,62.743,106.67622549019597
1963,91.19692307692307,77.49971014492758,16.933235294117708,3.2439999999999998,0.533814700854701,6543.833395872418,-8.331112183397863,18.920000000000073,66.95281632653086,92.04454106229997,52.0,63.122,104.46911764705874
1964,91.21846153846154,77.70753623188409,16.71514705882356,3.383,0.5365740170940176,6511.909193245774,-8.06641602664331,19.59999999999991,65.92533673469393,92.20994562558457,51.5,63.496,102.2620098039215
1965,91.24000000000001,77.91536231884061,16.49705882352947,3.5260000000000002,0.5393333333333334,6479.98499061913,-7.801719869888757,20.279999999999973,64.89785714285722,92.37535018886922,51.0,63.856,100.05490196078426
1966,91.26153846153846,78.12318840579712,16.278970588235325,3.661,0.5420926495726501,6448.060787992486,-7.537023713134204,20.960000000000036,63.87037755102051,92.54075475215382,50.5,64.186,97.84779411764703
1967,91.28307692307692,78.33101449275364,16.060882352941235,3.7680000000000002,0.5448519658119659,6416.13658536585,-7.272327556379651,21.639999999999873,62.8428979591838,92.70615931543841,50.0,64.476,95.64068627450979
1968,91.30461538461537,78.53884057971015,15.842794117647088,3.82,0.5476112820512826,6384.212382739206,-7.007631399625097,22.319999999999936,61.81541836734709,92.87156387872307,49.5,64.718,93.43357843137255
1969,91.32615384615384,78.74666666666667,15.624705882352998,3.9210000000000003,0.5503705982905984,6352.288180112562,-6.742935242870658,23.0,60.78793877551038,93.03696844200766,49.0,64.908,91.22647058823532
1970,91.34769230769231,78.95449275362324,15.406617647058852,4.067,0.5531299145299151,6320.363977485926,-6.478239086116105,23.680000000000064,59.760459183673674,93.20237300529226,48.5,65.045,89.01936274509808
1971,91.36923076923077,79.16231884057976,15.188529411764762,4.257,0.5558892307692309,6288.439774859282,-6.213542929361552,24.3599999999999,64.1,93.36777756857691,48.0,65.134,86.81225490196084
1972,91.39076923076922,79.37014492753627,14.970441176470615,4.417,0.5586485470085476,6256.515572232638,-5.9488467726069985,25.039999999999964,62.3,93.53318213186151,47.5,65.186,84.6051470588236
1973,91.41230769230769,79.57797101449279,14.752352941176525,4.541,0.5614078632478634,6224.5913696060015,-5.684150615852445,25.720000000000027,60.7,93.6985866951461,47.0,65.21300000000001,82.39803921568637
1974,91.43384615384616,79.7857971014493,14.534264705882379,4.658,0.5641671794871801,6192.667166979358,-5.419454459097892,26.399999999999864,59.0,93.86399125843076,46.5,65.221,80.19093137254913
1975,91.45538461538462,79.99362318840582,14.316176470588289,4.84,0.5669264957264959,6160.742964352714,-5.154758302343339,27.079999999999927,57.3,94.02939582171535,46.0,65.209,77.98382352941098
1976,91.47692307692307,80.20144927536234,14.098088235294142,4.978,0.5696858119658117,6128.81876172607,-4.890062145588786,27.75999999999999,55.5,94.19480038499995,45.5,65.172,75.77671568627375
1977,91.49846153846154,80.40927536231885,13.880000000000052,5.104,0.5724451282051284,6096.8945590994335,-4.625365988834233,28.440000000000055,53.9,94.3602049482846,45.0,65.111,73.56960784313651
1978,91.52000000000001,80.61710144927537,13.661911764705906,5.236000000000001,0.5752044444444442,6064.97035647279,-4.3606698320796795,29.11999999999989,52.4,94.5256095115692,44.5,65.03699999999999,71.36249999999927
1979,91.54153846153847,80.82492753623194,13.443823529411816,5.2379999999999995,0.5779637606837609,6033.046153846146,-4.095973675325126,29.799999999999955,51.0,94.6910140748538,44.0,64.971,69.15539215686204
1980,91.56307692307692,81.03275362318846,13.22573529411767,5.397,0.5807230769230767,6872.0,-3.831277518570573,30.480000000000018,49.7,94.85641863813845,43.5,64.95100000000001,66.9482843137248
1981,91.58461538461538,81.24057971014497,13.00764705882358,5.244,0.5834823931623934,7221.0,-3.56658136181602,31.160000000000082,48.3,95.02182320142305,43.0,65.02199999999999,64.74117647058756
1982,91.60615384615384,81.44840579710149,12.789558823529433,5.289,0.5862417094017092,7590.0,-3.301885205061467,31.839999999999918,46.6,95.18722776470764,42.5,65.205,62.534068627450324
1983,91.62769230769231,81.656231884058,12.571470588235343,5.309,0.5890010256410259,7856.0,-3.0371890483069137,32.51999999999998,44.6,95.3526323279923,42.0,65.499,60.32696078431309
1984,91.64923076923077,81.86405797101452,12.353382352941196,5.303,0.5917603418803417,7954.0,-2.7724928915524742,33.200000000000045,42.5,95.51803689127689,41.5,65.887,58.11985294117585
