year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1985,91.67076923076922,82.07188405797103,12.135294117647106,5.662999999999999,0.5945196581196583,7115.0,-2.507796734797921,33.87999999999988,40.3,95.68344145456149,41.0,66.33,55.91274509803861
1986,91.6923076923077,82.27971014492755,11.91720588235296,5.629,0.5972789743589741,7522.0,-2.243100578043368,34.559999999999945,38.2,95.84884601784614,40.5,66.77199999999999,53.705637254901376
1987,91.71384615384616,82.48753623188406,11.69911764705887,5.817,0.6000382905982908,7459.0,-1.9784044212888148,35.24000000000001,36.3,96.01425058113074,40.0,67.156,51.49852941176414
1988,91.73538461538462,82.69536231884058,11.481029411764723,5.932,0.6027976068376066,7367.0,-1.7137082645342616,35.92000000000007,34.7,96.17965514441534,39.5,67.44,49.2914215686269
1989,91.75692307692307,82.90318840579715,11.262941176470633,5.775,0.6055569230769233,7788.0,-1.4490121077797085,36.59999999999991,33.7,96.34505970769999,39.0,67.605,47.084313725489665
1990,91.77846153846153,83.11101449275367,11.044852941176487,5.392,0.652,7445.0,-1.1843159510251553,37.27999999999997,33.2,96.11981964,38.5,67.643,44.87720588235243
1991,91.8,83.31884057971018,10.826764705882397,5.186,0.6465,6133.0,-0.9196197942706021,37.960000000000036,33.6,96.37554169,38.0,67.563,42.67009803921519
1992,84.0,84.0,10.60867647058825,4.788,0.6409999999999999,4353.0,-0.654923637516049,38.6400000000001,34.5,96.63080597,37.5,67.408,40.46299019607795
1993,70.0,84.0,10.39058823529416,3.575,0.6355,4302.0,-0.3902274807614958,39.319999999999936,35.9,96.88336182,37.0,67.221,38.255882352940716
1994,86.0,84.0,10.172500000000014,2.772,0.63,2979.0,-0.12553132400694267,40.0,37.3,97.13050842,36.5,67.03,36.04877450980348
1995,96.0,84.0,9.1,2.577,0.6245,2948.0,0.1391648327476105,40.680000000000064,38.3,97.36953735,36.0,66.867,33.84166666666624
1996,97.0,84.0,9.3,2.668,0.619,2787.0,0.40386098950216365,41.3599999999999,38.6,97.5977478,35.5,66.76100000000001,31.634558823529005
1997,97.0,84.0,9.3,1.655,0.6135,2851.0,1.6470644680000002,42.039999999999964,38.0,97.81242371,35.0,66.722,16.1
1998,97.0,85.0,8.5,1.474,0.608,2690.0,0.9332533030111563,42.72000000000003,36.5,97.99821472,34.5,66.752,27.6
1999,97.0,85.0,9.1,1.065,0.6025,2624.0,1.1979494597657094,43.4,34.2,98.18043518,34.0,66.852,39.1
2000,95.0,85.0,10.5,0.835,0.597,2707.0,2.107716052,44.08,31.4,98.34869385,33.5,67.006,35.9
2001,97.0,85.0,10.1,0.8859999999999999,0.6045,2904.0,6.100000281,44.76,28.4,98.50601196,33.0,67.185,27.6
2002,97.0,86.0,10.1,0.953,0.612,3166.0,7.799999787000001,45.44,25.5,99.0,32.5,67.362,16.6
2003,98.0,86.0,8.2,1.028,0.6195,3415.0,6.599999906,46.12,23.0,98.80287170000001,32.0,67.521,7.6
2004,98.0,86.0,7.2,1.092,0.627,3710.0,7.39999984,46.8,21.1,99.1,31.5,67.665,8.7
2005,98.0,86.0,7.9,1.176,0.6345,4035.0,7.500000095,47.48,19.7,98.6,31.0,67.82,13.9
2006,97.0,86.0,7.1,1.204,0.642,4280.0,4.799999869,48.16,18.7,99.26071167,30.5,68.02199999999999,2.4
2007,92.0,87.0,5.9,1.1340000000000001,0.6495,4460.0,3.0000001989999996,48.84,18.1,99.42900848,30.0,68.30199999999999,1.1
2008,90.0,87.0,6.5,1.16,0.657,4864.0,7.800000099999999,49.52,17.7,99.60401917,29.5,68.671,1.3
2009,85.0,87.0,6.8,1.111,0.6645,4621.0,3.844911027311241,50.2,17.3,99.77014923,29.0,69.119,1.0
2010,90.0,87.0,7.5,1.207,0.672,5001.0,7.100000092,50.88000000000011,17.1,99.89844513,28.5,69.616,0.5
2011,93.0,88.0,6.465000000000032,1.234,0.679,5346.0,6.800000288,51.559999999999945,16.8,99.96985626,28.0,70.119,0.3
2012,92.0,88.0,6.246911764705942,1.208,0.6859999999999999,5369.0,4.638999497574787,52.24000000000001,16.5,99.99507904,27.5,70.581,0.3
2013,90.0,88.0,6.028823529411795,1.225,0.696,5914.0,9.400000099,52.92000000000007,16.2,99.99973297,27.0,70.968,0.1
2014,90.0,88.0,5.8107352941177055,1.2109999999999999,0.701,6273.0,4.7999997489999995,53.59999999999991,15.9,100.0,26.5,71.267,-8.093382352941262
2015,87.0,88.0,5.592647058823559,1.237,0.6990000000000001,6316.0,5.433087967838446,54.27999999999997,15.6,100.64557835309995,26.0,71.47800000000001,-10.3004901960785
2016,89.0,88.51449275362324,5.374558823529469,1.453,0.6800584615384615,6663.0,4.100000038,54.960000000000036,15.3,100.81098291638455,25.5,71.617,-12.507598039215736
2017,92.36,88.72231884057976,5.156470588235322,1.305629072681711,0.6828177777777782,7049.0,5.962480281347553,55.6400000000001,15.0,100.9763874796692,25.0,71.717,-14.714705882352973
2018,92.38153846153847,88.93014492753628,4.9383823529412325,1.2371522772448316,0.685577094017094,7408.0,6.227176438102106,56.319999999999936,14.7,101.1417920429538,24.5,71.808,-16.92181372549021
2019,92.40307692307692,89.13797101449279,4.720294117647086,1.168675481807952,0.6883364102564107,7787.0,6.491872594856659,57.0,14.4,101.30719660623839,24.0,70.7142741087084,-19.128921568627447
2020,92.42461538461538,89.3457971014493,4.502205882352996,1.100198686371101,0.6910957264957265,4724.153846153844,6.756568751611212,57.680000000000064,8.386479591837087,101.47260116952305,23.5,70.84672957334894,-21.336029411764684
