year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1971,38.20702826585193,36.63692307692327,0.551,0.32590461538461923,1182,5.9315148326673395,71.46360594405598,81.3,51.87254543111521,81.12857142857092,58.98,99.16837944664076
1972,39.73949579831924,38.03794871794889,0.506,0.33430324786325016,1257,5.9481644501330635,71.99087937062939,80.3,53.04648668709251,79.42142857142835,58.826,96.88458498023738
1973,41.271963330787,39.43897435897452,0.5379999999999999,0.3427018803418811,1310,5.9648140675987875,72.51815279720279,79.1,54.22042794306935,77.71428571428532,59.203,94.600790513834
1974,42.80443086325431,40.840000000000146,0.4,0.3511005128205156,1228,5.9814636850645115,73.04542622377619,77.9,55.394369199046196,76.00714285714275,60.111999999999995,92.31699604743062
1975,44.33689839572207,42.24102564102577,0.447,0.3594991452991465,1113,5.998113302530243,73.57269965034959,76.6,56.56831045502304,74.29999999999973,61.446000000000005,90.03320158102815
1976,45.86936592818938,43.6420512820514,0.27899999999999997,0.367897777777781,1268,6.014762919995967,74.09997307692299,75.1,57.74225171099988,72.5928571428567,63.01,87.74940711462477
1977,47.401833460657144,45.043076923077024,0.3,0.3762964102564119,1282,6.031412537461691,74.6272465034964,73.4,58.91619296697718,70.88571428571413,64.547,85.4656126482214
1978,48.93430099312445,46.44410256410265,0.29600000000000004,0.3846950427350464,1263,6.048062154927415,75.1545199300698,71.7,60.09013422295402,69.1785714285711,65.859,83.18181818181802
1979,50.466768525592215,47.845128205128276,0.306,0.39309367521367733,1246,6.064711772393146,75.6817933566432,70.1,61.26407547893086,67.47142857142808,66.865,80.89802371541555
1980,51.99923605805952,49.2461538461539,0.309,0.40149230769230826,1187,6.08136138985887,76.20906678321683,68.5,62.438016734907706,65.7642857142855,67.542,78.61422924901217
1981,53.531703590527286,50.64717948717953,0.318,0.40989094017094274,1202,6.098011007324594,76.73634020979023,66.9,63.61195799088455,64.05714285714248,67.942,76.33043478260879
1982,55.064171122994594,52.048205128205154,0.32299999999999995,0.41828957264957367,1271,6.114660624790318,77.26361363636363,65.4,64.78589924686139,62.34999999999991,68.203,74.04664031620541
1983,4.0,53.44923076923078,0.331,0.42668820512820815,1311,6.131310242256049,77.79088706293703,64.1,65.95984050283869,60.64285714285688,68.439,71.76284584980294
1984,5.0,54.85025641025641,0.294,0.4350868376068391,1396,6.147959859721773,78.31816048951043,62.7,67.13378175881553,58.93571428571386,68.688,69.47905138339956
1985,42.0,56.25128205128203,0.34600000000000003,0.44348547008547357,1447,3.805855668,78.84543391608383,61.3,68.30772301479237,57.228571428571286,68.972,67.19525691699619
1986,43.0,57.65230769230766,0.369,0.4518841025641045,1455,2.789291575,79.37270734265724,59.7,69.48166427076922,55.52142857142826,69.293,64.91146245059281
1987,50.0,59.053333333333285,0.406,0.4602827350427354,1475,3.583469633,79.89998076923064,57.9,70.65560552674606,53.814285714285234,69.624,62.62766798418943
1988,70.0,60.45435897435891,0.355,0.4686813675213699,1530,5.135011671,80.42725419580404,55.9,71.8295467827229,52.10714285714266,69.943,60.34387351778696
1989,88.0,61.85538461538454,0.262,0.47708000000000084,1561,7.364512893,80.95452762237767,53.6,73.0034880387002,50.399999999999636,70.252,58.06007905138358
1990,88.0,63,0.314,0.47700000000000004,1606,5.10091814,81.48180104895107,51.3,73.85775757,48.69285714285661,70.551,55.7762845849802
1991,88.0,64,0.308,0.4869,1665,5.960843932,82.00907447552447,48.8,75.11332703,46.98571428571404,70.842,53.492490118576825
1992,88.0,66,0.302,0.4968,1776,8.64604746,82.53634790209787,46.3,76.36844635,45.27857142857101,71.124,49.2
1993,91.0,67,0.317,0.5067,1884,8.072730657000001,83.06362132867127,43.7,77.62085724,43.57142857142844,71.399,46.8
1994,94.0,69,0.355,0.5166,2014,8.838980952,83.59089475524468,41.3,78.86785889,41.864285714285415,71.666,44.4
1995,93.0,70,0.387,0.5265,2170,9.540480175,84.11816818181808,38.9,80.10673523,40.15714285714239,71.923,42.0
1996,94.0,72,0.45399999999999996,0.5364,2336,9.340017496,84.64544160839148,36.7,81.33480072,38.44999999999982,72.168,39.6
1997,95.0,73,0.5820000000000001,0.5463,2489,8.152084143,85.17271503496488,34.7,78.4,36.74285714285679,72.399,37.2
1998,94.0,75,0.605,0.5562,2597,5.764455464,85.69998846153851,32.8,83.74762726,35.035714285713766,72.617,34.8
1999,93.0,76,0.6,0.5661,2685,4.773586881,86.22726188811191,31.2,84.9280777,33.328571428571195,72.824,35.6
2000,96.0,77,0.6679999999999999,0.5760000000000001,2830,6.787316408,86.75453531468531,29.7,86.0934906,31.62142857142817,73.025,36.4
2001,96.0,79,0.753,0.5839,2986,6.192893312000001,87.28180874125871,28.5,87.24776459,29.914285714285597,73.22800000000001,37.2
2002,75.0,80,0.863,0.5918,3156,6.3208209879999995,87.80908216783212,27.3,89.1,28.20714285714257,73.438,38.0
2003,99.0,82,0.951,0.5997,3345,6.899063492000001,88.33635559440552,26.4,89.53847504,26.499999999999545,73.654,32.25
2004,96.0,83,1.083,0.6076,3560,7.536410612,88.86362902097892,25.6,90.68270874,24.792857142856974,73.875,26.5
2005,95.0,85,1.163,0.6155,3780,7.547247727,89.39090244755232,24.9,96.1,23.085714285713948,74.092,23.0
2006,94.0,86,1.206,0.6234,3994,6.977954812,89.91817587412572,24.3,96.0,21.3,74.295,19.5
2007,92.0,87,1.22,0.6313,4227,7.129504484,90.44544930069935,23.9,94.1567688,19.64,74.47399999999999,17.15
2008,93.0,89,1.36,0.6392,4413,5.661771207999999,90.97272272727275,23.5,95.33561707,17.98,74.625,14.8
2009,96.0,90,1.4680000000000002,0.6471,4598,5.397897542999999,91.5,23.1,96.1,16.32,74.745,9.5
2010,93.0,91,1.6119999999999999,0.655,4839,6.423238217000001,92.0273,22.9,97.71779633,14.66,74.837,4.2
2011,95.0,93,1.7,0.662,5085,6.240302749,92.5545,22.6,99.0,13.0,74.904,3.5
2012,97.0,94,1.571,0.6679999999999999,5295,5.247367156,93.0818,22.3,100.0,10.9,74.958,2.8
2013,59.0,95,1.608,0.675,5525,5.421882991,93.6091,22.1,100.0,9.428571428571104,75.006,2.8
2014,95.0,96,1.8019999999999998,0.6779999999999999,5796,5.983654637000001,94.1364,21.8,99.2,7.721428571428078,75.056,2.8
2015,97.0,98,1.983,0.6829999999999999,6123,6.679288789,94.6636,21.5,103.52596069409992,6.014285714285506,75.11,-1.3185770750988013
2016,96.0,99.6830769230769,2.013,0.7038430769230786,6441,6.210811668,95.1909,21.2,104.69990195007676,4.30714285714248,75.172,-3.6023715415021798
2017,108.70053475935856,101.08410256410252,1.3632011278195506,0.712241709401713,6815,6.697397236090723,95.7182,20.8,105.87384320605406,2.5999999999994543,75.241,-5.886166007904649
2018,110.23300229182587,102.48512820512815,1.3867543427534414,0.720640341880344,7231,6.714046853556447,96.2455,20.4,107.0477844620309,0.892857142856883,75.317,-8.169960474308027
2019,111.76546982429363,103.88615384615377,1.4103075576873252,0.7290389743589749,7658,6.730696471022178,96.7727,19.9,108.22172571800775,-0.814285714286143,78.21218936294565,-10.453754940711406
2020,113.29793735676094,105.2871794871794,1.433860772621209,0.7374376068376094,5446.337853107369,6.747346088487902,97.3,8.421883116883237,109.39566697398459,-2.5214285714287143,78.53171601402687,-12.737549407114784
