year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,21.34988540870927,21.225641025640925,0.22899999999999998,0.23351965811966124,1252,5.748369040544354,65.66359825174811,94.81942241968545,38.95919161536949,99.90714285714239,59.038999999999994,124.29011857707519
1961,22.882352941176578,22.62666666666655,0.237,0.24191829059829217,1273,5.765018658010078,66.19087167832174,93.37946343130534,40.133132871346334,98.19999999999982,59.72,122.00632411067181
1962,24.41482047364434,24.027692307692178,0.26899999999999996,0.25031692307692666,1387,5.781668275475802,66.71814510489514,91.93950444292523,41.307074127323176,96.49285714285679,60.387,119.72252964426934
1963,25.94728800611165,25.428717948717804,0.255,0.2587155555555576,1383,5.798317892941533,67.24541853146854,90.49954545454557,42.48101538330002,94.78571428571377,61.02,117.43873517786596
1964,27.47975553857941,26.82974358974343,0.321,0.2671141880341885,1403,5.814967510407257,67.77269195804195,86.3,43.65495663927686,93.0785714285712,61.581,115.15494071146259
1965,29.01222307104672,28.230769230769056,0.34700000000000003,0.275512820512823,1374,5.831617127872981,68.29996538461535,85.6,44.828897895253704,91.37142857142817,61.963,112.87114624505921
1966,30.544690603514482,29.631794871794682,0.49200000000000005,0.2839114529914539,1347,5.848266745338705,68.82723881118875,85.0,46.002839151231,89.6642857142856,62.037,110.58735177865583
1967,32.07715813598179,31.032820512820308,0.573,0.2923100854700884,1145,5.864916362804436,69.35451223776215,84.3,47.17678040720784,87.95714285714257,61.766999999999996,108.30355731225336
1968,33.60962566844955,32.433846153845934,0.573,0.30070871794871934,1096,5.88156598027016,69.88178566433555,83.7,48.350721663184686,86.24999999999955,61.18600000000001,106.01976284584998
1969,35.14209320091686,33.83487179487156,0.64,0.3091073504273538,1158,5.898215597735884,70.40905909090895,82.9,49.52466291916153,84.54285714285697,60.383,103.7359683794466
1970,36.67456073338417,35.23589743589764,0.649,0.31750598290598475,1152,5.914865215201608,70.93633251748258,82.1,50.69860417513837,82.83571428571395,59.563,101.45217391304323
