year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,share-of-peopleNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-36.370570570570635,-44.84786324786319,0.016,-0.16810294117646762,541,-7.275238053332714,-43.954736013985894,309.1858776443678,-32.215175533768615,280.2501142857145,38.419000000000004,148.0708249999998
1961,-34.407121407121394,-42.99623931623955,0.015,-0.15668235294117494,556,-6.94390596070798,-41.76382342657325,304.88408995616555,-31.132387691722215,275.2667785714275,39.082,145.66357029411756
1962,-32.443672243672154,-41.14461538461546,0.017,-0.14526176470588226,568,-6.612573868083359,-39.57291083916061,300.5823022679633,-30.049599849675815,270.2834428571423,39.711,143.25631558823534
1963,-30.480223080223368,-39.29299145299137,0.018000000000000002,-0.13384117647058602,630,-6.281241775458739,-37.38199825174797,296.28051457975926,-28.966812007629414,265.3001071428571,40.29,140.84906088235311
1964,-28.516773916774127,-37.44136752136774,0.017,-0.12242058823529334,648,-5.949909682834118,-35.19108566433533,291.978726891557,-27.88402416558256,260.3167714285719,40.81,138.4418061764709
1965,-26.553324753324887,-35.58974358974365,0.026000000000000002,-0.1109999999999971,672,-5.618577590209384,-33.00017307692269,287.6769392033548,-26.80123632353616,255.33343571428486,41.266999999999996,136.03455147058867
1966,-24.589875589875646,-33.73811965811956,0.032,-0.09957941176470442,684,-5.287245497584763,-30.809260489510052,246.1,-25.71844848148976,250.35009999999966,41.668,133.62729676470553
1967,-22.626426426426406,-31.886495726495923,0.040999999999999995,-0.08815882352941173,699,-4.9559134049601425,-28.618347902097412,245.9,-24.63566063944336,245.36676428571445,42.026,131.2200420588233
1968,-20.662977262977165,-30.034871794871833,0.064,-0.0767382352941155,696,-4.624581312335522,-26.42743531468477,245.3,-23.552872797396503,240.38342857142743,42.355,128.8127873529411
1969,-18.69952809952838,-28.183247863247743,0.06,-0.06531764705882281,706,-4.293249219710788,-24.23652272727213,245.0,-22.470084955350103,235.40009285714223,42.659,126.40553264705886
1970,-16.73607893607914,-26.331623931624108,0.057999999999999996,-0.05389705882352658,731,-3.961917127086167,-22.04561013985949,244.8,-21.387297113303703,230.41675714285702,42.943999999999996,123.99827794117664
1971,-14.772629772629898,-24.480000000000018,0.063,-0.042476470588233894,745,-3.6305850344615465,-19.85469755244685,244.2,-20.304509271257302,225.43342142857182,43.213,121.59102323529441
