year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,46.360360360360346,73.31281761716548,29.08484848484852,1.483,-1.7632351221170666,76.47930298719803,94.33772778056925,59.681999999999995
1961,47.18018018018006,73.72049689440996,28.661818181818262,1.442,-1.6803987230487678,75.41863442389786,94.45585941014616,60.038000000000004
1962,48.0,74.12817617165445,28.23878787878789,1.6,-1.5975623239804975,74.35796586059769,94.5739910397231,60.376999999999995
1963,48.81981981981971,74.53585544889893,27.81575757575763,1.685,-1.5147259249121987,73.29729729729752,94.6921226693,60.705
1964,49.639639639639654,74.94353472614353,27.392727272727257,1.858,-1.4318895258439,72.23662873399735,94.81025429887694,61.026
1965,50.45945945945937,75.35121400338801,26.969696969696997,2.411,-1.3490531267756012,71.17596017069718,94.92838592845388,61.346000000000004
1966,51.27927927927931,75.75889328063249,26.546666666666738,3.225,-1.2662167277073308,70.11529160739701,95.04651755803079,61.666000000000004
1967,52.09909909909902,76.16657255787698,26.123636363636365,3.792,-1.183380328639032,69.05462304409684,95.16464918760772,61.983999999999995
1968,52.91891891891896,76.57425183512146,25.700606060606106,4.031000000000001,-1.1005439295707333,67.99395448079667,95.28278081718463,62.299
1969,53.738738738738675,76.98193111236594,25.277575757575732,4.143,-1.0177075305024346,66.9332859174965,95.40091244676157,62.608999999999995
1970,54.558558558558616,77.38961038961043,24.854545454545473,4.336,-0.9348711314341358,65.87261735419634,95.51904407633847,62.911
1971,55.37837837837833,77.79728966685491,24.431515151515214,4.5889999999999995,-0.8520347323658655,64.81194879089617,95.63717570591541,63.199
1972,56.19819819819804,78.20496894409939,24.00848484848484,4.686,-0.7691983332975667,63.75128022759645,95.75530733549232,63.47
1973,57.01801801801798,78.61264822134387,23.58545454545458,5.728,-0.686361934229268,62.690611664296284,95.87343896506925,63.724
1974,57.8378378378377,79.02032749858847,23.162424242424322,4.382,-0.6035255351609692,61.629943100996115,95.99157059464616,63.964
1975,58.65765765765764,79.42800677583296,22.73939393939395,5.57,-0.5206891360926704,60.56927453769595,96.1097022242231,64.20100000000001
1976,59.47747747747735,79.83568605307744,22.31636363636369,5.535,-0.4378527370244001,59.50860597439578,96.2278338538,64.445
1977,60.29729729729729,80.24336533032192,21.893333333333317,5.263,10.09125098,58.44793741109561,96.34596548337694,64.704
1978,61.117117117117004,80.6510446075664,21.470303030303057,6.612,7.613497515,57.38726884779544,96.46409711295388,64.98100000000001
1979,61.936936936936945,81.05872388481089,21.047272727272798,6.324,-0.1893435398195038,56.32660028449527,96.58222874253079,65.274
1980,25,81.46640316205537,20.624242424242425,6.5329999999999995,-0.10650714075120504,55.2659317211951,96.70036037210772,65.575
1981,27,81.87408243929985,20.201212121212166,5.587000000000001,0.254883894,54.20526315789493,96.81849200168463,65.873
1982,61,82.28176171654434,19.778181818181793,5.1370000000000005,0.05916565738536406,53.144594594594764,96.93662363126157,66.154
1983,85,82.68944099378882,19.355151515151533,3.75,0.14200205645366282,56.9,97.05475526083848,66.40899999999999
1984,80,83.09712027103342,18.932121212121274,4.216,0.22483845552196158,55.0,97.17288689041541,66.631
1985,84,83.5047995482779,18.5090909090909,4.3069999999999995,0.3076748545902319,53.2,97.29101851999232,66.819
1986,80,83.91247882552238,18.08606060606064,4.67,0.3905112536585307,51.4,97.40915014956926,66.97800000000001
1987,71,84.32015810276687,17.663030303030382,4.587,0.47334765272682944,49.7,97.52728177914616,67.113
1988,64,84.72783738001135,17.24000000000001,4.803,8.772386502,48.1,97.6454134087231,67.233
1989,72,85.13551665725583,16.81696969696975,4.631,11.01851246,46.5,97.76354503830001,67.34100000000001
1990,83,85.54319593450032,16.393939393939377,4.343999999999999,0.7218568499316973,45.0,96.91288757,67.436
1991,75,85.9508752117448,15.970909090909117,4.937,2.78210988,43.5,97.23091888,67.51899999999999
1992,74,86.35855448898928,15.547878787878858,4.896,0.8875296480682948,41.9,97.54850006,67.59
1993,76,86.76623376623377,15.124848484848485,4.744,0.9703660471365936,40.5,97.8633728,67.64699999999999
1994,74,88.0,14.701818181818226,4.668,3.247174905,39.0,98.16674805,67.695
1995,84,88.0,14.278787878787853,4.643,1.096488469,37.5,98.46606445,67.73100000000001
1996,85,88.0,13.855757575757593,4.622,1.2743772740000001,36.1,98.75457764,67.753
1997,81,88.0,13.432727272727334,4.628,5.736491836,34.8,99.02975464,67.762
1998,90,88.0,13.00969696969696,4.571000000000001,1.5642012580000002,33.5,99.28979492,67.768
1999,85,89.0,12.586666666666702,4.561,1.4673844415463293,32.3,99.62406,67.781
2000,71,89.0,4.6,4.636,1.550220840614628,31.2,99.73986816,67.822
2001,68,90.0,16.7,4.961,4.553077415,30.1,99.89020538,67.913
