year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
2002,73,90.0,11.9,3.23,4.299944411,29.0,99.96929169,68.064
2003,75,91.0,12.3,3.154,6.010154543,28.1,99.99551392,68.28
2004,85,91.0,9.3,3.16,9.256031959,27.2,99.99984741,68.555
2005,83,92.0,13.8,3.187,4.570714921,26.5,100.0,68.877
2006,84,92.0,12.3,3.45,3.84213742,25.7,100.0,69.227
2007,84,93.0,8.8,3.4530000000000003,5.111487808,25.0,100.0,69.579
2008,85,93.0,8.3,3.766,4.143406525,24.3,100.0,69.91
2009,87,94.0,4.6,3.842,3.01369863,23.7,100.0,70.209
2010,96,94.0,7.933333333333394,4.562,5.168825162,23.1,100.0,70.465
2011,86,94.0,7.510303030303021,3.7060000000000004,5.849367784,22.5,100.0,70.676
2012,84,95.0,7.087272727272762,4.208,2.690350057,21.9,100.0,70.851
2013,86,95.0,6.6642424242423886,3.5389999999999997,2.93344123,21.3,100.0,71.002
2014,85,95.0,6.241212121212129,3.6319999999999997,0.363600629,20.8,100.0,71.133
2015,89,95.0,5.81818181818187,3.742,2.792766826639024,20.2,100.83496740730001,71.249
2016,91,96.14285714285722,5.395151515151497,3.761,2.875603225707323,19.6,100.95309903687695,71.358
2017,93.09009009009014,96.55053642010171,4.9721212121212375,4.404838345864663,2.9584396247756217,19.1,101.07123066645386,71.46300000000001
2018,93.90990990990986,96.95821569734619,4.549090909090978,4.413039668135857,3.041276023843892,18.5,101.1893622960308,71.57
2019,94.72972972972957,97.36589497459067,4.126060606060605,4.4212409904070515,3.124112422912191,18.0,101.3074939256077,72.12518468731741
2020,95.54954954954951,97.77357425183516,3.7030303030303457,4.429442312678249,3.2069488219804896,12.839189189189256,101.42562555518464,72.31262530683813
