year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,55.07207207207216,71.83760683760681,0.6868186813186821,0.45332991452991445,3.05,6.660375511711692,186.9,-74.00924110782353,47.919,93.061923076923
1961,55.83048838311993,72.01880341880343,0.6947350427350436,0.4536741880341879,3.11,1.864795166,186.2,-72.15140249873548,48.162,92.35234615384593
1962,56.58890469416792,72.19999999999999,0.7026514041514051,0.4540184615384615,3.17,15.33181432,186.4,-70.29356388964698,48.383,91.64276923076909
1963,57.34732100521569,72.38119658119655,0.7105677655677667,0.45436273504273494,3.23,10.61506999,187.2,-68.43572528055893,48.59,90.93319230769225
1964,58.105737316263685,72.56239316239316,0.7184841269841282,0.4547070085470084,3.29,8.251118125,188.0,-66.57788667147088,48.797,90.22361538461519
1965,58.86415362731145,72.74358974358972,0.7264004884004898,0.455051282051282,3.35,2.154105569,188.5,-64.72004806238238,49.015,89.51403846153835
1966,59.62256993835945,72.92478632478634,0.7343168498168513,0.45539555555555544,3.384,6.305885231471635,188.3,-62.86220945329433,49.254,88.80446153846128
1967,60.380986249407215,73.1059829059829,0.7422332112332128,0.455739829059829,3.418,10.91206152,187.1,-61.00437084420582,49.523,88.09488461538444
1968,61.13940256045521,73.28717948717946,0.7501495726495744,0.4560841025641025,3.452,6.187721804724944,185.0,-59.146532235117775,49.82899999999999,87.3853076923076
1969,61.89781887150298,73.46837606837607,0.7580659340659341,0.45642837606837594,3.486,1.547536693,182.0,-57.288693626029726,50.18,86.67573076923054
1970,62.65623518255097,73.64957264957263,0.7659822954822957,0.4567726495726495,3.52,2.177071167,178.4,-55.43085501694122,50.583999999999996,85.9661538461537
1971,63.41465149359874,73.83076923076919,0.7738986568986572,0.457116923076923,3.5660000000000003,5.113717712,174.4,-53.573016407853174,51.048,85.25657692307686
1972,64.17306780464673,74.01196581196581,0.7818150183150188,0.45746119658119655,3.612,5.951394951231578,170.4,-51.71517779876467,51.565,84.5469999999998
1973,64.93148411569473,74.19316239316237,0.7897313797313803,0.45780547008547,3.658,26.40488106,166.0,-49.85733918967662,52.129,83.83742307692296
1974,65.6899004267425,74.37435897435898,0.7976477411477418,0.4581497435897435,3.7039999999999997,10.98008895,161.0,-47.99950058058812,52.731,83.1278461538459
1975,66.44831673779049,74.55555555555554,0.8055641025641034,0.45849401709401705,3.75,5.774149811111556,155.5,-46.14166197150007,53.367,82.41826923076906
1976,67.20673304883826,74.7367521367521,0.8134804639804649,0.4588382905982905,3.7939999999999996,11.04912916,149.4,-44.28382336241202,54.03,81.70869230769222
1977,67.96514935988625,74.91794871794872,0.8213968253968265,0.4591825641025641,3.838,21.80903496,143.1,-42.42598475332352,54.708999999999996,80.99911538461515
1978,68.72356567093402,75.09914529914528,0.829313186813188,0.45952683760683755,3.8819999999999997,18.31687489,136.5,-40.56814614423547,55.39,80.28953846153831
1979,69.48198198198202,75.2803418803419,0.8372295482295495,0.459871111111111,3.926,2.893918778,129.8,-38.71030753514697,56.058,79.57996153846148
1980,56,75.46153846153845,0.8451459096459111,0.4602153846153846,3.97,5.478741244244844,123.3,-36.85246892605892,56.702,78.87038461538441
1981,56,75.64273504273501,0.8530622710622726,0.46055965811965804,3.9960000000000004,0.694638145,117.0,-34.99463031697087,57.318999999999996,78.16080769230757
1982,61,75.82393162393163,0.8609786324786342,0.4609039316239315,4.022,4.457204299,111.1,-33.13679170788237,57.901,77.4512307692305
1983,66,76.00512820512819,0.8688949938949957,0.4612482051282051,4.048,1.986164412,105.6,-31.278953098794318,58.437,76.74165384615367
1984,74,76.18632478632475,0.8768113553113555,0.46159247863247854,4.074,5.534898367,100.7,-29.421114489705815,58.91,76.03207692307683
1985,82,76.36752136752136,0.884727716727717,0.4619367521367521,4.1,2.610249028,96.6,-27.563275880617766,59.309,75.32249999999976
1986,81,76.54871794871792,0.8926440781440785,0.4622810256410256,4.148,4.684855816000001,93.0,-25.705437271529718,59.632,74.8
1987,79,76.72991452991454,0.9005604395604401,0.46262529914529904,4.196000000000001,0.729728182,90.1,-23.847598662441214,59.868,74.15
1988,80,76.9111111111111,0.9084768009768016,0.4629695726495726,4.244,8.601919868,87.8,-21.989760053353166,60.0,73.5
1989,81,77.09230769230766,0.9163931623931632,0.4633138461538461,4.292,5.795243867000001,86.1,-20.131921444264663,60.003,72.85
1990,82,77,0.9159999999999999,0.493,4.34,6.0454742260000005,85.2,-18.274082835176614,59.836999999999996,72.2
1991,84,78,0.9359999999999999,0.488,4.39,6.966606861,85.0,-16.41624422608811,59.464,71.55
1992,85,78,0.9540000000000001,0.483,4.44,6.95636505,85.8,-14.558405617000062,58.868,70.9
