year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,39.82769230769213,26.652173913043498,23.862500000000068,1.5,0.5226153846153845,3893.4877110694215,-22.16292765696494,185.69126501664505,93.43447526538463,-3.099900000000048,50.613,122.17254901960769
1961,40.86615384615379,27.51284584980226,23.402647058823504,1.496,0.5240615384615381,3863.2513133208267,-21.583738035725673,183.0081777391806,93.5553677683231,-2.8332357142857063,50.927,120.0450980392161
1962,41.90461538461523,28.37351778656125,22.942794117647054,1.516,0.5255076923076922,3833.0149155722393,-21.004548414486635,180.32509046171617,93.67626027126158,-2.5665714285714785,51.236999999999995,117.9176470588236
1963,42.94307692307689,29.234189723320014,22.482941176470604,1.57,0.5269538461538459,3802.7785178236445,-20.425358793247597,177.64200318425264,93.79715277420004,-2.299907142857137,51.544,115.79019607843111
1964,43.98153846153832,30.094861660079005,22.023088235294153,1.611,0.5284,3772.5421200750498,-19.84616917200833,174.9589159067882,93.9180452771385,-2.033242857142909,51.851000000000006,113.66274509803952
1965,45.01999999999998,30.955533596837768,21.563235294117703,1.6480000000000001,0.5298461538461536,3742.305722326455,-19.266979550769292,172.27582862932377,94.03893778007696,-1.7665785714285676,52.166000000000004,111.53529411764703
1966,46.058461538461415,31.816205533596758,21.103382352941253,1.682,0.5312923076923073,3712.0693245778675,-18.687789929530254,169.59274135185933,94.15983028301542,-1.4999142857143397,52.496,109.40784313725544
1967,47.096923076923076,32.67687747035575,20.64352941176469,1.702,0.5327384615384614,3681.8329268292728,-18.10860030829099,166.9096540743958,94.28072278595388,-1.2332499999999982,52.845,107.28039215686294
1968,48.13538461538451,33.53754940711451,20.18367647058824,1.694,0.534184615384615,3651.596529080678,-17.52941068705195,164.22656679693137,94.40161528889234,-0.9665857142857703,53.214,105.15294117647045
1969,49.17384615384617,34.3982213438735,19.72382352941179,1.7080000000000002,0.5356307692307691,3621.3601313320905,-16.95022106581291,161.54347951946693,94.5225077918308,-0.6999214285714288,53.602,103.02549019607886
1970,50.212307692307604,35.258893280632265,19.26397058823534,1.7409999999999999,0.5370769230769228,3591.123733583496,-16.371031444573646,158.8603922420034,94.64340029476926,-0.43325714285720096,54.007,100.89803921568637
1971,51.25076923076904,36.119565217391255,18.804117647058888,1.791,0.5385230769230769,3560.887335834901,-15.791841823334607,156.17730496453896,94.76429279770772,-0.16659285714285943,54.427,98.77058823529387
1972,52.2892307692307,36.98023715415002,18.344264705882324,1.8319999999999999,0.5399692307692305,3530.6509380863063,-15.212652202095569,154.7,94.88518530064619,0.10007142857136841,54.852,96.64313725490229
1973,53.32769230769236,37.84090909090901,17.884411764705874,1.855,0.5414153846153846,3500.414540337719,-14.633462580856303,149.2,95.00607780358465,0.36673571428570995,55.272,94.51568627450979
1974,54.36615384615379,38.701581027668,17.424558823529424,1.8719999999999999,0.5428615384615383,3470.178142589124,-14.054272959617265,144.3,95.1269703065231,0.6333999999999378,55.675,92.3882352941182
1975,55.40461538461523,39.56225296442676,16.964705882352973,1.911,0.5443076923076919,3439.9417448405293,-13.475083338378226,140.0,95.24786280946157,0.9000642857142793,56.043,90.26078431372571
1976,56.44307692307666,40.42292490118575,16.504852941176523,1.93,0.545753846153846,3409.7053470919345,-12.895893717139188,136.2,95.36875531240003,1.1667285714285072,56.354,88.13333333333321
1977,57.48153846153855,41.283596837944515,16.045000000000073,1.9409999999999998,0.5471999999999997,3379.468949343347,-12.316704095899922,133.2,95.48964781533849,1.4333928571428487,56.604,86.00588235294163
1978,58.51999999999998,42.144268774703505,15.585147058823509,1.952,0.5486461538461538,3349.2325515947523,-11.737514474660884,131.0,95.61054031827695,1.7000571428570765,56.8,83.87843137254913
1979,59.558461538461415,43.00494071146227,15.125294117647059,1.913,0.5500923076923074,3318.9961538461575,-11.158324853421846,129.7,95.7314328212154,1.966721428571418,56.95399999999999,81.75098039215663
1980,60.59692307692285,43.86561264822126,14.665441176470608,1.933,0.5515384615384615,4329.0,-10.57913523218258,129.1,95.85232532415387,2.233385714285646,57.108000000000004,79.62352941176505
1981,61.63538461538474,44.72628458498025,14.205588235294158,1.84,0.5529846153846152,4236.0,-9.999945610943541,128.7,95.97321782709233,2.5000499999999874,57.31399999999999,77.49607843137255
1982,62.67384615384617,45.58695652173901,13.745735294117708,1.824,0.5544307692307688,4142.0,-9.420755989704503,127.9,96.09411033003079,2.7667142857142153,57.602,75.36862745098006
1983,63.712307692307604,46.447628458498,13.285882352941258,1.794,0.5558769230769229,4180.0,-8.841566368465237,126.3,96.21500283296925,3.033378571428557,57.975,73.24117647058847
1984,64.75076923076904,47.308300395256765,12.826029411764694,1.756,0.5573230769230766,4121.0,-8.262376747226199,123.3,96.33589533590771,3.3000428571427847,58.413000000000004,71.11372549019597
1985,65.78923076923047,48.168972332015755,12.366176470588243,1.8359999999999999,0.5587692307692307,4041.0,-7.6831871259871605,119.3,96.45678783884617,3.566707142857126,58.847,68.98627450980439
1986,66.82769230769236,49.02964426877452,11.906323529411793,1.781,0.5602153846153843,4007.0,3.499999873,114.3,96.57768034178463,3.833371428571354,59.183,66.8588235294119
1987,67.8661538461538,49.89031620553351,11.446470588235343,1.796,0.5616615384615384,3798.0,-6.524807883508856,109.1,96.69857284472312,4.100035714285696,59.355,64.7313725490194
1988,68.90461538461523,50.7509881422925,10.986617647058893,1.788,0.5631076923076921,4156.0,13.90000109,104.8,96.81946534766158,4.366699999999923,59.335,62.60392156862781
1989,69.94307692307666,51.61166007905126,10.526764705882329,1.699,0.5645538461538457,3739.0,-5.366428641030552,102.2,96.94035785060004,4.633364285714265,59.138000000000005,60.476470588235316
1990,70.98153846153855,52.47233201581025,10.066911764705878,1.554,0.616,3618.0,-4.787239019791514,101.9,96.79184723,4.900028571428493,58.824,58.34901960784282
1991,72.01999999999998,53.333003952569015,9.607058823529428,1.465,0.6079,3228.0,-4.208049398552475,104.8,96.98592377,5.166692857142834,58.48,56.221568627451234
1992,72.0,54.193675889328006,9.147205882352978,1.328,0.5998,2149.0,-3.6288597773132096,109.4,97.17955017,5.433357142857062,58.211999999999996,54.09411764705874
1993,64.0,58.0,8.687352941176528,0.924,0.5917,1894.0,-3.0496701560741712,113.0,97.37046814,5.700021428571404,58.104,51.96666666666715
1994,81.0,58.0,8.227500000000077,0.41600000000000004,0.5836,1473.0,-2.470480534835133,113.6,97.55597687,5.9666857142856315,58.192,49.839215686274656
1995,80.0,58.0,7.5,0.425,0.5755,1273.0,-1.891290913595867,111.5,97.73336792,6.233349999999973,58.497,47.71176470588216
1996,75.0,57.0,8.3,0.48200000000000004,0.5674,1199.0,-1.3121012923568287,107.5,97.89994049,6.500014285714315,59.003,45.584313725490574
1997,81.0,57.0,8.4,0.36200000000000004,0.5593,1198.0,1.6999958,102.3,98.05297852,6.7666785714285425,59.65,43.45686274509808
1998,79.0,58.0,8.1,0.415,0.5512,1237.0,5.300000768,96.3,98.18978119,7.033342857142884,60.379,41.32941176470558
1999,82.0,59.0,5.8,0.41200000000000003,0.5431,1256.0,3.699999673,90.0,97.0,7.3,61.161,54.4
2000,83.0,60.0,4.6,0.36,0.535,1334.0,8.300001012000001,83.6,98.41266632,7.5667,61.974,48.5
2001,85.0,61.0,3.7,0.36200000000000004,0.5423,1445.0,10.20000105,77.2,98.50544739,7.8333,62.806999999999995,42.6
2002,85.0,62.0,2.9,0.292,0.5496,1549.0,10.79999992,71.1,99.0,8.1,63.653,36.7
2003,85.0,63.0,2.6,0.315,0.5569,1676.0,10.99999711,65.4,100.0,8.3667,64.49600000000001,30.8
2004,86.0,64.0,2.2,0.381,0.5642,1821.0,10.30000171,60.4,98.75592041,8.6333,65.314,15.4
2005,84.0,65.0,2.4,0.35600000000000004,0.5715,1907.0,6.699997057,55.8,99.3,8.9,66.08,13.7
2006,83.0,66.0,4.3,0.38,0.5788,2002.0,7.000001895,52.0,98.93865967,9.166657142857161,66.771,12.0
2007,86.0,67.0,2.3,0.452,0.5861,2118.0,7.800001344,48.9,99.04550934,9.43332142857139,67.382,10.3
2008,86.0,68.0,1.8,0.397,0.5934,2242.0,7.899997831,46.4,99.16286469,9.69998571428573,67.911,7.5
2009,93.0,69.0,2.1,0.32799999999999996,0.6007,2286.0,3.8000009919999997,44.5,99.0,9.966649999999959,68.36,4.7
2010,93.0,70.0,2.1,0.332,0.608,2390.0,6.500000353,42.9,99.42206573,10.2333142857143,68.736,11.3
2011,96.0,71.0,0.41000000000008185,0.301,0.613,2520.0,7.399999383,41.6,99.56041718,10.499978571428528,69.055,17.9
2012,94.0,72.0,-0.04985294117648209,0.366,0.617,2660.0,7.499999169,40.6,99.1,10.76664285714287,69.34,24.5
2013,96.0,73.0,-0.5097058823529323,0.426,0.622,2805.0,7.40000057,39.6,99.84586334,11.033307142857097,69.609,22.6
2014,97.0,74.0,-0.9695588235293826,0.619,0.625,2941.0,6.69925066,38.7,99.98976135,11.299971428571439,69.874,19.5
2015,96.0,74.0,-1.4294117647058329,0.626,0.627,3064.0,6.0,37.7,100.08356292700003,11.566635714285667,70.137,4.7
2016,96.0,74.8498023715415,-1.8892647058822831,0.625,0.6035999999999997,3220.0,6.900001455,36.8,100.20445542993849,11.833300000000008,70.39699999999999,3.0352941176470267
2017,99.01999999999998,75.71047430830026,-2.349117647058847,0.2289147869674082,0.6050461538461538,3393.0,10.850880753664569,35.8,100.32534793287695,12.099964285714236,70.64699999999999,0.907843137254531
2018,100.05846153846142,76.57114624505925,-2.8089705882352973,0.19590519401951667,0.6064923076923074,3573.0,11.430070374903607,34.8,100.44624043581541,12.366628571428578,70.87899999999999,-1.2196078431370552
2019,101.09692307692285,77.43181818181802,-3.2688235294117476,0.16289560107163936,0.6079384615384611,3746.0,12.009259996142873,33.8,100.56713293875387,12.633292857142806,70.1504675628288,-3.347058823529551
2020,102.13538461538474,78.292490118577,-3.728676470588198,0.12988600812374784,0.6093846153846152,2079.3038461538526,12.588449617381912,24.70602836879425,100.68802544169233,12.899957142857147,70.49125885447108,-5.474509803921137
