year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,homicide-rate-pNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,-21.96396396396358,35.56752136752107,1.8197802197802204,0.008,0.14690769230769085,0.08,2.5659178937318217,322.6,-126.95057122722665,58.74403727051458,35.583,174.21247499999936
1961,-19.755808440018882,36.59760683760669,1.8461538461538467,0.008,0.15448769230769166,0.1,1.9082659690000001,318.6,-123.0700969354184,58.40867637882343,35.941,171.11968147058815
1962,-17.547652916073275,37.62769230769209,1.872527472527473,0.009000000000000001,0.1620676923076907,0.12,1.9103200340000002,314.0,-119.18962264361016,58.07331548713228,36.357,168.02688794117603
1963,-15.339497392128578,38.65777777777748,1.8989010989010993,0.009000000000000001,0.1696476923076915,0.14,1.8951116430000001,308.5,-115.30914835180192,57.737954595441124,36.828,164.93409441176482
1964,-13.131341868183881,39.687863247863106,1.9252747252747255,0.013999999999999999,0.17722769230769053,0.16,7.532448552999999,302.5,-111.42867405999368,57.40259370374997,37.346,161.8413008823527
1965,-10.923186344238275,40.7179487179485,1.9516483516483518,0.016,0.18480769230769134,0.18,2.7583165918584456,296.1,-107.54819976818544,57.067232812058705,37.903,158.74850735294058
1966,-8.715030820293578,41.7480341880339,1.978021978021978,0.017,0.19238769230769037,0.212,7.040643143,289.8,-103.6677254763772,56.73187192036755,38.486999999999995,155.65571382352937
1967,-6.5068752963488805,42.77811965811952,2.0043956043956044,0.019,0.19996769230769118,0.244,2.8352760711090923,283.0,-99.78725118456896,56.3965110286764,39.086999999999996,152.56292029411725
1968,-4.298719772403274,43.80820512820492,2.0307692307692307,0.022000000000000002,0.207547692307692,0.276,0.675483464,276.6,-95.90677689276072,56.06115013698525,39.691,149.47012676470604
1969,-2.090564248458577,44.838290598290314,2.057142857142857,0.034,0.21512769230769102,0.308,4.463421601,270.4,-92.02630260095248,55.725789245294095,40.291,146.37733323529392
1970,0.11759127548612014,45.86837606837594,2.083516483516483,0.019,0.22270769230769183,0.34,2.575992126,264.6,-88.14582830914424,55.39042835360283,40.881,143.2845397058818
1971,2.3257467994317267,46.89846153846133,2.1098901098901095,0.016,0.23028769230769086,0.37,2.9891950296103857,258.9,-84.265354017336,55.055067461911676,41.457,140.1917461764706
1972,4.533902323376424,47.92854700854673,2.136263736263736,0.022000000000000002,0.23786769230769167,0.4,3.117800363,253.5,-80.38487972552775,54.719706570220524,42.023999999999994,137.09895264705847
1973,6.742057847321121,48.95863247863235,2.162637362637362,0.033,0.2454476923076907,0.43,3.0661545088610467,248.2,-76.50440543371951,54.38434567852937,42.588,134.00615911764726
1974,8.950213371266727,49.98871794871775,2.1890109890109883,0.033,0.2530276923076915,0.46,6.333590373,242.8,-72.62393114191127,54.04898478683822,43.151,130.91336558823514
1975,11.158368895211424,51.018803418803145,2.2153846153846146,0.026000000000000002,0.26060769230769054,0.49,1.4564707080000001,237.5,-68.74345685010303,53.71362389514695,43.718,127.82057205882302
1976,13.366524419156121,52.04888888888877,2.241758241758241,0.021,0.26818769230769135,0.526,4.39853618,232.0,-64.86298255829479,53.3782630034558,44.294,124.72777852941181
1977,15.574679943101728,53.078974358974165,2.268131868131867,0.024,0.2757676923076904,0.562,3.016973441,226.4,-60.98250826648655,53.04290211176465,44.885,121.63498499999969
1978,17.782835467046425,54.10905982905956,2.2945054945054935,0.023,0.2833476923076912,0.598,4.40574139,220.3,-57.10203397467831,52.707541220073495,45.493,118.54219147058848
1979,19.990990990991122,55.139145299145184,2.3208791208791197,0.035,0.290927692307692,0.634,2.368877794,214.2,-53.221559682869156,52.37218032838223,46.123999999999995,115.44939794117636
1980,8,56.16923076923058,2.347252747252746,0.036000000000000004,0.29850769230769103,0.67,3.3355126862383173,207.8,-49.341085391060915,52.036819436691076,46.776,112.35660441176424
1981,16,57.199316239315976,2.3736263736263723,0.03,0.30608769230769184,0.762,8.341974133999999,201.3,-45.460611099252674,51.70145854499992,47.45,109.26381088235303
1982,18,58.2294017094016,2.3999999999999986,0.027999999999999997,0.31366769230769087,0.8540000000000001,3.7793746539999997,194.9,-41.58013680744443,51.36609765330877,48.141999999999996,106.17101735294091
