year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1974,-7.163584637269196,77.46153846153834,0.444,0.2282082051282064,2572,0.73,11.44528914,152.2,26.46673610836922,-4.598189913845317,53.43
1975,-4.522759601706639,76.87076923076916,0.319,0.23472991452991465,2811,0.76,15.71346645,151.2,26.773572629184628,-3.892089649809577,53.638000000000005
1976,-1.8819345661449915,76.27999999999997,0.273,0.2412516239316247,3225,0.828,16.66521974,150.1,27.080409150000037,-3.185989385773837,53.806999999999995
1977,0.7588904694166558,75.68923076923079,0.268,0.24777333333333473,3600,0.8959999999999999,6.223853782000001,148.9,27.387245670815332,-2.479889121738097,53.946000000000005
1978,3.399715504978303,75.0984615384616,0.233,0.254295042735043,3422,0.9640000000000001,3.2804336350227175,147.8,27.69408219163074,-1.7737888577023568,54.06100000000001
1979,6.04054054054086,74.5076923076922,0.23399999999999999,0.26081675213675304,2955,1.032,3.344681293603884,146.7,28.00091871244615,-1.0676885936666167,54.161
1980,1,73.91692307692301,0.23600000000000002,0.2673384615384631,2877,1.1,1.524310148,145.8,28.30775523326156,-0.3615883296308766,54.253
1981,1,73.32615384615383,0.222,0.27386017094017134,2842,1.188,7.437563655,144.8,28.61459175407697,0.3445119344048635,54.342
1982,2,72.73538461538465,0.226,0.2803818803418814,3097,1.276,5.9586664339999995,143.8,28.921428274892264,1.0506121984406036,54.435
1983,3,72.14461538461546,0.222,0.2869035897435914,2960,1.364,2.0625016940000003,142.7,29.228264795707673,1.7567124624761163,54.534
1984,4,71.55384615384605,0.193,0.2934252991452997,2722,1.452,3.6659195865097303,141.5,29.535101316523082,2.4628127265118565,54.645
1985,8,70.96307692307687,0.217,0.29994700854700973,2467,1.54,3.7301672450908967,140.1,29.84193783733849,3.1689129905475966,54.768
1986,14,70.37230769230769,0.21899999999999997,0.306468717948718,2494,1.614,5.413811012,138.5,30.148774358153787,3.8750132545833367,54.901
1987,27,69.7815384615385,0.168,0.31299042735042804,2497,1.6880000000000002,14.2208846,136.8,30.455610878969196,4.581113518619077,55.038999999999994
1988,40,69.19076923076909,0.235,0.3195121367521381,2485,1.7619999999999998,3.92291022083441,134.8,30.762447399784605,5.287213782654817,55.181999999999995
1989,60,68.59999999999991,0.177,0.32603384615384634,2623,1.8359999999999999,8.931393687,132.7,31.069283920600014,5.993314046690557,55.333999999999996
1990,62,67.0,0.237,0.331,2347,1.91,4.051405537996743,130.6,32.8,6.699414310726297,55.5
1991,62,68.0,0.214,0.3378,2430,1.97,7.510910626,128.4,31.474304200000002,7.40551457476181,55.687
1992,53,67.0,0.185,0.3446,2495,2.03,6.577861385,126.1,31.85633087,8.11161483879755,55.898999999999994
1993,51,67.0,0.12300000000000001,0.3514,2522,2.09,4.56874919,123.7,32.23564911,8.81771510283329,56.14
1994,46,66.0,0.163,0.3582,2497,2.15,1.006228243,121.3,32.60955811,9.52381536686903,56.41
1995,48,66.0,0.163,0.365,2595,2.21,5.99709232,118.7,32.97534943,10.22991563090477,56.708999999999996
1996,56,65.0,0.16399999999999998,0.3718,2695,2.26,5.919124758,116.0,33.33031845,10.93601589494051,57.032
1997,55,64.0,0.195,0.3786,2921,2.31,10.56673631,113.1,33.67175674,11.64211615897625,57.373999999999995
1998,46,63.0,0.165,0.3854,2987,2.36,4.308504104,110.1,33.99695969,12.34821642301199,57.73
1999,55,63.0,0.17600000000000002,0.3922,3020,2.41,3.10409568,106.9,34.3043251,13.05431668704773,58.096000000000004
2000,62,62.0,0.18600000000000003,0.39899999999999997,3148,2.46,6.345867769,103.5,34.59664917,19.13425,58.472
2001,66,61.0,0.209,0.4054,3287,2.494,6.500360421,100.2,34.87782669,18.305,58.858999999999995
2002,60,61.0,0.259,0.4118,3430,2.528,6.427273901,96.8,35.151760100000004,17.4757,59.258
2003,69,60.0,0.282,0.4182,3623,2.562,7.734591717000001,93.6,35.42235184,16.6464,59.67
2004,74,59.0,0.348,0.4246,3690,2.596,3.8833072910000004,90.4,35.69349289,15.8171,60.092
2005,78,59.0,0.325,0.431,3888,2.63,7.489738142,87.6,35.96908569,14.9878,60.525
2006,78,58.0,0.348,0.4374,4196,2.66,10.064308,84.8,36.25303268,14.1586,60.968999999999994
2007,84,57.0,0.401,0.4438,4587,2.69,11.52191003,82.2,36.54828262,13.3293,61.422
2008,86,56.0,0.414,0.4502,4845,2.72,7.801963334,79.8,36.85403442,12.5,61.879
2009,81,56.0,0.423,0.4566,4895,2.75,3.2418475719999997,77.6,29.0,15.5092,62.33
2010,90,55.0,0.425,0.46299999999999997,4978,2.78,3.469335093,75.4,37.49003601,18.5183,62.763999999999996
2011,93,55.0,0.408,0.46799999999999997,4901,2.9770117647058782,5.400606368201295,73.4,37.81678772,21.5275,63.17100000000001
2012,92,56.0,0.406,0.478,4280,3.0326208144796425,0.521559267,71.5,38.14703751,24.5367,63.542
2013,93,56.0,0.42,0.485,4478,3.0882298642533925,4.394711132,69.6,38.47903824,27.5459,63.875
2014,94,56.0,0.40700000000000003,0.488,4676,3.1438389140271568,2.679411813,67.7,44.9,30.55503199,64.169
2015,93,53.24000000000001,0.4,0.49,4746,3.199447963800907,4.906045175,65.9,39.04703346179997,24.351920911619118,64.429
2016,93,52.649230769230826,0.40399999999999997,0.5021200000000015,4819,3.255057013574657,4.668834704,64.1,39.35386998261538,25.058021175654858,64.663
2017,106.39189189189165,52.058461538461415,0.3271817042606515,0.5086417094017097,4790,3.310666063348421,5.786092319688294,62.2,39.66070650343079,25.764121439690598,64.881
2018,109.0327169274533,51.46769230769223,0.3288546365914784,0.5151634188034198,4619,3.366275113122171,5.85033997826946,60.3,39.9675430242462,26.47022170372611,65.095
2019,111.67354196301585,50.87692307692305,0.3305275689223057,0.5216851282051298,4500,3.4218841628959353,5.914587636850655,58.4,40.27437954506149,27.17632196776185,64.40249853886615
2020,114.3143669985775,50.286153846153866,0.3322005012531326,0.5282068376068381,4327.0779661017,3.4774932126696854,5.978835295431821,61.30423728813548,40.5812160658769,27.88242223179759,64.66874962010519
