year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled
1960,-44.13513513513499,85.73230769230759,0.166,0.1369042735042747,3162,0.4,2.123975780561679,176.0,22.17102481695383,-14.483593610345224,48.193999999999996
1961,-41.49431009957334,85.1415384615384,0.163,0.14342598290598474,3077,0.418,0.022391334,173.1,22.47786133776924,-13.777493346309484,48.618
1962,-38.85348506401169,84.55076923076922,0.17,0.149947692307693,3202,0.436,6.915842154,170.4,22.78469785858465,-13.071393082273744,49.035
1963,-36.212660028449136,83.96000000000004,0.187,0.15646940170940304,3027,0.45399999999999996,2.3167187563051925,167.9,23.091534379399945,-12.365292818238004,49.446000000000005
1964,-33.57183499288749,83.36923076923063,0.2,0.1629911111111113,2917,0.47200000000000003,2.380966414886359,165.6,23.398370900215355,-11.659192554202264,49.852
1965,-30.93100995732584,82.77846153846144,0.253,0.16951282051282135,3041,0.49,6.777074073,163.4,23.705207421030764,-10.953092290166751,50.257
1966,-28.290184921764194,82.18769230769226,0.267,0.1760345299145314,2925,0.514,2.509461732048692,161.4,24.012043941846173,-10.24699202613101,50.663000000000004
1967,-25.649359886201637,81.59692307692308,0.313,0.18255623931623965,2758,0.5379999999999999,1.424081282,159.7,24.318880462661582,-9.54089176209527,51.068999999999996
1968,-23.00853485063999,81.0061538461539,0.295,0.1890779487179497,2850,0.562,1.963220824,158.2,24.625716983476877,-8.83479149805953,51.468999999999994
1969,-20.367709815078342,80.41538461538448,0.385,0.19559965811965974,2946,0.586,1.389350492,156.9,24.932553504292287,-8.12869123402379,51.86
1970,-17.726884779516695,79.8246153846153,0.433,0.202121367521368,2744,0.61,5.925074714,155.8,25.239390025107696,-7.42259096998805,52.233999999999995
1971,-15.086059743954138,79.23384615384612,0.429,0.20864307692307804,2852,0.64,2.2473141009999997,154.9,25.546226545923105,-6.71649070595231,52.583
1972,-12.44523470839249,78.64307692307693,0.449,0.21516478632478808,2712,0.67,2.8949476835357046,154.0,25.8530630667384,-6.01039044191657,52.901
1973,-9.804409672830843,78.05230769230775,0.43799999999999994,0.22168649572649635,2408,0.7,0.6321952510000001,153.1,26.15989958755381,-5.30429017788083,53.184
