year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,life-expectancyNotFilledFilled
1960,62.82882882882882,71.0,0.47600000000000003,0.6458735042735051,0.65,112.35220055915215,278.4,102.53846675056923,42.608999999999995
1961,63.553816974869505,71.0,0.794,0.6477167521367528,0.7140000000000001,109.86090914406759,260.3,102.46258335934613,44.211000000000006
1962,64.27880512091042,71.0,0.677,0.6495600000000006,0.778,107.36961772898394,243.2,102.38669996812305,45.833
1963,65.0037932669511,71.0,0.9079999999999999,0.6514032478632488,0.8420000000000001,104.87832631390029,227.4,102.31081657689998,47.415
1964,65.7287814129918,71.0,0.396,0.6532464957264965,0.9059999999999999,102.38703489881573,212.1,102.23493318567691,48.913999999999994
1965,66.45376955903271,71.0,0.583,0.6550897435897443,0.97,99.89574348373208,197.5,102.15904979445384,50.303000000000004
1966,67.1787577050734,71.0,1.4580000000000002,0.656932991452992,1.062,97.40445206864842,183.8,102.08316640323076,51.581
1967,67.90374585111431,71.0,9.841000000000001,0.6587762393162402,1.1540000000000001,94.91316065356386,170.6,102.00728301200769,52.778
1968,68.628733997155,71.0,15.370999999999999,0.6606194871794879,1.246,92.42186923848021,158.3,101.93139962078459,53.92100000000001
1969,69.35372214319568,71.0,17.379,0.6624627350427357,1.338,89.93057782339656,146.7,101.85551622956152,55.011
1970,70.0787102892366,71.0,15.144,0.6643059829059834,1.43,87.43928640831291,135.9,101.77963283833844,56.052
1971,70.80369843527728,71.0,9.708,0.6661492307692316,1.5319999999999998,84.94799499322835,125.8,101.70374944711537,57.04600000000001
1972,71.5286865813182,71.0,6.539,0.6679924786324793,1.6340000000000001,82.4567035781447,116.9,101.6278660558923,57.995
1973,72.25367472735888,71.0,5.997999999999999,0.6698357264957271,1.736,79.96541216306105,108.6,101.55198266466923,58.902
1974,72.97866287339957,71.0,3.682,0.6716789743589748,1.838,77.47412074797649,101.2,101.47609927344615,59.77
1975,73.70365101944049,71.0,4.374,0.673522222222223,1.94,74.98282933289283,94.6,101.40021588222305,60.6
1976,74.42863916548117,71.0,6.497999999999999,0.6753654700854708,2.07,72.49153791780918,88.7,101.32433249099998,61.393
1977,75.15362731152209,71.0,7.011,0.6772087179487185,2.2,70.00024650272553,83.4,101.2484490997769,62.15
1978,75.87861545756277,71.0,7.122999999999999,0.6790519658119663,2.33,67.50895508764097,78.7,101.17256570855383,62.869
1979,76.60360360360346,71.0,8.399,0.6808952136752144,2.46,65.01766367255732,74.4,101.09668231733076,63.548
1980,60,71.0,8.349,0.6827384615384622,2.59,62.52637225747367,70.5,101.02079892610769,64.185
1981,67,71.0,8.6,0.6845817094017099,2.718,60.03508084238911,66.9,100.94491553488461,64.771
1982,72,71.0,8.832,0.6864249572649581,2.846,57.543789427305455,63.5,100.86903214366151,65.306
1983,79,71.0,8.407,0.6882682051282059,2.9739999999999998,55.052498012221804,60.3,100.79314875243844,65.793
1984,81,71.0,7.632999999999999,0.6901114529914536,3.102,52.56120659713815,57.3,100.71726536121537,66.235
1985,81,71.0,8.103,0.6919547008547013,3.23,50.06991518205359,54.4,100.6413819699923,66.64399999999999
1986,82,71.0,8.519,0.6937979487179495,3.3339999999999996,47.57862376696994,51.6,100.56549857876922,67.03
1987,82,71.0,7.917999999999999,0.6956411965811973,3.438,45.08733235188629,48.9,100.48961518754615,67.405
1988,84,71.0,8.618,0.697484444444445,3.542,42.59604093680173,46.4,100.41373179632308,67.775
1989,87,71.0,8.613999999999999,0.6993276923076928,3.6460000000000004,40.10474952171808,44.0,100.33784840509998,68.141
1990,84,71.0,8.283,0.6809999999999999,3.75,37.613458106634425,41.7,100.0,68.503
1991,87,71.0,9.425,0.6861,3.8139999999999996,35.122166691550774,39.6,99.99752808,68.85
1992,90,71.0,8.005,0.6912,3.878,32.63087527646621,37.7,99.99284363,69.175
1993,96,71.0,8.185,0.6963,3.9419999999999997,30.13958386138256,35.9,99.98412323,69.469
1994,95,71.0,9.083,0.7014,4.006,27.64829244629891,34.5,99.96951294,69.732
1995,95,71.0,9.291,0.7065,4.07,25.15700103121435,33.1,99.94670868,69.965
1996,96,71.0,8.761000000000001,0.7116,4.13,22.665709616130698,31.9,99.91309357,70.169
1997,96,71.0,8.782,0.7167,4.19,20.174418201047047,30.8,99.86615753,70.352
1998,95,71.0,8.746,0.7218,4.25,17.683126785963395,29.8,99.80407715,70.52199999999999
1999,94,71.0,8.453,0.7269,4.31,15.191835370878835,28.9,99.72649384,70.684
2000,94,71.0,8.791,0.732,4.37,3.679213293,28.1,99.8,70.852
2001,94,71.0,8.834,0.7344,4.412,10.209252540711532,27.3,99.53245544,71.038
2002,93,71.0,8.646,0.7368,4.454,7.717961125626971,26.4,99.42275238,71.244
2003,95,71.0,8.748,0.7392,4.496,13.01600108,25.5,99.30970001,71.46600000000001
2004,97,71.0,8.821,0.7416,4.538,4.461629982,24.4,99.19718933,71.693
2005,98,71.0,8.988999999999999,0.7440000000000001,4.58,11.87072893,23.1,99.08895111,71.902
2006,98,71.0,9.051,0.7464,4.614,6.500547227,21.7,98.98812866,72.063
2007,98,71.0,8.361,0.7488,4.648,6.352316994,20.2,98.89662170000001,72.155
2008,98,71.0,9.247,0.7512,4.6819999999999995,2.66735579,18.8,98.81468964,72.17399999999999
2009,98,71.0,9.464,0.7536,4.716,-9.721078779960408,17.6,98.74132538,72.12899999999999
2010,98,71.0,10.035,0.7559999999999999,4.75,5.021289739,16.6,98.67494202,72.044
2011,98,71.0,6.405,0.706,5.329843137254898,-14.70366161012771,17.5,98.61381531,71.956
2012,98,71.0,8.493,0.735,5.421073906485674,-17.19495302521227,15.1,98.55625153,71.90100000000001
2013,96,71.0,9.074,0.73,5.51230467571645,-19.686244440295923,14.4,98.50071716,71.907
2014,94,71.0,9.179,0.7190000000000001,5.603535444947198,-22.177535855379574,13.8,98.44602966,71.98100000000001
2015,97,71.0,9.512,0.716,5.6947662141779745,-24.668827270463225,13.3,98.3648802333,72.12100000000001
2016,97,71.0,9.567,0.7490953846153854,5.785996983408751,-27.160118685547786,12.8,98.28899684207693,72.311
2017,104.1531531531532,71.0,10.219240601503742,0.7509386324786331,5.877227752639527,-29.651410100631438,12.4,98.21311345085383,72.52
2018,104.87814129919389,71.0,10.302914959813307,0.7527818803418809,5.9684585218703035,-32.14270151571509,11.9,98.13723005963075,72.72399999999999
2019,105.60312944523457,71.0,10.386589318122873,0.7546251282051286,6.059689291101051,-34.63399293079965,11.5,98.06134666840768,78.2089047340736
2020,106.32811759127549,71.0,10.470263676432438,0.7564683760683768,6.150920060331828,-37.1252843458833,-34.80299435028246,97.9854632771846,78.65779590882528
