year,dtp3-diphtheriaNotFilledFilled,population-usinNotFilledFilled,co2-emissions-pNotFilledFilled,human-developmeNotFilledFilled,gdp-per-capita-NotFilledFilled,mean-years-of-pNotFilledFilled,gdp-annual-growNotFilledFilled,mortality-rate-NotFilledFilled,access-to-electNotFilledFilled,economically-acNotFilledFilled,life-expectancyNotFilledFilled,poverty-headcouNotFilledFilled
1960,5.489489489489642,12.632478632478751,0.254,-0.05579829059828967,517,0.84,-4.330080436521655,337.6109330143536,-31.923124435940736,-75.00003076923076,39.439,137.046169230769
1961,6.951522951523202,13.347008547008727,0.349,-0.04692068376068548,520,0.8759999999999999,-4.071893316921489,333.33399863294653,-30.946271606198934,-72.86669670329684,39.879,135.65450219780223
1962,8.413556413556762,14.061538461538476,0.258,-0.038043076923077734,545,0.912,-3.8137061973213804,329.05706425153767,-29.969418776457132,-70.73336263736292,40.238,134.262835164835
1963,9.875589875589867,14.776068376068451,0.21100000000000002,-0.02916547008546999,514,0.948,-3.5555190777212715,324.7801298701306,-28.99256594671556,-68.60002857142808,40.508,132.87116813186776
1964,11.337623337623427,15.490598290598427,0.266,-0.0202878632478658,525,0.9840000000000001,-3.297331958121106,272.2,-28.015713116973757,-66.46669450549416,40.698,131.47950109890098
1965,12.799656799656987,16.205128205128403,0.244,-0.011410256410258057,526,1.02,-3.039144838520997,273.5,-27.038860287231955,-64.33336043956024,40.821999999999996,130.08783406593375
1966,14.261690261690546,16.919658119658152,0.254,-0.002532649572650314,531,1.02,-2.780957718920888,274.9,-26.062007457490154,-62.200026373626315,40.904,128.69616703296697
1967,15.723723723723651,17.634188034188128,0.218,0.006344957264957429,554,1.02,-2.5227705993207223,276.0,-25.08515462774858,-60.06669230769239,40.975,127.30449999999973
1968,17.18575718575721,18.348717948718104,0.317,0.01522256410256162,603,1.02,-2.2645834797206135,276.1,-24.108301798006778,-57.93335824175847,41.06100000000001,125.91283296703295
1969,18.64779064779077,19.063247863247852,0.36200000000000004,0.024100170940169363,659,1.02,-2.0063963601204478,276.1,-23.131448968264976,-55.80002417582364,41.178000000000004,124.52116593406572
1970,20.10982410982433,19.77777777777783,0.325,0.032977777777777106,678,1.02,-1.7482092405203389,275.8,-22.154596138523402,-53.666690109889714,41.343,123.12949890109849
1971,21.57185757185789,20.492307692307804,0.385,0.04185538461538485,707,1.006,-1.49002212092023,275.2,-21.1777433087816,-51.53335604395579,41.567,121.7378318681317
1972,23.033891033890995,21.20683760683778,0.344,0.05073299145298904,709,0.992,-1.2318350013200643,274.3,-20.2008904790398,-49.40002197802187,41.836000000000006,120.34616483516447
1973,24.495924495924555,21.92136752136753,0.36200000000000004,0.059610598290596783,729,0.978,-0.9736478817199554,273.2,-19.224037649297998,-47.266687912087946,42.135,118.9544978021977
1974,25.957957957958115,22.635897435897505,0.313,0.06848820512820453,655,0.9640000000000001,-0.7154607621198465,271.8,-18.247184819556423,-45.13335384615402,42.451,117.56283076923046
1975,27.419991419991675,23.35042735042748,0.278,0.07736581196581227,546,0.95,-0.45727364251968083,270.5,-17.270331989814622,-43.0000197802201,42.75899999999999,116.17116373626368
1976,28.882024882025235,24.064957264957457,0.24100000000000002,0.08624341880341646,504,0.986,-0.19908652291957196,269.2,-16.29347916007282,-40.86668571428527,43.028,114.77949670329645
1977,30.34405834405834,24.779487179487205,0.248,0.0951210256410242,492,1.022,0.05910059668053691,267.9,-15.316626330331019,-38.733351648351345,43.242,113.38782967032967
1978,31.8060918060919,25.49401709401718,0.255,0.10399863247863195,481,1.058,0.3172877162807026,267.1,-14.339773500589445,-36.60001758241742,43.391000000000005,111.99616263736243
1979,33.26812526812546,26.208547008547157,0.228,0.11287623931623969,473,1.094,0.5754748358808115,266.5,-13.362920670847643,-34.4666835164835,43.479,110.6044956043952
1980,34.73015873015902,26.923076923076906,0.271,0.12175384615384388,475,1.13,0.8336619554809204,266.1,-12.386067841105842,-32.333349450549576,43.515,109.21282857142842
1981,56.0,27.63760683760688,0.205,0.13063145299145162,473,1.138,5.000002949,265.6,-11.409215011364267,-30.200015384615654,43.521,107.82116153846118
1982,43.0,28.352136752136857,0.205,0.13950905982905937,452,1.146,1.350036194681195,264.7,-10.432362181622466,-28.06668131868082,43.527,106.4294945054944
1983,38.0,29.066666666666833,0.156,0.1483866666666671,414,1.1540000000000001,1.6082233142813038,263.3,-9.455509351880664,-25.9333472527469,43.56,105.03782747252717
1984,32.0,29.781196581196582,0.12,0.1572642735042713,398,1.162,1.8664104338814695,261.1,-8.478656522138863,-23.800013186812976,43.637,103.64616043956039
1985,29.0,30.495726495726558,0.08900000000000001,0.16614188034187904,358,1.17,0.9999967209999999,258.3,-7.501803692397289,-21.666679120879053,43.772,102.25449340659316
